Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	61735	603590	33	0.2228
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	625470	17190004	8710	-0.5338
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	17190862	17259063	50	-0.932
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	17259320	23133992	3835	-0.5352
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	23137631	23137761	2	1.5204
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	23142351	72768916	30044	-0.539
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	72768936	72811904	46	-1.1516
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	72812440	97737704	16061	-0.5636
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	97741123	97742005	3	-2.9555
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	97743805	104159384	3868	-0.5532
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	104163499	104163787	2	1.4291
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	104178038	106013376	937	-0.5665
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	106019205	106022375	17	-1.4067
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	106024055	108291686	1600	-0.5765
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	108292637	108293899	2	-2.8628
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	108294275	121447136	8163	-0.5538
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	121482979	148870937	1169	0.0069
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	148893345	149429206	177	-0.5191
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	149436842	169216937	12976	0.0654
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	169233974	169241766	7	-1.9174
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	169242401	196732086	18086	0.0435
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	196738623	196758109	32	0.5222
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	196758120	196812507	58	0.2098
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	196812530	196815791	2	2.3496
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	196816730	199107702	1371	0.049
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	199111363	199113011	8	-0.9806
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	199113840	248736075	34181	0.051
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	248737447	248795289	31	-0.6447
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	1	248795852	249224388	148	0.0531
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	2	12784	34652579	23978	0.165
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	2	34652871	34738032	61	0.4649
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	2	34740639	87398502	34926	0.1724
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	2	87402854	87492661	80	-0.0472
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	2	87493132	87821184	65	0.148
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	2	87822183	87869268	10	-0.8148
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	2	87874617	91653946	867	0.1496
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	2	91685414	146864429	30447	-0.0886
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	2	146864443	146866707	19	-0.5527
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	2	146866798	215711631	41482	-0.0888
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	2	215715707	215716169	2	-1.7416
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	2	215716232	242695900	17211	-0.0835
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	2	242696254	242782271	15	-0.5885
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	2	242783333	243089456	144	-0.1117
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	3	60345	37977417	27542	0.0443
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	3	37982108	37986928	18	-0.7375
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	3	37987106	62715568	15491	0.0524
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	3	62715671	62715860	5	-1.0438
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	3	62715908	68890638	4679	0.036
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	3	68895125	68895162	2	-1.3263
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	3	68897036	75568549	4801	0.0407
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	3	75572549	75586805	6	-2.1389
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	3	75595181	84102222	4672	0.0258
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	3	84105433	84106166	2	-2.6848
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	3	84110967	84698834	297	0.0459
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	3	84698857	84699184	3	1.056
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	3	84699684	84702015	12	-0.4989
DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_B01_1373884	3	84702031	89386474	2693	0.0226
