Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	51598	218592	19	0.7567
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	218938	2458260	485	-0.0281
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	2463118	2538440	19	-0.7346
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	2539225	17063449	8211	-0.0038
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	17067742	17133835	55	-0.4865
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	17133850	55493907	21621	-0.0029
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	55496029	55496887	7	-1.3337
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	55501956	72541086	12189	0.0049
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	72541504	72583736	46	-0.7274
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	72584492	103960907	20001	0.007
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	103965022	104061555	24	0.7951
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	104061762	105814277	919	0.0015
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	105814899	105823898	18	0.7027
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	105825578	143553915	9857	0.0056
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	143560896	143579717	5	1.6328
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	143580441	151028632	2986	0.0396
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	151028670	151028909	3	-0.4966
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	151029018	151029527	9	-0.9904
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	151029602	151034488	11	-0.5092
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	151034508	167483561	11269	0.0025
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	167500598	167508390	7	-3.5738
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	167509025	245041044	52644	0.0057
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	245041061	245041638	3	-2.2938
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	245041657	246533715	926	0.0439
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	246533924	246534188	2	2.1283
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	246535328	247191011	291	0.0277
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	2784	20538707	15339	0.0014
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	20539082	20542051	3	-2.335
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	20547733	37865537	11100	0.0087
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	37865700	37865728	2	-3.2466
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	37866283	52607972	10469	0.0137
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	52607984	52612294	9	-1.0736
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	52612319	52634916	26	-0.3056
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	52635001	52635046	4	-1.0659
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	52641453	57248389	3330	0.0115
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	57248406	57293705	63	0.8983
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	57294931	127546599	38437	0.0034
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	127546769	127549154	2	-2.4187
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	127558400	129354397	1031	-0.0042
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	129354548	129356785	16	-1.098
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	129356799	146581653	10420	0.0102
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	146581713	146594276	17	1.0769
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	146594865	242738129	58752	0
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	3	35345	100420474	63432	0.0106
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	3	100427148	100432111	38	-1.769
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	3	100433654	163995786	38869	0.0046
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	3	163995843	164055305	32	0.7152
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	3	164057462	194356398	19126	0.0169
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	3	194357441	194365597	21	-0.9273
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	3	194369129	196734492	1464	-0.0063
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	3	196737941	196960434	59	0.4411
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	3	196964365	197100822	48	-0.0595
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	3	197103053	197113473	10	-0.8481
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	3	197115094	197867612	354	-0.0045
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	3	197873977	197874859	2	-2.1842
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	3	197878373	199380515	749	0.0047
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	4	2281	70166711	42521	0.0087
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	4	70166959	70274578	53	-0.5809
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	4	70276618	84796972	8809	0.0031
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	4	84797169	84797731	3	-2.2404
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	4	84797782	104435155	11759	0.0059
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	4	104437549	104437551	3	-1.7194
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	4	104439553	115393149	6647	0.0094
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	4	115394772	115398877	12	-0.8841
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	4	115398892	155037498	23393	0.0095
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	4	155037972	155038297	2	-2.4735
