Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	61735	1510801	226	-0.0149
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	1627918	1669156	16	-1.0015
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	1672603	16149915	8162	-0.0061
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	16153497	16153925	6	-2.3848
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	16154201	16830583	299	-0.0027
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	16830820	17011669	55	-0.309
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	17011778	25600322	5392	-0.0092
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	25601859	25646986	22	0.6565
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	25661501	35088484	4963	-0.01
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	35091458	35116561	27	-0.6743
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	35117925	70723526	22518	-0.0042
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	70725144	70765004	19	0.4484
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	70768093	72750353	1301	0.0128
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	72756113	72760856	7	-1.0992
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	72762676	89475255	11031	0.0151
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	89477958	89478205	2	-3.6235
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	89481524	89899878	246	-0.0157
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	89902880	89911433	4	-1.0436
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	89914724	102687572	8117	0.0082
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	102687673	102745484	40	0.2908
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	102749144	104099920	669	-0.0168
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	104102788	104225006	40	0.6081
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	104225132	104239689	5	-0.3455
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	104239986	104303403	13	0.608
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	104303501	104638044	180	0.028
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	104638515	104638728	2	-1.365
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	104641579	106019370	741	0.0062
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	106019483	106021627	5	-1.1759
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	106021723	110224384	2662	0.0118
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	110224427	110246130	35	-0.6808
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	110246273	112695965	1956	0.0106
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	112696087	112697390	24	-1.9305
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	112705956	152555176	8030	-0.0091
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	152555527	152586238	32	2.0268
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	152586278	152756774	172	0.0089
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	152756806	152778558	45	0.6073
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	152778576	169216937	11330	0.0084
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	169233974	169241766	7	1.0807
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	169242401	208446359	25729	0
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	208446399	208456937	24	0.5619
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	1	208457709	249224388	28480	0.0043
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	12784	4200445	2984	0.0092
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	4200669	4224019	46	-0.6729
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	4230062	34691069	21070	-0.0012
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	34699315	34737163	47	0.6142
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	34737556	97757509	37082	0.007
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	97757586	97877173	58	-0.3308
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	97886334	118326469	11873	0.0012
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	118327335	118329461	2	-1.6786
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	118331829	123472179	3289	0.0012
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	123475749	123482241	12	-0.7
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	123483653	124090466	451	0.0082
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	124090707	124091115	2	-1.8278
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	124092159	180926228	34865	0.007
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	180926576	180926829	2	-1.7932
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	2	180928465	243089456	38213	0.0026
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	60345	6646543	5839	0.0612
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	6651128	6655415	27	-0.7304
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	6655430	68746164	41984	0.0211
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	68746259	68747413	14	1.0512
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	68748758	75499599	4908	0.0193
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	75499614	75804850	90	-0.311
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	75806378	84102222	4641	0.0221
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	84105433	84106166	2	-3.6
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	84110967	84699684	302	0.0107
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	84699758	84702161	15	-1.5396
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	84702235	98937784	5996	0.0254
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	98944458	98949308	36	-2.3901
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	98949314	108695079	5900	0.0297
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	108695477	108703025	13	-0.5762
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	108705441	129760622	12831	0.0192
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	129761124	129806998	56	-1.1079
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	129808276	152342527	14123	0.021
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	152342827	152356541	49	-0.8991
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	152356634	162491148	6099	0.0319
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	162491873	162521623	27	0.4067
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	162524858	162528630	2	-0.3714
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	162530315	162540490	9	-1.4875
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	162545716	162628912	55	0.4541
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	162629570	165040863	1309	0.037
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	165041548	165081939	65	-0.756
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	165085429	192873704	17817	0.0265
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	192873807	192886503	25	0.6297
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	3	192886523	197896118	2702	0.0192
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	12281	65978	57	-0.4422
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	66719	3877790	1585	0.0119
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	3879618	4184290	85	-0.2858
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	4184697	9464537	3525	0.0049
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	9464972	9478849	4	1.1701
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	9479035	10228783	550	-0.0398
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	10228802	10244613	38	-0.5467
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	10244955	10272788	36	-0.0128
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	10273043	10273527	2	-1.4877
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	10273549	12377742	1747	0.0054
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	12377935	12384062	28	0.3482
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	12384083	34779054	15171	0.011
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	34786500	34824183	37	-0.5722
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	34824725	49089374	8970	0.0171
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	49093786	52689539	48	-0.4308
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	52696792	58087853	3565	0.004
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	58088414	58094489	5	-0.8034
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	58096886	61936938	2498	0.0111
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	61940935	61941952	2	1.9158
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	61945686	69244434	4387	0.0159
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	69255070	69261064	7	-0.4654
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	69282205	69288142	5	-1.8372
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	69294799	69372003	16	0.0573
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	69374941	69582483	76	-0.3267
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	69591612	70128412	318	0.0611
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	70130820	70228624	47	-0.5388
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	70228656	115175323	27367	0.0077
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	115175344	115182175	22	0.7536
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	115184229	172369346	34744	0.0074
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	172374884	172377710	10	-0.8018
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	172377724	190854905	12499	0.0166
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	4	190859795	191027923	38	-0.4792
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	5	15532	34508478	23882	0.0144
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	5	34508479	34516620	3	-2.3407
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	5	34516644	49708445	7020	0.0192
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	5	49708458	49710612	3	-1.2158
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	5	49710710	52695117	1844	0.0121
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	5	52695357	52695970	2	-2.0544
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	5	52697127	155472133	63516	0.0124
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	5	155475099	155482715	17	-0.6086
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	5	155482729	180790320	16834	0.0079
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	149661	336218	145	-0.0159
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	336809	355360	28	-0.4045
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	355386	8541019	6755	0.0034
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	8542230	8542243	2	-1.8924
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	8545432	29739906	14733	-0.0014
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	29744413	29745726	2	-1.7796
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	29745761	29850274	96	-0.0318
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	29850366	29898897	14	-1.0402
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	29899677	31280823	657	0.0386
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	31286276	31309924	12	-1.819
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	31317347	32481987	517	0.0163
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	32482969	32675190	81	-0.5922
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	32675470	78962889	27028	0.0062
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	78969065	79027770	107	0.5466
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	79032317	98132449	12050	0.0189
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	98135583	98136265	5	-0.947
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	98140685	103734825	3444	0.0125
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	103734829	103762061	47	0.6828
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F02_697248	6	103765470	118655448	9236	0.0131
