Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	1	3218610	247813706	129083	0.0019
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	2	484222	159644006	83634	1e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	2	159644051	159644175	2	-1.548
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	2	159647073	235442032	43405	-0.0025
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	2	235442524	235442600	2	-1.3739
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	2	235443945	242476062	4189	0.0028
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	3	2212571	197538677	106342	0.0023
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	4	1053934	55390380	29870	-4e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	4	55392231	55392250	2	1.5486
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	4	55392830	109050962	29847	5e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	4	109054639	109056791	4	-1.0324
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	4	109056804	176671191	37013	-0.0021
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	4	176672144	176679717	4	-1.1279
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	4	176680305	188763651	5948	-0.0046
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	5	914233	67448067	36275	-0.0034
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	5	67452950	67473574	16	0.6047
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	5	67475952	180360469	64144	-9e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	6	1014281	170903919	96416	0.0024
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	7	705284	158385118	81288	0.0091
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	8	617667	145232496	81483	-1e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	9	789932	140938752	67973	-0.0022
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	10	415240	43524628	26427	0.0087
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	10	43524701	43525742	2	-2.778
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	10	43526023	59160737	6956	0.0063
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	10	59166542	59167557	2	-1.5554
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	10	59168433	135225087	47435	0.0101
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	11	456120	134142530	77184	0.0014
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	12	889902	133161346	73890	0.0038
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	13	19450806	25971481	3209	5e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	13	25972480	25972496	2	-1.6206
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	13	25972811	57185276	19085	-0.0024
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	13	57187155	57211566	7	-0.8126
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	13	57216918	101985742	25824	-0.0076
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	13	101985888	101986845	3	-1.2773
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	13	101987034	114987458	8485	-0.0022
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	14	20501368	105988038	49408	-0.0023
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	15	23687685	28099124	2673	0.01
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	15	28462896	31134902	14	0.6721
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	15	31135789	70398330	23857	0.0042
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	15	70402095	70405602	2	-1.2393
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	15	70406008	101884307	17955	0.0018
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_F06_748132	16	653459	78493662	33520	-0.0022
