Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	61735	10823774	5450	0.0119
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	10823786	10825657	2	-2.0311
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	10825686	25583341	8684	0.0274
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	25593128	25646689	25	0.4492
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	25646744	35091638	4964	0.0657
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	35091674	35104491	21	-0.4814
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	35114268	72763370	23843	0.0614
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	72768418	72811148	48	-1.6805
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	72811904	76050844	1930	0.0609
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	76054763	76054854	2	-2.9449
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	76059509	104159384	18125	0.0538
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	104163499	104303403	28	-0.4553
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	104303501	106013376	917	0.031
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	106019205	106022375	17	1.3599
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	106024055	110224384	2650	0.0432
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	110224427	110242953	31	1.4189
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	110244998	148519976	8295	0.0578
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	148526488	148870400	37	-0.4738
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	148870937	149422459	177	0.0802
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	149422617	149617451	11	-0.974
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	149617488	152555527	1485	0.0686
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	152555706	152586540	33	-1.4931
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	152586576	152759678	173	0.0011
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	152761923	152768700	37	-2.0193
CHESS_p_TCGAb_112_347_367_NSP_GenomeWideSNP_6_G11_1438718	1	152773905	196711187	29516	0.0589
