GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
09fd41c3-2aeb-48be-853a-97e8dccea940	1	62920	98588	12	0.846
09fd41c3-2aeb-48be-853a-97e8dccea940	1	98602	668210	9	-0.1669
09fd41c3-2aeb-48be-853a-97e8dccea940	1	771719	16721984	8637	-0.6112
09fd41c3-2aeb-48be-853a-97e8dccea940	1	16766762	16788139	13	-2.0203
09fd41c3-2aeb-48be-853a-97e8dccea940	1	16855942	16935752	56	-0.0276
09fd41c3-2aeb-48be-853a-97e8dccea940	1	16949746	25247980	5242	-0.6176
09fd41c3-2aeb-48be-853a-97e8dccea940	1	25248216	25359294	40	-0.1043
09fd41c3-2aeb-48be-853a-97e8dccea940	1	25359353	40031005	7838	-0.5869
09fd41c3-2aeb-48be-853a-97e8dccea940	1	40036582	40036828	2	-3.9486
09fd41c3-2aeb-48be-853a-97e8dccea940	1	40037782	72307730	20780	-0.5725
09fd41c3-2aeb-48be-853a-97e8dccea940	1	72307746	72309451	2	-3.9172
09fd41c3-2aeb-48be-853a-97e8dccea940	1	72313397	105470754	20939	-0.5748
09fd41c3-2aeb-48be-853a-97e8dccea940	1	105476583	105481433	18	0.2621
09fd41c3-2aeb-48be-853a-97e8dccea940	1	105481448	109690352	2631	-0.5709
09fd41c3-2aeb-48be-853a-97e8dccea940	1	109690415	109697556	12	1.285
09fd41c3-2aeb-48be-853a-97e8dccea940	1	109702376	110822250	820	-0.6103
09fd41c3-2aeb-48be-853a-97e8dccea940	1	110823480	110850883	55	-0.1722
09fd41c3-2aeb-48be-853a-97e8dccea940	1	110851091	112147704	1064	-0.6037
09fd41c3-2aeb-48be-853a-97e8dccea940	1	112153343	112163438	27	0.1126
09fd41c3-2aeb-48be-853a-97e8dccea940	1	112163440	119823130	4929	-0.5904
09fd41c3-2aeb-48be-853a-97e8dccea940	1	119830787	152583230	2657	0.0512
09fd41c3-2aeb-48be-853a-97e8dccea940	1	152583291	152613762	30	2.023
09fd41c3-2aeb-48be-853a-97e8dccea940	1	152613802	155210675	1549	0.0308
09fd41c3-2aeb-48be-853a-97e8dccea940	1	155219369	155231273	11	1.3173
09fd41c3-2aeb-48be-853a-97e8dccea940	1	155241876	155687178	202	0.0149
09fd41c3-2aeb-48be-853a-97e8dccea940	1	155691436	157261279	769	-0.0427
09fd41c3-2aeb-48be-853a-97e8dccea940	1	157261638	166206806	6638	0.0339
09fd41c3-2aeb-48be-853a-97e8dccea940	1	166215244	166225133	10	0.8383
09fd41c3-2aeb-48be-853a-97e8dccea940	1	166226465	166579136	249	0.027
09fd41c3-2aeb-48be-853a-97e8dccea940	1	166582964	166583858	6	-0.7854
09fd41c3-2aeb-48be-853a-97e8dccea940	1	166584258	169247699	2053	0.0368
09fd41c3-2aeb-48be-853a-97e8dccea940	1	169264736	169272528	7	1.0422
09fd41c3-2aeb-48be-853a-97e8dccea940	1	169273163	184990847	10463	0.0433
09fd41c3-2aeb-48be-853a-97e8dccea940	1	184992672	185001379	9	-0.9538
09fd41c3-2aeb-48be-853a-97e8dccea940	1	185007889	189679027	2962	0.0518
09fd41c3-2aeb-48be-853a-97e8dccea940	1	189679353	189679397	2	-1.864
09fd41c3-2aeb-48be-853a-97e8dccea940	1	189682917	199828508	6622	0.0659
09fd41c3-2aeb-48be-853a-97e8dccea940	1	199829923	203194239	2251	-0.0006
09fd41c3-2aeb-48be-853a-97e8dccea940	1	203196253	203200263	8	-0.8527
09fd41c3-2aeb-48be-853a-97e8dccea940	1	203200364	218561292	10767	0.0335
09fd41c3-2aeb-48be-853a-97e8dccea940	1	218569402	218569632	2	-1.7275
09fd41c3-2aeb-48be-853a-97e8dccea940	1	218570810	220946070	1612	0.0302
09fd41c3-2aeb-48be-853a-97e8dccea940	1	220948026	223401769	1576	0.0549
09fd41c3-2aeb-48be-853a-97e8dccea940	1	223405285	223405987	3	-1.4559
09fd41c3-2aeb-48be-853a-97e8dccea940	1	223411377	234447137	7530	0.0365
09fd41c3-2aeb-48be-853a-97e8dccea940	1	234449180	234449795	4	-1.0615
09fd41c3-2aeb-48be-853a-97e8dccea940	1	234456059	234776541	288	-0.0101
09fd41c3-2aeb-48be-853a-97e8dccea940	1	234779700	234780167	2	-1.9257
09fd41c3-2aeb-48be-853a-97e8dccea940	1	234794424	240228440	4068	0.0242
09fd41c3-2aeb-48be-853a-97e8dccea940	1	240230715	240230839	6	-1.6603
09fd41c3-2aeb-48be-853a-97e8dccea940	1	240232805	248574146	5682	0.0236
09fd41c3-2aeb-48be-853a-97e8dccea940	1	248585893	248684083	49	0.3391
09fd41c3-2aeb-48be-853a-97e8dccea940	1	248684527	248930189	124	0.0474
09fd41c3-2aeb-48be-853a-97e8dccea940	2	12784	343154	210	0.076
09fd41c3-2aeb-48be-853a-97e8dccea940	2	343517	34476516	23865	-0.0206
09fd41c3-2aeb-48be-853a-97e8dccea940	2	34476558	34512096	44	0.8357
09fd41c3-2aeb-48be-853a-97e8dccea940	2	34512489	40381231	4304	0.0044
09fd41c3-2aeb-48be-853a-97e8dccea940	2	40385644	40386349	3	-1.2025
09fd41c3-2aeb-48be-853a-97e8dccea940	2	40387528	41011533	504	0.032
09fd41c3-2aeb-48be-853a-97e8dccea940	2	41011670	41024093	17	-0.5086
09fd41c3-2aeb-48be-853a-97e8dccea940	2	41024125	41327911	233	0.0855
09fd41c3-2aeb-48be-853a-97e8dccea940	2	41329141	50175224	6273	-0.0245
09fd41c3-2aeb-48be-853a-97e8dccea940	2	50176210	52514599	1666	0.0235
09fd41c3-2aeb-48be-853a-97e8dccea940	2	52516787	52560811	42	-0.386
09fd41c3-2aeb-48be-853a-97e8dccea940	2	52563002	87211079	22023	-0.0168
09fd41c3-2aeb-48be-853a-97e8dccea940	2	87218694	87218834	2	-1.7838
09fd41c3-2aeb-48be-853a-97e8dccea940	2	87221597	89981175	759	-0.0572
09fd41c3-2aeb-48be-853a-97e8dccea940	2	89984583	129787992	20771	0.026
09fd41c3-2aeb-48be-853a-97e8dccea940	2	129791702	129801456	9	-1.2168
09fd41c3-2aeb-48be-853a-97e8dccea940	2	129801673	132624389	1075	-0.0046
09fd41c3-2aeb-48be-853a-97e8dccea940	2	132624419	132624746	3	-1.8048
09fd41c3-2aeb-48be-853a-97e8dccea940	2	132627908	146106861	8606	0.0343
09fd41c3-2aeb-48be-853a-97e8dccea940	2	146106875	146109366	22	0.9913
09fd41c3-2aeb-48be-853a-97e8dccea940	2	146120238	176059767	18262	0.0442
09fd41c3-2aeb-48be-853a-97e8dccea940	2	176061565	176065180	4	-1.1231
09fd41c3-2aeb-48be-853a-97e8dccea940	2	176068475	180135369	2704	0.0605
09fd41c3-2aeb-48be-853a-97e8dccea940	2	180135801	180139023	2	-1.3095
09fd41c3-2aeb-48be-853a-97e8dccea940	2	180141744	184229950	2504	0.0522
09fd41c3-2aeb-48be-853a-97e8dccea940	2	184235808	184272191	67	-0.636
09fd41c3-2aeb-48be-853a-97e8dccea940	2	184276306	217794755	20198	0.0582
09fd41c3-2aeb-48be-853a-97e8dccea940	2	217797304	242147305	15322	0.0335
09fd41c3-2aeb-48be-853a-97e8dccea940	3	20930	1875292	1674	-0.0036
09fd41c3-2aeb-48be-853a-97e8dccea940	3	1876465	1881281	6	-1.1173
09fd41c3-2aeb-48be-853a-97e8dccea940	3	1883380	60661807	39707	-0.0128
09fd41c3-2aeb-48be-853a-97e8dccea940	3	60662336	60662399	2	-1.9073
09fd41c3-2aeb-48be-853a-97e8dccea940	3	60668436	61257937	580	0.0347
09fd41c3-2aeb-48be-853a-97e8dccea940	3	61258716	61266795	2	-1.5674
09fd41c3-2aeb-48be-853a-97e8dccea940	3	61267371	68697013	5809	0.0058
09fd41c3-2aeb-48be-853a-97e8dccea940	3	68697108	68698262	14	1.3338
09fd41c3-2aeb-48be-853a-97e8dccea940	3	68699607	109092167	21923	-0.0054
09fd41c3-2aeb-48be-853a-97e8dccea940	3	109092792	109097082	3	-1.6224
09fd41c3-2aeb-48be-853a-97e8dccea940	3	109098826	130067896	12733	-0.0101
09fd41c3-2aeb-48be-853a-97e8dccea940	3	130067910	130089968	32	0.6127
09fd41c3-2aeb-48be-853a-97e8dccea940	3	130092370	130125709	13	-0.2004
09fd41c3-2aeb-48be-853a-97e8dccea940	3	130129574	130137903	4	-1.8136
09fd41c3-2aeb-48be-853a-97e8dccea940	3	130141782	156421879	16297	-0.0014
09fd41c3-2aeb-48be-853a-97e8dccea940	3	156422960	156428691	3	-1.6521
09fd41c3-2aeb-48be-853a-97e8dccea940	3	156429698	161714818	3208	-0.0096
09fd41c3-2aeb-48be-853a-97e8dccea940	3	161715517	169244378	4398	0.0342
09fd41c3-2aeb-48be-853a-97e8dccea940	3	169244812	174682844	3542	-0.0049
09fd41c3-2aeb-48be-853a-97e8dccea940	3	174683102	174683995	4	-1.3241
09fd41c3-2aeb-48be-853a-97e8dccea940	3	174684425	175362822	514	0.0053
09fd41c3-2aeb-48be-853a-97e8dccea940	3	175362958	175821487	310	0.0968
09fd41c3-2aeb-48be-853a-97e8dccea940	3	175821536	182971707	4220	-0.0086
09fd41c3-2aeb-48be-853a-97e8dccea940	3	182974356	182976788	4	-1.0864
09fd41c3-2aeb-48be-853a-97e8dccea940	3	182978381	195685341	8482	-0.008
09fd41c3-2aeb-48be-853a-97e8dccea940	3	195691392	195715711	16	-0.6543
09fd41c3-2aeb-48be-853a-97e8dccea940	3	195719726	198169247	1187	0.038
09fd41c3-2aeb-48be-853a-97e8dccea940	4	68929	780829	266	0.1241
09fd41c3-2aeb-48be-853a-97e8dccea940	4	783123	9390027	4848	-0.0134
09fd41c3-2aeb-48be-853a-97e8dccea940	4	9390554	9617513	87	0.1332
09fd41c3-2aeb-48be-853a-97e8dccea940	4	9624789	9630824	3	-3.1695
09fd41c3-2aeb-48be-853a-97e8dccea940	4	9631635	10208766	497	-0.0142
09fd41c3-2aeb-48be-853a-97e8dccea940	4	10212536	10222224	4	1.5131
09fd41c3-2aeb-48be-853a-97e8dccea940	4	10227159	10389091	203	0.0109
09fd41c3-2aeb-48be-853a-97e8dccea940	4	10390730	10399044	16	0.5881
09fd41c3-2aeb-48be-853a-97e8dccea940	4	10401094	34763973	16764	0.0193
09fd41c3-2aeb-48be-853a-97e8dccea940	4	34764075	34828327	53	0.4699
09fd41c3-2aeb-48be-853a-97e8dccea940	4	34828382	44966586	6599	0.0248
09fd41c3-2aeb-48be-853a-97e8dccea940	4	44967219	44968465	3	-1.6421
09fd41c3-2aeb-48be-853a-97e8dccea940	4	44971409	49091769	2357	0.0509
09fd41c3-2aeb-48be-853a-97e8dccea940	4	49112078	49141246	3	1.759
09fd41c3-2aeb-48be-853a-97e8dccea940	4	49146817	52874069	600	0.0466
09fd41c3-2aeb-48be-853a-97e8dccea940	4	52875481	55734206	2078	-0.0082
09fd41c3-2aeb-48be-853a-97e8dccea940	4	55734547	55742213	5	-0.9258
09fd41c3-2aeb-48be-853a-97e8dccea940	4	55743359	57272526	945	-0.011
09fd41c3-2aeb-48be-853a-97e8dccea940	4	57273231	68352181	6840	0.0391
09fd41c3-2aeb-48be-853a-97e8dccea940	4	68352334	68674307	99	0.5024
09fd41c3-2aeb-48be-853a-97e8dccea940	4	68686026	69433003	401	0.1303
09fd41c3-2aeb-48be-853a-97e8dccea940	4	69433747	85075126	9690	0.031
09fd41c3-2aeb-48be-853a-97e8dccea940	4	85075406	85722589	458	0.0862
09fd41c3-2aeb-48be-853a-97e8dccea940	4	85722704	85722949	3	1.2786
09fd41c3-2aeb-48be-853a-97e8dccea940	4	85722977	88844721	1938	0.0372
09fd41c3-2aeb-48be-853a-97e8dccea940	4	88845412	88853079	4	-0.7755
09fd41c3-2aeb-48be-853a-97e8dccea940	4	88855067	89506725	455	0.0308
09fd41c3-2aeb-48be-853a-97e8dccea940	4	89507019	89507343	4	-1.0517
09fd41c3-2aeb-48be-853a-97e8dccea940	4	89508641	107145001	10294	0.0323
09fd41c3-2aeb-48be-853a-97e8dccea940	4	107145112	107154866	29	0.4369
09fd41c3-2aeb-48be-853a-97e8dccea940	4	107154967	115251455	5048	0.0202
09fd41c3-2aeb-48be-853a-97e8dccea940	4	115251792	115252062	7	0.786
09fd41c3-2aeb-48be-853a-97e8dccea940	4	115252079	118118777	1763	0.034
09fd41c3-2aeb-48be-853a-97e8dccea940	4	118119170	118119731	2	-1.3132
09fd41c3-2aeb-48be-853a-97e8dccea940	4	118122933	122002766	2361	0.0326
09fd41c3-2aeb-48be-853a-97e8dccea940	4	122003184	122004374	4	-0.863
09fd41c3-2aeb-48be-853a-97e8dccea940	4	122007101	124538250	1348	0.0082
09fd41c3-2aeb-48be-853a-97e8dccea940	4	124539196	124541780	3	-1.4125
09fd41c3-2aeb-48be-853a-97e8dccea940	4	124541870	125714501	759	0.0186
09fd41c3-2aeb-48be-853a-97e8dccea940	4	125714974	125750625	14	-0.4707
09fd41c3-2aeb-48be-853a-97e8dccea940	4	125752048	126823519	688	0.0498
09fd41c3-2aeb-48be-853a-97e8dccea940	4	126825467	126850164	15	0.4493
09fd41c3-2aeb-48be-853a-97e8dccea940	4	126853830	130003933	1752	0.0251
09fd41c3-2aeb-48be-853a-97e8dccea940	4	130004884	137261279	4006	0.0652
09fd41c3-2aeb-48be-853a-97e8dccea940	4	137261327	137261805	9	0.6966
09fd41c3-2aeb-48be-853a-97e8dccea940	4	137261857	138272309	672	0.0589
09fd41c3-2aeb-48be-853a-97e8dccea940	4	138275941	140308672	1397	0.0067
09fd41c3-2aeb-48be-853a-97e8dccea940	4	140309337	140310488	2	-1.3074
09fd41c3-2aeb-48be-853a-97e8dccea940	4	140311849	142872786	1636	0.0237
09fd41c3-2aeb-48be-853a-97e8dccea940	4	142872919	142879820	34	-0.5848
09fd41c3-2aeb-48be-853a-97e8dccea940	4	142879943	160958866	10871	0.0302
09fd41c3-2aeb-48be-853a-97e8dccea940	4	160958972	160963448	19	-0.4763
09fd41c3-2aeb-48be-853a-97e8dccea940	4	160963756	177125974	10031	0.0401
09fd41c3-2aeb-48be-853a-97e8dccea940	4	177127866	177134401	4	-1.3633
09fd41c3-2aeb-48be-853a-97e8dccea940	4	177135692	188300104	7982	0.0285
09fd41c3-2aeb-48be-853a-97e8dccea940	4	188300206	188300285	4	1.8116
09fd41c3-2aeb-48be-853a-97e8dccea940	4	188301659	190106768	1141	0.0612
09fd41c3-2aeb-48be-853a-97e8dccea940	5	15532	12791608	10178	0.0087
09fd41c3-2aeb-48be-853a-97e8dccea940	5	12800777	12826538	12	0.8968
09fd41c3-2aeb-48be-853a-97e8dccea940	5	12833745	15123912	1643	-0.0007
09fd41c3-2aeb-48be-853a-97e8dccea940	5	15124115	16043218	531	0.0838
09fd41c3-2aeb-48be-853a-97e8dccea940	5	16043428	17491332	989	-0.0189
09fd41c3-2aeb-48be-853a-97e8dccea940	5	17496510	104515520	49250	0.0441
09fd41c3-2aeb-48be-853a-97e8dccea940	5	104524672	104524903	4	1.8627
09fd41c3-2aeb-48be-853a-97e8dccea940	5	104525348	107804746	2132	0.0613
09fd41c3-2aeb-48be-853a-97e8dccea940	5	107805489	107805607	2	-2.5825
09fd41c3-2aeb-48be-853a-97e8dccea940	5	107809054	148831634	26326	0.0346
09fd41c3-2aeb-48be-853a-97e8dccea940	5	148833943	150822643	1329	0.0035
09fd41c3-2aeb-48be-853a-97e8dccea940	5	150825938	150839042	8	-0.5688
09fd41c3-2aeb-48be-853a-97e8dccea940	5	150843825	152135909	966	0.0082
09fd41c3-2aeb-48be-853a-97e8dccea940	5	152135923	152140710	13	-0.7871
09fd41c3-2aeb-48be-853a-97e8dccea940	5	152140861	154465243	1597	0.0139
09fd41c3-2aeb-48be-853a-97e8dccea940	5	154465433	154465503	2	-1.5662
09fd41c3-2aeb-48be-853a-97e8dccea940	5	154476927	168147933	9256	0.0338
09fd41c3-2aeb-48be-853a-97e8dccea940	5	168148623	168856144	533	-0.0619
09fd41c3-2aeb-48be-853a-97e8dccea940	5	168856159	171915200	2346	0.0133
09fd41c3-2aeb-48be-853a-97e8dccea940	5	171925393	172008704	44	0.3162
09fd41c3-2aeb-48be-853a-97e8dccea940	5	172010029	173774786	1291	0.0193
09fd41c3-2aeb-48be-853a-97e8dccea940	5	173774914	173781883	13	-0.5432
09fd41c3-2aeb-48be-853a-97e8dccea940	5	173781997	177771448	2393	0.0242
09fd41c3-2aeb-48be-853a-97e8dccea940	5	177800550	177805604	3	3.131
09fd41c3-2aeb-48be-853a-97e8dccea940	5	177827964	180693665	1635	-0.0015
09fd41c3-2aeb-48be-853a-97e8dccea940	5	180697535	180789266	83	0.2015
09fd41c3-2aeb-48be-853a-97e8dccea940	5	180799516	180953203	77	0.0019
09fd41c3-2aeb-48be-853a-97e8dccea940	5	180960138	180990207	12	0.5825
09fd41c3-2aeb-48be-853a-97e8dccea940	5	180990614	181363319	174	0.0147
09fd41c3-2aeb-48be-853a-97e8dccea940	6	149661	204689	35	0.1528
09fd41c3-2aeb-48be-853a-97e8dccea940	6	204909	227053	29	-0.1099
09fd41c3-2aeb-48be-853a-97e8dccea940	6	227183	366333	129	0.2771
09fd41c3-2aeb-48be-853a-97e8dccea940	6	373453	387659	18	-0.4358
09fd41c3-2aeb-48be-853a-97e8dccea940	6	389319	11289219	8663	0.0265
09fd41c3-2aeb-48be-853a-97e8dccea940	6	11290032	11290114	2	-2.95
09fd41c3-2aeb-48be-853a-97e8dccea940	6	11290884	16979550	4423	0.0319
09fd41c3-2aeb-48be-853a-97e8dccea940	6	16984228	16984249	2	-2.2787
09fd41c3-2aeb-48be-853a-97e8dccea940	6	16984296	18103638	657	0.015
09fd41c3-2aeb-48be-853a-97e8dccea940	6	18110168	18111304	2	-2.243
09fd41c3-2aeb-48be-853a-97e8dccea940	6	18114889	25309222	5332	0.0252
09fd41c3-2aeb-48be-853a-97e8dccea940	6	25319281	25401930	64	-0.6648
09fd41c3-2aeb-48be-853a-97e8dccea940	6	25401951	26153107	524	0.2752
09fd41c3-2aeb-48be-853a-97e8dccea940	6	26155837	26291299	85	-0.6289
09fd41c3-2aeb-48be-853a-97e8dccea940	6	26292219	26644778	228	0.2465
09fd41c3-2aeb-48be-853a-97e8dccea940	6	26651535	26664304	11	-0.5114
09fd41c3-2aeb-48be-853a-97e8dccea940	6	26670022	26960438	41	-0.085
09fd41c3-2aeb-48be-853a-97e8dccea940	6	26962520	27039334	52	-0.5475
09fd41c3-2aeb-48be-853a-97e8dccea940	6	27043967	27367737	153	0.3527
09fd41c3-2aeb-48be-853a-97e8dccea940	6	27376035	27516037	67	-0.5769
09fd41c3-2aeb-48be-853a-97e8dccea940	6	27520823	27706309	96	-0.3412
09fd41c3-2aeb-48be-853a-97e8dccea940	6	27706397	27771475	42	-0.7203
09fd41c3-2aeb-48be-853a-97e8dccea940	6	27774389	27888502	61	0.2968
09fd41c3-2aeb-48be-853a-97e8dccea940	6	27890643	28088674	103	-0.5453
09fd41c3-2aeb-48be-853a-97e8dccea940	6	28091915	28331518	129	0.2156
09fd41c3-2aeb-48be-853a-97e8dccea940	6	28334501	28340114	4	-0.5522
09fd41c3-2aeb-48be-853a-97e8dccea940	6	28340257	28426794	68	0.2569
09fd41c3-2aeb-48be-853a-97e8dccea940	6	28435826	28507143	36	-0.4598
09fd41c3-2aeb-48be-853a-97e8dccea940	6	28509903	28524877	9	0.3784
09fd41c3-2aeb-48be-853a-97e8dccea940	6	28527113	28528713	3	-0.4954
09fd41c3-2aeb-48be-853a-97e8dccea940	6	28529112	28943099	133	0.23
09fd41c3-2aeb-48be-853a-97e8dccea940	6	28949195	29130592	33	-0.7091
09fd41c3-2aeb-48be-853a-97e8dccea940	6	29138691	29237690	18	0.3369
09fd41c3-2aeb-48be-853a-97e8dccea940	6	29239793	29316685	24	-0.5864
09fd41c3-2aeb-48be-853a-97e8dccea940	6	29318893	29472480	85	0.2632
09fd41c3-2aeb-48be-853a-97e8dccea940	6	29476344	29479078	4	-0.4737
09fd41c3-2aeb-48be-853a-97e8dccea940	6	29486712	29710373	130	0.1882
09fd41c3-2aeb-48be-853a-97e8dccea940	6	29710743	30690462	472	-0.659
09fd41c3-2aeb-48be-853a-97e8dccea940	6	30698817	31313046	338	0.2054
09fd41c3-2aeb-48be-853a-97e8dccea940	6	31318499	31328176	8	1.3915
09fd41c3-2aeb-48be-853a-97e8dccea940	6	31328210	31650790	205	0.2503
09fd41c3-2aeb-48be-853a-97e8dccea940	6	31654829	31826815	37	-0.738
09fd41c3-2aeb-48be-853a-97e8dccea940	6	31859509	31965741	27	0.1833
09fd41c3-2aeb-48be-853a-97e8dccea940	6	31973780	32463515	228	-0.5871
09fd41c3-2aeb-48be-853a-97e8dccea940	6	32463775	32533522	19	1.5115
09fd41c3-2aeb-48be-853a-97e8dccea940	6	32540699	32722250	90	0.1729
09fd41c3-2aeb-48be-853a-97e8dccea940	6	32723020	32723053	3	2.0814
09fd41c3-2aeb-48be-853a-97e8dccea940	6	32732907	33712030	547	-0.618
09fd41c3-2aeb-48be-853a-97e8dccea940	6	33714637	33849156	101	0.1674
09fd41c3-2aeb-48be-853a-97e8dccea940	6	33852991	33970222	104	-0.6178
09fd41c3-2aeb-48be-853a-97e8dccea940	6	33970966	33974928	7	-1.9441
09fd41c3-2aeb-48be-853a-97e8dccea940	6	33976809	34174978	127	-0.6409
09fd41c3-2aeb-48be-853a-97e8dccea940	6	34176296	34559705	195	0.2163
09fd41c3-2aeb-48be-853a-97e8dccea940	6	34560740	34626299	33	-0.7281
09fd41c3-2aeb-48be-853a-97e8dccea940	6	34626579	36309033	887	0.2441
09fd41c3-2aeb-48be-853a-97e8dccea940	6	36309036	36402477	97	-0.5322
09fd41c3-2aeb-48be-853a-97e8dccea940	6	36404283	36505713	46	0.1514
09fd41c3-2aeb-48be-853a-97e8dccea940	6	36522014	36552985	15	-0.5787
09fd41c3-2aeb-48be-853a-97e8dccea940	6	36560759	36662822	52	0.2221
09fd41c3-2aeb-48be-853a-97e8dccea940	6	36663445	36702623	37	-0.7398
09fd41c3-2aeb-48be-853a-97e8dccea940	6	36702753	36752698	38	0.279
09fd41c3-2aeb-48be-853a-97e8dccea940	6	36753851	36789406	30	-0.5439
09fd41c3-2aeb-48be-853a-97e8dccea940	6	36798515	36892316	71	0.2944
09fd41c3-2aeb-48be-853a-97e8dccea940	6	36894162	37011308	113	-0.6479
09fd41c3-2aeb-48be-853a-97e8dccea940	6	37011442	37163600	90	0.2407
09fd41c3-2aeb-48be-853a-97e8dccea940	6	37173333	37277357	58	-0.5758
09fd41c3-2aeb-48be-853a-97e8dccea940	6	37278200	37440681	102	0.2538
09fd41c3-2aeb-48be-853a-97e8dccea940	6	37441861	37700436	199	-0.6572
09fd41c3-2aeb-48be-853a-97e8dccea940	6	37701726	37808296	76	0.2395
09fd41c3-2aeb-48be-853a-97e8dccea940	6	37817243	37824120	4	-0.5776
09fd41c3-2aeb-48be-853a-97e8dccea940	6	37829536	38083328	137	0.2943
09fd41c3-2aeb-48be-853a-97e8dccea940	6	38084874	38143563	32	-0.5045
09fd41c3-2aeb-48be-853a-97e8dccea940	6	38147197	38279944	102	0.261
09fd41c3-2aeb-48be-853a-97e8dccea940	6	38283004	38559705	195	-0.5934
09fd41c3-2aeb-48be-853a-97e8dccea940	6	38560416	39174807	496	0.2469
09fd41c3-2aeb-48be-853a-97e8dccea940	6	39177187	39266716	73	-0.7255
09fd41c3-2aeb-48be-853a-97e8dccea940	6	39270014	39283007	15	0.2932
09fd41c3-2aeb-48be-853a-97e8dccea940	6	39283045	39284531	5	-0.6732
09fd41c3-2aeb-48be-853a-97e8dccea940	6	39285348	39376814	80	0.2077
09fd41c3-2aeb-48be-853a-97e8dccea940	6	39378232	39402029	22	1.6049
09fd41c3-2aeb-48be-853a-97e8dccea940	6	39402894	39424942	21	-0.5834
09fd41c3-2aeb-48be-853a-97e8dccea940	6	39426382	39628450	113	1.6462
09fd41c3-2aeb-48be-853a-97e8dccea940	6	39637336	40798727	979	1.8851
09fd41c3-2aeb-48be-853a-97e8dccea940	6	40805232	41277698	302	-0.6074
09fd41c3-2aeb-48be-853a-97e8dccea940	6	41278735	41286753	12	0.3143
09fd41c3-2aeb-48be-853a-97e8dccea940	6	41290123	41294053	4	-0.4347
09fd41c3-2aeb-48be-853a-97e8dccea940	6	41302346	41314582	12	0.5287
09fd41c3-2aeb-48be-853a-97e8dccea940	6	41314659	41337716	26	0.2334
09fd41c3-2aeb-48be-853a-97e8dccea940	6	41339856	41345738	5	-0.3842
09fd41c3-2aeb-48be-853a-97e8dccea940	6	41347498	41431376	45	0.2765
09fd41c3-2aeb-48be-853a-97e8dccea940	6	41435507	41444758	6	-0.8029
09fd41c3-2aeb-48be-853a-97e8dccea940	6	41446812	41623516	125	0.2718
09fd41c3-2aeb-48be-853a-97e8dccea940	6	41630134	41661099	27	2.2452
09fd41c3-2aeb-48be-853a-97e8dccea940	6	41661988	41682998	20	-0.0285
09fd41c3-2aeb-48be-853a-97e8dccea940	6	41685904	41851563	86	2.1742
09fd41c3-2aeb-48be-853a-97e8dccea940	6	41853399	41863151	8	-0.3913
09fd41c3-2aeb-48be-853a-97e8dccea940	6	41863696	42071749	115	0.8356
09fd41c3-2aeb-48be-853a-97e8dccea940	6	42071928	42161506	55	1.7752
09fd41c3-2aeb-48be-853a-97e8dccea940	6	42164001	42182375	11	-0.7319
