Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	1	3208470	210339668	106319	-0.0729
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	1	210344011	210344227	2	-2.0768
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	1	210346452	245880329	22776	-0.0676
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	2	474222	242124735	131315	-0.0728
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	3	526235	56412134	31418	-0.8062
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	3	56412366	57913862	793	-0.0699
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	3	57922766	58197472	201	-0.7931
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	3	58201281	61799350	1461	-0.0514
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	3	61813257	62039557	220	-0.8782
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	3	62041159	199019356	72246	-0.0733
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	3	199022416	199023074	2	-0.6248
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	4	1043934	189836143	102749	-0.0775
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	5	967233	153824996	84352	0.3768
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	5	153825186	153825256	2	-1.5977
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	5	153836680	157326121	2222	0.3756
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	5	157331628	157332477	3	-0.9445
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	5	157334473	172666751	9902	0.3787
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	5	172669620	172673662	6	-0.9153
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	5	172674316	180293075	4038	0.3713
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	6	959281	165308712	94120	0.3673
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	6	165326827	165330372	10	-0.772
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	6	165336723	170745844	2373	0.369
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	7	671810	24001652	12192	0.3817
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	7	24006403	24006908	2	2.0213
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	7	24007342	37404402	8925	0.3786
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	7	37406170	37406445	2	-1.1225
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	7	37407567	158077879	60225	0.3698
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	8	607667	106859834	58330	-0.813
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	8	106864420	108657067	806	-0.0687
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	8	108672318	109609023	560	-0.8381
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	8	109610545	145304484	21711	-0.0732
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	9	779932	140058573	68026	-0.074
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	10	405240	1890886	658	-0.0764
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	10	1892085	1892670	9	-0.7707
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	10	1892688	13024951	8190	-0.0856
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	10	13025773	13035410	16	-1.0521
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	10	13038901	105879324	52775	-0.0817
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	10	105879706	105882401	2	-1.802
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F08_697724	10	105882661	135075077	19231	-0.0833
