Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	1	3208470	179508893	86951	0.0362
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	1	179543142	179544785	5	-1.161
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	1	179547931	245880329	42039	0.0418
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	2	474222	242124735	131214	0.0394
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	3	526235	95217361	50718	-0.5774
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	3	95218916	199023074	55438	0.0541
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	4	1043934	83496785	45297	0.051
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	4	83497817	83498427	2	-1.3051
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	4	83503184	112431655	16267	0.0483
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	4	112432291	112436250	2	-1.9818
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	4	112437259	189836143	41141	0.0528
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	5	967233	157762490	86833	0.0449
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	5	157764373	159914007	1395	0.4636
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	5	159916050	161526944	988	0.0489
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	5	161529258	162933618	858	0.4363
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	5	162939483	163297622	259	0.041
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	5	163305325	176698731	8490	0.46
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	5	176698783	176703729	3	-0.6398
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	5	176709032	180293075	1617	0.4419
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	6	959281	120454842	66154	0.0431
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	6	120456322	120475751	9	-0.6726
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	6	120476406	120627197	78	0.0739
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	6	120633024	121141527	325	-0.5509
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	6	121142065	121142395	2	-1.9811
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	6	121143142	121737015	317	-0.5504
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	6	121737630	124782130	1644	0.0625
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	6	124785724	133968280	5866	-0.5649
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	6	133969581	133969595	2	-4.1163
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	6	133969681	154913772	13302	-0.576
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	6	154916178	154920072	3	-2.777
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	6	154920090	170745844	8629	-0.5957
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	7	671810	55661680	32922	0.0419
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	7	55662372	55666246	3	-1.2478
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	7	55669201	158077879	48347	0.0362
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	8	607667	8416335	3216	0.051
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	8	8417845	8435195	23	-0.9908
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	8	8470898	145304484	78246	0.0447
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	9	779932	38737688	23329	0.448
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	9	70228864	140058573	44640	0.037
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	10	405240	135075077	80812	0.0354
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	11	446120	133647740	77202	0.0394
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B09_742012	12	760163	18003750	9756	0.0343
