Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	1	3218610	247813706	129108	9e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	2	484222	242476062	131284	-0.0025
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	3	2212571	30191123	16529	0.0052
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	3	30192544	30192565	2	-1.4306
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	3	30192777	84253342	31460	0.0039
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	3	84253541	84253609	2	-1.427
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	3	84258032	95535523	3841	0.0048
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	3	95536005	95538648	2	-1.2685
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	3	95549039	106602066	6022	0.0039
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	3	106602212	106606086	2	-1.3263
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	3	106606354	131443898	14194	0.0071
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	3	131445951	131450690	4	-1.1454
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	3	131450887	137024979	3304	0.0024
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	3	137026303	137027679	10	-0.5821
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	3	137027954	197538677	30997	0.0037
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	4	1053934	63312389	34595	0.0014
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	4	63393640	63414176	20	-0.8486
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	4	63417929	81643293	9664	0.0048
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	4	81645223	81646955	2	-1.1057
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	4	81652535	81795810	62	-0.0142
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	4	81797794	81800758	3	-1.5693
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	4	81810031	96541044	8502	0.0015
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	4	96541293	96544991	2	-1.4692
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	4	96545793	188763651	49874	0.0051
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	5	914233	159502006	87971	0.0013
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	5	159502023	159503968	2	-1.405
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	5	159510231	180360469	12529	0.0018
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	6	1014281	8943961	5811	-0.0016
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	6	8944188	8945319	5	-0.9541
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	6	8945690	25422353	11376	-0.0072
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	6	25422874	25423307	2	-1.5909
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	6	25424003	170903919	79280	0.0016
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	7	705284	15566402	7290	-0.0022
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	7	15567908	15598670	16	-0.9382
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	7	15599429	158385118	73997	-7e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	8	617667	145232496	81529	0.0021
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	9	789932	140938752	67993	0.0011
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	10	415240	30870107	21231	-0.0017
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E12_584964	10	30871434	30871628	2	-1.3059
