Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	1	3218610	230018345	117315	0.001
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	1	230020076	230023607	6	-1.1932
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	1	230024012	247813706	11605	-4e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	2	484222	123881216	64795	0.0086
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	2	123883938	123891059	5	-1.781
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	2	123892699	242476062	66302	0.0087
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	3	2212571	197538677	106226	-0.001
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	4	1053934	127357576	70133	-6e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	4	127364125	127365171	5	-1.3472
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	4	127365329	143476181	8425	0.0052
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	4	143476606	143477801	2	-2.0932
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	4	143479035	188763651	24031	0.0034
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	5	914233	18333845	11151	-0.0025
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	5	18334348	18334951	3	-1.4422
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	5	18337287	156958290	75003	-0.0029
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	5	156962069	156962401	3	-1.4704
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	5	156963010	180360469	14207	-4e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	6	1014281	154872080	87706	-2e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	6	154874486	154877535	2	-2.2441
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	6	154878380	170903919	8663	-0.0034
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	7	705284	158385118	81207	0.0019
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	8	617667	145232496	81413	0.002
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	9	789932	140938752	67916	0.0046
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	10	415240	20291113	14100	0.0075
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	10	20291498	20322965	79	-0.8669
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	10	20323027	110207283	50330	0.0103
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	10	110208205	110208251	2	-2.245
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	10	110208767	135225087	16212	0.0096
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	11	456120	629760	34	0.5596
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	11	630331	134142530	77098	0.0014
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	12	889902	133161346	73822	5e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	13	19450806	48284032	18239	-0.0059
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	13	48292845	48308914	8	-0.8707
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	13	48316025	62277839	6709	-0.0033
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	13	62283890	62334188	29	0.5834
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	13	62337451	114987458	31574	0.0021
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	14	20501368	105988038	49359	0.0011
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	15	23687685	38685662	7110	-0.0042
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	15	38687928	38688790	2	-2.6369
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	15	38689071	101884307	37344	-0.0017
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	16	653459	89379936	40734	7e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	17	987221	80917016	36922	-0.0037
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	18	329586	77109240	42574	-0.0154
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	19	284018	40261323	16332	-0.006
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	19	40263913	40265709	4	-1.4763
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	19	40266148	53777198	5352	-0.0068
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	19	53777270	53777330	2	-1.3515
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	19	53777771	58878226	2232	-0.0164
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	20	455764	62219837	37221	-0.002
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	21	15347621	47678774	20554	5e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	22	17423930	49331012	16896	1e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	X	3157107	97310510	37322	-0.0016
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	X	97313484	97313650	2	1.5033
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G08_734830	X	97315036	154905589	26377	6e-04
