Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	61735	12354307	6264	0.0294
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	12355487	12355503	2	-1.7576
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	12357088	16138059	2142	0.0555
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	16138095	16155010	23	0.5285
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	16165661	17190862	406	0.0464
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	17195155	17260591	52	-0.269
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	17260618	25583341	5284	0.0615
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	25593128	25662005	30	0.6917
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	25662212	55999297	16785	0.0821
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	56003895	56014616	8	-2.2379
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	56016980	62389220	4870	0.1182
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	62391060	62391234	2	-1.2796
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	62392494	72768418	7197	0.1454
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	72768498	72811133	46	-0.9862
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	72811148	77126822	2766	0.1186
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	77128429	77131620	5	-1.1747
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	77132591	106019205	18276	0.1402
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	106019236	106022375	16	-1.4137
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	106024055	112690326	4645	0.1261
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	112695965	112697376	24	-1.2771
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	112697390	117194575	2892	0.136
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	117200371	117200404	2	-1.8496
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	117206336	144842558	2352	0.1461
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	144849539	152555706	2801	0.4454
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	152555767	152586594	34	-0.9964
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	152590494	152762008	175	0.2608
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	152762046	152768259	28	1.1166
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	152768281	158866573	3629	0.4713
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	158868501	158869759	2	-0.8774
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	158874818	162559417	2440	0.4973
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	162559479	165654527	2584	0.094
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	165654851	165654869	2	-1.6808
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	165656104	169216937	2695	0.1078
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	169233974	169241766	5	-1.6238
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	169242401	171017710	1241	0.1204
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	171020482	171024368	2	-2.3998
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	171024874	192676467	14199	-0.1796
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	192677252	192677326	2	-2.927
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	192679697	228150720	23792	-0.1812
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	228154763	228173678	3	-1.4581
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	228176817	230603822	1554	-0.2156
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	230606103	230606178	2	-3.5012
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	230614110	235280575	3638	-0.1915
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	235287752	235287802	2	-2.1081
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	235299384	237275120	1344	-0.1984
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	237276452	237277253	5	-1.525
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	237277465	246838119	7125	-0.1979
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	246840366	246941635	61	0.1522
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	1	246941691	249224388	1278	-0.1948
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	12784	1786522	1159	-0.2711
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	1788623	1789960	3	-1.4798
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	1790637	4213864	1828	-0.2377
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	4214200	4219943	26	0.152
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	4221821	5737113	1176	-0.2351
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	5737581	30253971	17024	0.0992
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	30256337	30256351	2	-1.6344
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	30256393	34520473	2798	0.1068
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	34523978	34525580	2	-1.9412
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	34525967	34691069	95	0.0776
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	34699315	34737057	46	-1.8125
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	34737163	84802002	33776	-0.1773
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	84810591	86503090	1017	0.3238
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	86503280	86517030	8	-0.1614
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	86518249	86937687	224	0.3164
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	86953070	86953854	2	-1.3195
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	86970406	87434189	120	0.2247
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	87435058	87445957	15	-0.3468
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	87448720	91967186	1049	0.2988
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	91971678	92193283	37	-0.0151
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	92248108	92305784	14	-0.5809
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	95327887	97830623	856	0.073
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	97834082	97918405	33	-0.2821
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	97918717	98118212	17	0.0699
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	98140747	98161710	8	0.839
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	98162189	105164449	4274	0.1009
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	105165756	106881633	1311	-0.2136
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	106883229	106885357	8	0.6545
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	106887255	108259378	871	-0.1799
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	108265551	109852706	952	0.1142
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	109853120	109857613	3	-1.2444
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	109859919	114362015	2018	0.1039
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	114362414	114362416	2	-2.4803
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	114380821	121433891	4403	0.1152
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	121434361	121506802	40	0.6292
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	121507138	123999704	1665	0.3159
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	124000929	146862085	13985	-0.3665
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	146864404	146866934	24	-1.559
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	146877806	233242399	52898	-0.348
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	233242761	233274145	23	-2.504
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	233279801	237491937	2849	-0.6107
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	2	237494588	243089456	3297	-1.2632
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	3	60345	17690428	13850	-0.1655
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	3	17692380	17808236	54	0.6575
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	3	17809767	19769568	1061	1.0529
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	3	19771106	27071022	5454	-0.1198
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	3	27081763	27660198	312	0.7491
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	3	27660845	28933225	890	-0.1249
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	3	28933783	28934747	2	-2.1408
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	3	28935150	34243929	3566	-0.1164
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	3	34249893	34270403	22	0.6293
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_C06_697346	3	34271042	37977417	2488	-0.0827
