Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	61735	9315847	4692	0.0375
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	9326658	9402403	57	0.8504
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	9404693	10617034	607	0.0201
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	10617191	10617272	2	-1.8027
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	10622374	12834580	1165	-0.0024
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	12835868	13715762	91	0.4587
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	13717772	15489682	1379	1e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	15489799	15489862	2	-1.9111
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	15489931	16796742	714	0.0098
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	16797756	17005978	66	0.6023
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	17011450	17012741	12	-0.2581
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	17012785	17319778	130	0.5447
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	17324445	25583291	5250	0.0188
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	25583341	25673154	35	0.6994
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	25678084	27379471	732	0.0105
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	27379950	27380879	3	1.2333
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	27381440	35088484	4226	0.0087
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	35091458	35104491	24	0.3988
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	35114268	36859511	785	-0.013
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	36859936	36860800	2	-2.7422
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	36862254	72750353	23062	0.0082
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	72756113	72763370	9	-3.5365
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	72768418	72811148	48	1.1765
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	72811904	79379306	4129	-9e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	79380111	79403450	10	-0.6576
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	79410981	92152320	8571	-0.0016
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	92152470	92161991	12	-0.8096
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	92162784	102699430	6634	-0.0059
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	102699465	102722923	13	-0.7875
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	102722982	106012754	1664	-0.0094
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	106013376	106024070	20	0.6049
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	106024090	108762426	1957	-0.0279
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	108766355	108853594	10	0.7772
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	108853809	110224384	684	0.013
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	110224427	110253130	51	0.6039
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	110256624	112690326	1938	0.0048
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	112695965	112697390	25	0.6174
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	112705956	120102884	4722	0.0027
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	120108137	120129560	45	0.4145
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	120129565	147831183	1549	0.0733
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	147844790	149429206	221	0.4597
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	149436842	152555527	1498	0.0169
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	152555706	152586594	35	1.4425
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	152590494	152759678	171	0.0194
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	152761923	152768700	37	0.771
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	152773905	161479438	5268	0.0016
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	161496900	161638513	55	0.6555
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	161648237	195241681	23269	-7e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	195242066	195375230	80	-0.3581
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	195376397	196727850	884	-8e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	196731035	196802002	91	-0.5473
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	196802072	199084055	1350	0.0019
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	199089195	199093876	13	-0.7069
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	199094550	199107702	21	0.0727
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	199111363	199113840	9	-1.3218
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	199114238	212273045	8879	7e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	212277388	212277604	2	-1.8246
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	212279829	222365644	7167	0.0014
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H01_697758	1	222366608	222374834	3	-1.8419
