GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b9123291-97c1-4e5e-8632-7fad038d45f8	1	62920	98602	13	-0.7754
b9123291-97c1-4e5e-8632-7fad038d45f8	1	259407	25256850	14001	0.0198
b9123291-97c1-4e5e-8632-7fad038d45f8	1	25266637	25292440	16	0.7944
b9123291-97c1-4e5e-8632-7fad038d45f8	1	25292549	54624527	16009	0.0178
b9123291-97c1-4e5e-8632-7fad038d45f8	1	54627618	54628716	2	-2.3031
b9123291-97c1-4e5e-8632-7fad038d45f8	1	54630777	72303233	12723	0.0177
b9123291-97c1-4e5e-8632-7fad038d45f8	1	72303253	72345450	44	-1.289
b9123291-97c1-4e5e-8632-7fad038d45f8	1	72345465	88178794	10390	0.0107
b9123291-97c1-4e5e-8632-7fad038d45f8	1	88178810	88179305	2	-1.7888
b9123291-97c1-4e5e-8632-7fad038d45f8	1	88181409	94819222	4190	0.0166
b9123291-97c1-4e5e-8632-7fad038d45f8	1	94821524	94822131	2	-1.8189
b9123291-97c1-4e5e-8632-7fad038d45f8	1	94823252	101625108	4275	0.0074
b9123291-97c1-4e5e-8632-7fad038d45f8	1	101626210	101635354	3	-1.1778
b9123291-97c1-4e5e-8632-7fad038d45f8	1	101635370	102324668	495	-0.0022
b9123291-97c1-4e5e-8632-7fad038d45f8	1	102324725	102326287	2	-1.0759
b9123291-97c1-4e5e-8632-7fad038d45f8	1	102326432	103621165	663	-0.0066
b9123291-97c1-4e5e-8632-7fad038d45f8	1	103697067	103717410	3	-1.4732
b9123291-97c1-4e5e-8632-7fad038d45f8	1	103717617	105470754	917	0.0055
b9123291-97c1-4e5e-8632-7fad038d45f8	1	105476583	105479753	17	0.6218
b9123291-97c1-4e5e-8632-7fad038d45f8	1	105481433	143494500	9781	0.0164
b9123291-97c1-4e5e-8632-7fad038d45f8	1	143541857	143714665	93	0.1457
b9123291-97c1-4e5e-8632-7fad038d45f8	1	143714703	143921397	29	0.41
b9123291-97c1-4e5e-8632-7fad038d45f8	1	143927536	152578785	2308	0.0064
b9123291-97c1-4e5e-8632-7fad038d45f8	1	152578849	152614100	44	0.3096
b9123291-97c1-4e5e-8632-7fad038d45f8	1	152614118	152789570	172	0.0303
b9123291-97c1-4e5e-8632-7fad038d45f8	1	152789781	152796224	32	0.4622
b9123291-97c1-4e5e-8632-7fad038d45f8	1	152801429	196761905	29462	0.017
b9123291-97c1-4e5e-8632-7fad038d45f8	1	196762480	196762956	2	-1.7615
b9123291-97c1-4e5e-8632-7fad038d45f8	1	196769493	248930189	35839	0.0165
b9123291-97c1-4e5e-8632-7fad038d45f8	2	12784	34450400	24077	0.0141
b9123291-97c1-4e5e-8632-7fad038d45f8	2	34456427	34512965	53	-0.2357
b9123291-97c1-4e5e-8632-7fad038d45f8	2	34515572	34800737	207	0.0326
b9123291-97c1-4e5e-8632-7fad038d45f8	2	34802383	34809665	3	-0.867
b9123291-97c1-4e5e-8632-7fad038d45f8	2	34810019	35459642	437	0.0281
b9123291-97c1-4e5e-8632-7fad038d45f8	2	35459888	35463504	3	0.9808
b9123291-97c1-4e5e-8632-7fad038d45f8	2	35472413	41011095	4148	0.0054
b9123291-97c1-4e5e-8632-7fad038d45f8	2	41011303	41018747	22	-0.491
b9123291-97c1-4e5e-8632-7fad038d45f8	2	41024093	87218834	30227	0.0064
b9123291-97c1-4e5e-8632-7fad038d45f8	2	87221597	87747102	93	0.4865
b9123291-97c1-4e5e-8632-7fad038d45f8	2	87835245	89027904	592	-0.001
b9123291-97c1-4e5e-8632-7fad038d45f8	2	89038181	89085826	9	-0.7002
b9123291-97c1-4e5e-8632-7fad038d45f8	2	89092541	89305244	53	0.035
b9123291-97c1-4e5e-8632-7fad038d45f8	2	89896149	89956227	7	0.8748
b9123291-97c1-4e5e-8632-7fad038d45f8	2	89960252	113604438	10438	0.0134
b9123291-97c1-4e5e-8632-7fad038d45f8	2	113604837	113623244	3	-1.6647
b9123291-97c1-4e5e-8632-7fad038d45f8	2	113625975	117565406	2413	0.0008
b9123291-97c1-4e5e-8632-7fad038d45f8	2	117568893	117574253	4	-1.0064
b9123291-97c1-4e5e-8632-7fad038d45f8	2	117576424	123393399	3781	0.0156
b9123291-97c1-4e5e-8632-7fad038d45f8	2	123395904	123396873	2	-1.3269
b9123291-97c1-4e5e-8632-7fad038d45f8	2	123397220	128880504	3398	0.0119
b9123291-97c1-4e5e-8632-7fad038d45f8	2	128880904	128881662	13	-0.6382
b9123291-97c1-4e5e-8632-7fad038d45f8	2	128882723	146106861	10412	0.0064
b9123291-97c1-4e5e-8632-7fad038d45f8	2	146106875	146109366	22	0.7306
b9123291-97c1-4e5e-8632-7fad038d45f8	2	146120238	242147305	59041	0.0089
b9123291-97c1-4e5e-8632-7fad038d45f8	3	20930	45938385	32552	-0.5338
b9123291-97c1-4e5e-8632-7fad038d45f8	3	45939089	46403303	331	0.0271
b9123291-97c1-4e5e-8632-7fad038d45f8	3	46405230	54743122	3979	-0.5086
b9123291-97c1-4e5e-8632-7fad038d45f8	3	54743824	55465636	652	-0.5979
b9123291-97c1-4e5e-8632-7fad038d45f8	3	55466126	57407516	1266	-0.5189
b9123291-97c1-4e5e-8632-7fad038d45f8	3	57407571	77364149	14863	0.0173
b9123291-97c1-4e5e-8632-7fad038d45f8	3	77365600	77564937	142	-0.5531
b9123291-97c1-4e5e-8632-7fad038d45f8	3	77565117	81139751	1980	0.007
b9123291-97c1-4e5e-8632-7fad038d45f8	3	81146718	82410940	708	-0.5233
b9123291-97c1-4e5e-8632-7fad038d45f8	3	82415680	83035862	379	0.0106
b9123291-97c1-4e5e-8632-7fad038d45f8	3	83040316	83442373	159	-0.4703
b9123291-97c1-4e5e-8632-7fad038d45f8	3	83449579	84650607	590	0.0503
b9123291-97c1-4e5e-8632-7fad038d45f8	3	84650642	84653449	17	-0.5467
b9123291-97c1-4e5e-8632-7fad038d45f8	3	84657133	99225703	5980	0.0149
b9123291-97c1-4e5e-8632-7fad038d45f8	3	99225754	99230577	34	-0.5349
b9123291-97c1-4e5e-8632-7fad038d45f8	3	99232120	130067097	18708	0.0155
b9123291-97c1-4e5e-8632-7fad038d45f8	3	130067366	130087393	32	0.6303
b9123291-97c1-4e5e-8632-7fad038d45f8	3	130088081	162794951	20257	0.0173
b9123291-97c1-4e5e-8632-7fad038d45f8	3	162795304	162822221	18	-0.386
b9123291-97c1-4e5e-8632-7fad038d45f8	3	162822685	162828441	4	-1.2754
b9123291-97c1-4e5e-8632-7fad038d45f8	3	162829721	162910855	50	-0.2194
b9123291-97c1-4e5e-8632-7fad038d45f8	3	162910891	162996729	68	-0.0414
b9123291-97c1-4e5e-8632-7fad038d45f8	3	162999939	163001774	2	-2.2616
b9123291-97c1-4e5e-8632-7fad038d45f8	3	163008371	193160113	19090	0.0163
b9123291-97c1-4e5e-8632-7fad038d45f8	3	193160173	193163053	11	1.1036
b9123291-97c1-4e5e-8632-7fad038d45f8	3	193164615	193165114	8	0.626
b9123291-97c1-4e5e-8632-7fad038d45f8	3	193168646	196046906	1643	0.0198
b9123291-97c1-4e5e-8632-7fad038d45f8	3	196049719	196049993	4	0.9265
b9123291-97c1-4e5e-8632-7fad038d45f8	3	196050340	198142659	1042	0.0128
b9123291-97c1-4e5e-8632-7fad038d45f8	3	198169114	198169247	4	-0.8789
