GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
81075212-a516-4c5a-8af7-ee4e5f64141c	1	62920	98602	13	-0.6989
81075212-a516-4c5a-8af7-ee4e5f64141c	1	259407	3301765	725	0.0703
81075212-a516-4c5a-8af7-ee4e5f64141c	1	3302046	25090270	13168	-0.0054
81075212-a516-4c5a-8af7-ee4e5f64141c	1	25092208	25096910	2	0.6225
81075212-a516-4c5a-8af7-ee4e5f64141c	1	25097831	25266637	119	0.051
81075212-a516-4c5a-8af7-ee4e5f64141c	1	25269390	25301974	17	0.3869
81075212-a516-4c5a-8af7-ee4e5f64141c	1	25318693	25320455	6	1.2135
81075212-a516-4c5a-8af7-ee4e5f64141c	1	25336819	34626073	4953	0.0004
81075212-a516-4c5a-8af7-ee4e5f64141c	1	34637053	34648667	21	0.3712
81075212-a516-4c5a-8af7-ee4e5f64141c	1	34649941	38666759	2196	-0.0145
81075212-a516-4c5a-8af7-ee4e5f64141c	1	38666760	38666761	2	1.5665
81075212-a516-4c5a-8af7-ee4e5f64141c	1	38669516	72284670	21560	-0.0051
81075212-a516-4c5a-8af7-ee4e5f64141c	1	72290430	72297687	9	-0.6643
81075212-a516-4c5a-8af7-ee4e5f64141c	1	72302735	72345465	48	2.0575
81075212-a516-4c5a-8af7-ee4e5f64141c	1	72346221	95209154	14852	0.0026
81075212-a516-4c5a-8af7-ee4e5f64141c	1	95210955	95210962	2	-1.6855
81075212-a516-4c5a-8af7-ee4e5f64141c	1	95214568	105476688	6108	0.0052
81075212-a516-4c5a-8af7-ee4e5f64141c	1	105476748	105482176	19	-0.5866
81075212-a516-4c5a-8af7-ee4e5f64141c	1	105486052	108187137	1934	-0.0037
81075212-a516-4c5a-8af7-ee4e5f64141c	1	108191613	108194874	3	-3.6433
81075212-a516-4c5a-8af7-ee4e5f64141c	1	108196482	108223733	17	-0.0654
81075212-a516-4c5a-8af7-ee4e5f64141c	1	108226680	108274557	2	-3.2887
81075212-a516-4c5a-8af7-ee4e5f64141c	1	108310648	109684893	675	0.0229
81075212-a516-4c5a-8af7-ee4e5f64141c	1	109690352	109692006	10	-1.5809
81075212-a516-4c5a-8af7-ee4e5f64141c	1	109696900	109697556	3	-0.7081
81075212-a516-4c5a-8af7-ee4e5f64141c	1	109702376	112147704	1951	0.01
