GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
978265cd-6e96-4c72-ba67-10747ed52cc3	1	62920	3087793	650	-0.0735
978265cd-6e96-4c72-ba67-10747ed52cc3	1	3093405	3094022	2	-2.5163
978265cd-6e96-4c72-ba67-10747ed52cc3	1	3109148	16679483	8015	0.0043
978265cd-6e96-4c72-ba67-10747ed52cc3	1	16685961	16721984	9	-0.7521
978265cd-6e96-4c72-ba67-10747ed52cc3	1	16766762	16864367	16	-0.0268
978265cd-6e96-4c72-ba67-10747ed52cc3	1	16868660	16956580	57	-0.6364
978265cd-6e96-4c72-ba67-10747ed52cc3	1	16958425	20556710	2528	0.0098
978265cd-6e96-4c72-ba67-10747ed52cc3	1	20556929	20557323	4	-1.5316
978265cd-6e96-4c72-ba67-10747ed52cc3	1	20558448	21298294	391	0.0299
978265cd-6e96-4c72-ba67-10747ed52cc3	1	21304987	21313132	7	-0.8981
978265cd-6e96-4c72-ba67-10747ed52cc3	1	21313442	22299877	615	0.0039
978265cd-6e96-4c72-ba67-10747ed52cc3	1	22302564	22302619	2	-1.4658
978265cd-6e96-4c72-ba67-10747ed52cc3	1	22302695	25092208	1582	0.0106
978265cd-6e96-4c72-ba67-10747ed52cc3	1	25096910	25097831	2	-2.486
978265cd-6e96-4c72-ba67-10747ed52cc3	1	25098398	72303233	28845	0.0152
978265cd-6e96-4c72-ba67-10747ed52cc3	1	72303253	72345465	45	1.1012
978265cd-6e96-4c72-ba67-10747ed52cc3	1	72346221	109690431	23595	0.0091
978265cd-6e96-4c72-ba67-10747ed52cc3	1	109690640	109692006	7	-1.5784
978265cd-6e96-4c72-ba67-10747ed52cc3	1	109696900	110822250	824	0.0033
978265cd-6e96-4c72-ba67-10747ed52cc3	1	110823480	110850883	55	0.3147
978265cd-6e96-4c72-ba67-10747ed52cc3	1	110851091	112147704	1069	0.0165
978265cd-6e96-4c72-ba67-10747ed52cc3	1	112153343	112163460	29	0.7371
978265cd-6e96-4c72-ba67-10747ed52cc3	1	112163496	119513321	4664	0.0094
978265cd-6e96-4c72-ba67-10747ed52cc3	1	119513778	119514379	2	-1.5172
978265cd-6e96-4c72-ba67-10747ed52cc3	1	119514888	152583051	2922	0.0182
978265cd-6e96-4c72-ba67-10747ed52cc3	1	152583230	152614118	35	-1.9242
978265cd-6e96-4c72-ba67-10747ed52cc3	1	152618018	152789447	167	0.0109
978265cd-6e96-4c72-ba67-10747ed52cc3	1	152789463	152796224	36	0.6442
