Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	1	3208470	23830370	11377	0.0108
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	1	23831508	23832200	2	-2.0088
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	1	23833455	54943938	15958	0.0103
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	1	54944090	54944112	2	-1.6556
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	1	54951593	120325425	40401	0.0291
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	1	120325478	168389249	12628	0.3069
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	1	168393242	168393365	3	-0.9586
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	1	168395037	245880329	48720	0.3097
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	2	474222	30833375	18757	0.0256
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	2	30836938	30864966	36	-1.3008
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	2	30865566	242124735	112508	0.0258
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	3	526235	36096310	20140	-0.3659
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	3	36098362	36098389	2	-2.1515
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	3	36098868	123480985	46481	-0.3579
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	3	123483561	199023074	39727	0.0321
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	4	1043934	58202835	31945	0.033
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	4	58202854	58202932	3	-1.241
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	4	58207096	92157195	18490	0.0317
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	4	92157415	92157675	3	-1.2701
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	4	92157760	106750252	7897	0.0285
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	4	106751193	106751207	2	-1.3255
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	4	106751387	189836143	44391	0.0358
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	5	967233	1375693	68	0.0145
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	5	1378767	1378803	2	-1.0637
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	5	1393458	4997080	2561	0.0483
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	5	4997108	4997558	3	0.8966
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	5	4998147	5203547	174	0.0326
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	5	5206911	5208357	5	-0.9052
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	5	5210288	180293075	97703	0.1576
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	6	959281	101462496	55373	0.0276
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	6	101471196	170745844	41093	-0.3595
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	7	671810	24001652	12190	0.3165
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	7	24006403	24006908	2	1.9208
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	7	24007342	28785662	3423	0.3243
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	7	28794072	83382076	27140	0.0224
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	7	83383939	83383978	2	-1.2415
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	7	83384609	101524047	8584	0.046
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_E12_697364	7	101524250	101524347	3	-1.0878
