Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	1	3218610	31621427	14898	0.0051
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	1	31623667	31625346	2	-2.5666
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	1	31625389	36867234	2674	0.0019
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	1	36872665	36873318	4	-0.9736
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	1	36874242	247813706	111580	0.0012
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	2	484222	242476062	131320	0.0015
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	3	2212571	61126821	33513	0.0049
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	3	61127205	61128017	3	-1.2988
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	3	61130900	189689230	69280	0.0043
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	3	189696326	189713205	14	-1.0749
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	3	189715573	197538677	3579	0.006
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	4	1053934	7733866	3748	0.0017
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	4	7735513	7739468	2	-1.3239
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	4	7739795	66567056	32489	-0.0018
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	4	66567179	66567198	2	-1.3068
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	4	66568768	119399558	29419	-3e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	4	119407089	119409297	4	-1.0789
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	4	119410382	188763651	37089	5e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	5	914233	114005149	60599	0.0051
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	5	114015173	114015591	2	-1.2924
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	5	114017742	180360469	39917	0.004
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	6	1014281	23893378	16163	0.0036
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	6	23894519	23894962	3	-1.1582
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	6	23895019	170903919	80329	0.0028
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	7	705284	158385118	81328	0.0062
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	8	617667	145232496	81536	0.0041
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	9	789932	140938752	68032	-0.0065
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	10	415240	116455055	68842	0.0025
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F11_748500	10	116455659	116495572	37	-1.2075
