GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e3520dfe-505e-4068-94db-7d1302c0499d	1	62920	259407	14	0.3291
e3520dfe-505e-4068-94db-7d1302c0499d	1	259422	462894	5	-0.859
e3520dfe-505e-4068-94db-7d1302c0499d	1	599171	1094939	67	0.0993
e3520dfe-505e-4068-94db-7d1302c0499d	1	1100599	2025885	254	-0.1106
e3520dfe-505e-4068-94db-7d1302c0499d	1	2026436	16855942	8348	0.0224
e3520dfe-505e-4068-94db-7d1302c0499d	1	16863509	16935393	53	-0.5555
e3520dfe-505e-4068-94db-7d1302c0499d	1	16935737	59576071	25216	0.0201
e3520dfe-505e-4068-94db-7d1302c0499d	1	59578252	59592607	10	-1.0011
e3520dfe-505e-4068-94db-7d1302c0499d	1	59593034	72303233	8726	0.0235
e3520dfe-505e-4068-94db-7d1302c0499d	1	72303253	72354344	53	0.5061
e3520dfe-505e-4068-94db-7d1302c0499d	1	72356822	103616762	19988	0.0197
e3520dfe-505e-4068-94db-7d1302c0499d	1	103620877	103717410	5	-1.2981
e3520dfe-505e-4068-94db-7d1302c0499d	1	103717617	104252882	259	-0.0108
e3520dfe-505e-4068-94db-7d1302c0499d	1	104256007	104256231	3	-1.2215
e3520dfe-505e-4068-94db-7d1302c0499d	1	104259599	108951525	2961	0.0196
e3520dfe-505e-4068-94db-7d1302c0499d	1	108954232	108955523	14	-3.3896
e3520dfe-505e-4068-94db-7d1302c0499d	1	108961034	109690352	333	-0.0085
e3520dfe-505e-4068-94db-7d1302c0499d	1	109690415	109697556	12	1.3132
e3520dfe-505e-4068-94db-7d1302c0499d	1	109702376	152789463	9767	0.0132
e3520dfe-505e-4068-94db-7d1302c0499d	1	152789479	152796224	35	-0.5953
e3520dfe-505e-4068-94db-7d1302c0499d	1	152801429	189483591	24559	0.0188
e3520dfe-505e-4068-94db-7d1302c0499d	1	189484017	189484414	2	-2.0417
e3520dfe-505e-4068-94db-7d1302c0499d	1	189489889	248550567	40519	0.0231
e3520dfe-505e-4068-94db-7d1302c0499d	1	248572774	248631163	31	-0.7149
e3520dfe-505e-4068-94db-7d1302c0499d	1	248631988	248703602	39	0.0543
e3520dfe-505e-4068-94db-7d1302c0499d	1	248703943	248709357	4	-0.9611
e3520dfe-505e-4068-94db-7d1302c0499d	1	248713007	248930189	101	0.0903
e3520dfe-505e-4068-94db-7d1302c0499d	2	12784	7089698	5527	0.0165
e3520dfe-505e-4068-94db-7d1302c0499d	2	7093393	7094233	9	-0.84
e3520dfe-505e-4068-94db-7d1302c0499d	2	7094345	29418334	15074	0.0199
e3520dfe-505e-4068-94db-7d1302c0499d	2	29419008	29422071	11	-0.9163
e3520dfe-505e-4068-94db-7d1302c0499d	2	29423558	33175904	2413	0.0151
e3520dfe-505e-4068-94db-7d1302c0499d	2	33177325	33186991	11	-0.6893
e3520dfe-505e-4068-94db-7d1302c0499d	2	33187275	33205683	12	0.085
e3520dfe-505e-4068-94db-7d1302c0499d	2	33207134	33209330	2	-1.5583
e3520dfe-505e-4068-94db-7d1302c0499d	2	33209504	34438376	975	0.0245
e3520dfe-505e-4068-94db-7d1302c0499d	2	34438862	34511990	53	0.3907
e3520dfe-505e-4068-94db-7d1302c0499d	2	34512096	146107526	66223	0.0164
e3520dfe-505e-4068-94db-7d1302c0499d	2	146107615	146109366	17	0.8908
e3520dfe-505e-4068-94db-7d1302c0499d	2	146120238	158199030	7198	0.0221
e3520dfe-505e-4068-94db-7d1302c0499d	2	158200004	158203406	2	-1.732
e3520dfe-505e-4068-94db-7d1302c0499d	2	158204237	184379139	16397	0.0194
e3520dfe-505e-4068-94db-7d1302c0499d	2	184379172	184400999	23	-0.6161
e3520dfe-505e-4068-94db-7d1302c0499d	2	184401205	241841181	35239	0.0203
e3520dfe-505e-4068-94db-7d1302c0499d	2	241841244	242090275	102	-0.9117
e3520dfe-505e-4068-94db-7d1302c0499d	2	242092213	242147305	26	-0.0549
e3520dfe-505e-4068-94db-7d1302c0499d	3	20930	1358735	1154	0.0608
e3520dfe-505e-4068-94db-7d1302c0499d	3	1359438	1359832	2	-2.2665
e3520dfe-505e-4068-94db-7d1302c0499d	3	1359857	6175287	4256	0.0222
e3520dfe-505e-4068-94db-7d1302c0499d	3	6181626	6198573	53	-0.8532
e3520dfe-505e-4068-94db-7d1302c0499d	3	6200680	6322411	128	0.0603
e3520dfe-505e-4068-94db-7d1302c0499d	3	6323069	6323097	2	-3.0917
e3520dfe-505e-4068-94db-7d1302c0499d	3	6323537	95737262	56163	0.0209
e3520dfe-505e-4068-94db-7d1302c0499d	3	95748036	95749266	2	-2.9527
e3520dfe-505e-4068-94db-7d1302c0499d	3	95749836	98180575	1249	0.0314
e3520dfe-505e-4068-94db-7d1302c0499d	3	98189826	98195973	4	-1.4427
e3520dfe-505e-4068-94db-7d1302c0499d	3	98197104	106844351	5180	0.0203
e3520dfe-505e-4068-94db-7d1302c0499d	3	106844737	106844971	2	-2.1505
e3520dfe-505e-4068-94db-7d1302c0499d	3	106845160	114936935	4902	0.0193
e3520dfe-505e-4068-94db-7d1302c0499d	3	114941745	114950103	7	-0.9411
e3520dfe-505e-4068-94db-7d1302c0499d	3	114950171	125950205	6843	0.028
e3520dfe-505e-4068-94db-7d1302c0499d	3	125954540	125957120	3	-1.8736
e3520dfe-505e-4068-94db-7d1302c0499d	3	125961657	130067097	2385	0.0242
e3520dfe-505e-4068-94db-7d1302c0499d	3	130067366	130087393	32	0.6264
e3520dfe-505e-4068-94db-7d1302c0499d	3	130088081	162790480	20235	0.0153
e3520dfe-505e-4068-94db-7d1302c0499d	3	162794869	162908192	69	-1.9543
e3520dfe-505e-4068-94db-7d1302c0499d	3	162908207	189642965	16648	0.0161
e3520dfe-505e-4068-94db-7d1302c0499d	3	189645889	189646849	11	-1.1012
e3520dfe-505e-4068-94db-7d1302c0499d	3	189653199	193160113	2488	0.0182
e3520dfe-505e-4068-94db-7d1302c0499d	3	193160173	193165114	19	-1.2064
e3520dfe-505e-4068-94db-7d1302c0499d	3	193168646	195558822	1483	0.0181
e3520dfe-505e-4068-94db-7d1302c0499d	3	195559056	195747892	45	0.4227
e3520dfe-505e-4068-94db-7d1302c0499d	3	195751823	198169247	1165	-0.0048
e3520dfe-505e-4068-94db-7d1302c0499d	4	68929	4101617	1623	-0.0017
e3520dfe-505e-4068-94db-7d1302c0499d	4	4108503	4133854	8	-1.7925
e3520dfe-505e-4068-94db-7d1302c0499d	4	4151033	9455251	3515	0.0041
e3520dfe-505e-4068-94db-7d1302c0499d	4	9459504	9463248	3	2.0566
e3520dfe-505e-4068-94db-7d1302c0499d	4	9469529	10208766	539	0.001
e3520dfe-505e-4068-94db-7d1302c0499d	4	10221792	10233644	35	1.3481
e3520dfe-505e-4068-94db-7d1302c0499d	4	10234518	12643224	2000	0.0071
e3520dfe-505e-4068-94db-7d1302c0499d	4	12649434	12655112	3	-1.446
e3520dfe-505e-4068-94db-7d1302c0499d	4	12655113	17023868	3287	0.0112
e3520dfe-505e-4068-94db-7d1302c0499d	4	17026325	17044649	12	-0.542
e3520dfe-505e-4068-94db-7d1302c0499d	4	17044867	21367070	2893	0.021
e3520dfe-505e-4068-94db-7d1302c0499d	4	21370380	21375228	15	-0.8178
e3520dfe-505e-4068-94db-7d1302c0499d	4	21382117	22709333	994	0.0035
e3520dfe-505e-4068-94db-7d1302c0499d	4	22709446	22709455	2	-1.5037
e3520dfe-505e-4068-94db-7d1302c0499d	4	22713407	25425932	1877	0.021
e3520dfe-505e-4068-94db-7d1302c0499d	4	25428392	25431019	2	-2.1515
e3520dfe-505e-4068-94db-7d1302c0499d	4	25431206	34777238	5867	0.0205
e3520dfe-505e-4068-94db-7d1302c0499d	4	34777340	34823103	44	-0.5292
e3520dfe-505e-4068-94db-7d1302c0499d	4	34828250	49618868	8976	0.0222
e3520dfe-505e-4068-94db-7d1302c0499d	4	49641746	49648089	3	-1.6913
e3520dfe-505e-4068-94db-7d1302c0499d	4	49653346	56664465	3179	0.0148
e3520dfe-505e-4068-94db-7d1302c0499d	4	56677017	56678187	12	-1
e3520dfe-505e-4068-94db-7d1302c0499d	4	56678336	68530744	7284	0.0208
e3520dfe-505e-4068-94db-7d1302c0499d	4	68530748	68569894	19	-0.361
e3520dfe-505e-4068-94db-7d1302c0499d	4	68570184	68570195	3	-1.7715
e3520dfe-505e-4068-94db-7d1302c0499d	4	68570854	68686026	40	-0.2966
e3520dfe-505e-4068-94db-7d1302c0499d	4	68725894	69255532	305	0.004
e3520dfe-505e-4068-94db-7d1302c0499d	4	69255545	69374271	61	-0.8077
e3520dfe-505e-4068-94db-7d1302c0499d	4	69376311	114587010	27533	0.0166
e3520dfe-505e-4068-94db-7d1302c0499d	4	114588837	114589298	2	-2.9698
e3520dfe-505e-4068-94db-7d1302c0499d	4	114593270	132902930	10666	0.0205
e3520dfe-505e-4068-94db-7d1302c0499d	4	132902954	132902987	2	-2.3018
e3520dfe-505e-4068-94db-7d1302c0499d	4	132905112	142872644	6131	0.0182
e3520dfe-505e-4068-94db-7d1302c0499d	4	142872786	142872948	3	-1.5004
e3520dfe-505e-4068-94db-7d1302c0499d	4	142873236	150947789	4541	0.022
e3520dfe-505e-4068-94db-7d1302c0499d	4	150955157	150963146	24	-0.7238
e3520dfe-505e-4068-94db-7d1302c0499d	4	150963148	151868241	454	0.0066
e3520dfe-505e-4068-94db-7d1302c0499d	4	151868634	151871739	14	-1.0896
e3520dfe-505e-4068-94db-7d1302c0499d	4	151873644	154881396	1943	0.0094
e3520dfe-505e-4068-94db-7d1302c0499d	4	154881853	154881926	3	-3.4055
e3520dfe-505e-4068-94db-7d1302c0499d	4	154882047	155544346	430	0.0251
e3520dfe-505e-4068-94db-7d1302c0499d	4	155544482	155544897	2	-1.7269
e3520dfe-505e-4068-94db-7d1302c0499d	4	155549403	164835946	6057	0.0218
e3520dfe-505e-4068-94db-7d1302c0499d	4	164837722	164839700	2	-3.3049
e3520dfe-505e-4068-94db-7d1302c0499d	4	164840239	170343840	3413	0.0064
e3520dfe-505e-4068-94db-7d1302c0499d	4	170346793	170365943	15	-0.6366
e3520dfe-505e-4068-94db-7d1302c0499d	4	170366099	186980063	11191	0.0242
e3520dfe-505e-4068-94db-7d1302c0499d	4	186980078	186980091	2	-2.6734
e3520dfe-505e-4068-94db-7d1302c0499d	4	186980103	188300104	815	0.0169
e3520dfe-505e-4068-94db-7d1302c0499d	4	188300206	188300285	4	1.5262
e3520dfe-505e-4068-94db-7d1302c0499d	4	188301659	189304732	798	0.0382
e3520dfe-505e-4068-94db-7d1302c0499d	4	189318320	189396926	67	0.9476
e3520dfe-505e-4068-94db-7d1302c0499d	4	189404406	190106768	273	-0.0093
e3520dfe-505e-4068-94db-7d1302c0499d	5	15532	685633	306	-0.0397
e3520dfe-505e-4068-94db-7d1302c0499d	5	698256	773453	27	1.4686
e3520dfe-505e-4068-94db-7d1302c0499d	5	779766	17491103	13005	0.0203
e3520dfe-505e-4068-94db-7d1302c0499d	5	17491160	17515692	13	-0.9674
e3520dfe-505e-4068-94db-7d1302c0499d	5	17601444	19419717	1167	0.0057
e3520dfe-505e-4068-94db-7d1302c0499d	5	19423148	19432683	12	-0.9293
e3520dfe-505e-4068-94db-7d1302c0499d	5	19441203	58025819	21173	0.0201
e3520dfe-505e-4068-94db-7d1302c0499d	5	58030200	58037688	31	-0.5421
e3520dfe-505e-4068-94db-7d1302c0499d	5	58037706	82122944	14185	0.0147
e3520dfe-505e-4068-94db-7d1302c0499d	5	82123459	82123471	2	-3.6098
e3520dfe-505e-4068-94db-7d1302c0499d	5	82131663	126531272	27618	0.0172
e3520dfe-505e-4068-94db-7d1302c0499d	5	126533745	126533751	2	-2.4614
e3520dfe-505e-4068-94db-7d1302c0499d	5	126536376	133849044	4244	0.0148
e3520dfe-505e-4068-94db-7d1302c0499d	5	133849295	133849844	2	-2.3319
e3520dfe-505e-4068-94db-7d1302c0499d	5	133850153	181363319	30924	0.0144
e3520dfe-505e-4068-94db-7d1302c0499d	6	149661	257353	102	0.0026
e3520dfe-505e-4068-94db-7d1302c0499d	6	258265	294443	19	0.6249
e3520dfe-505e-4068-94db-7d1302c0499d	6	294474	4170294	3168	0.0326
