Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	51598	799636	66	0.193
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	802895	980702	31	-0.1496
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	993492	1008567	3	-1.5137
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	1018918	16026084	8320	0.008
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	16026123	16026512	5	-2.4806
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	16026788	16043047	9	-0.5459
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	16043623	16236527	80	-0.03
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	16240720	16252003	6	0.6162
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	16262153	16826882	234	0.0274
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	16835856	16843043	18	-0.4246
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	16878321	17063449	63	0.0657
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	17067742	17119669	29	0.3813
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	17120260	17120985	5	0.9928
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	17125962	17134834	27	0.3111
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	17148828	25455928	5274	0.0139
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	25465715	25519533	27	-1.671
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	25519573	25535897	5	-0.6899
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	25535931	30509960	2396	0.0166
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	30510942	30512383	7	-0.9762
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	30514083	37546879	4002	0.015
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	37547284	37548885	2	-1.6729
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	37550346	72541086	22371	0.0163
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	72541504	72583736	46	-1.2799
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	72584492	103904580	20081	5e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	103904753	104069745	55	0.6144
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	104104926	105814277	919	0.0072
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	105814899	105825660	22	0.6892
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	105826321	110029038	2664	-0.0042
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	110034497	110047801	23	-0.5007
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	110047804	112491849	1951	0.0077
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	112497488	112507641	30	-0.5302
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	112507651	116208960	2367	0.0033
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	116213392	116215711	4	-1.0855
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	116217773	150822151	5665	0.0309
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	150822330	150852862	31	2.6445
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	150852902	150853218	4	1.154
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	150857118	151017366	161	0.0336
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	151017424	151040529	48	0.5331
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	151043379	194998709	29570	0.0102
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	195005246	195083353	93	-0.3495
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	195089940	197374325	1378	-0.009
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	197377986	197379634	8	-0.8254
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	197380463	208137685	7436	-8e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	208148236	208148688	2	-1.6944
