Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	51598	219540	24	-0.0586
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	225533	779260	33	0.4384
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	780412	16803916	8679	0.0151
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	16804113	16842898	25	-0.4764
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	16842946	72541086	34177	0.0185
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	72541504	72583736	46	-0.7661
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	72584492	79993567	4658	0.0319
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	79995341	79999498	2	-2.8706
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	80000057	103960907	15430	0.0343
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	103965022	104041212	15	0.5358
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	104041509	105820728	933	0.0265
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	105820759	105825578	17	0.6872
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	105825593	110029038	2669	0.0334
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	110034497	110041701	17	-1.0957
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	110044476	110821550	520	0.0412
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	110822438	110823084	2	-1.1081
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	110823828	112491849	1433	0.0318
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	112497488	112498899	24	-0.3882
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	112498913	147509287	6489	0.0304
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	147509349	147521544	21	0.815
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	147523315	149069651	562	0.0225
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	149075513	149075740	2	1.2914
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	149077629	150822151	964	0.0186
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	150822330	150853164	33	-1.5236
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	150853200	151026302	172	0.0862
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	151028547	151040529	38	0.4439
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	151043379	151257684	167	-0.0043
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	151262348	151267602	5	-0.7682
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	151267854	158412797	4296	0.0229
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	158413118	158413567	4	1.0633
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	158415295	177597151	13493	0.0271
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	177598005	177599938	3	-1.4934
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	177605829	179039331	898	0.0251
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	179040590	179040753	2	-1.2859
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	179042285	194994473	10673	0.0258
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	194997658	195024743	36	-0.5718
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	195024772	195079130	57	-0.148
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	195079153	195082414	2	1.7905
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	195083353	196569803	820	0.0399
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	196570897	196573555	4	-0.8267
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	196574402	199600443	2137	0.0263
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	199601418	199602522	2	-1.3076
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	199606003	219004414	13400	0.0213
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	219006371	219008067	5	0.7913
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	219008541	225071627	3839	0.0285
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	225073595	225073805	3	-1.0441
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	225080319	241126386	11906	0.026
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	241126397	241152513	22	0.4664
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	241153729	246804070	3615	0.039
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	246815817	246875992	37	-0.541
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	1	246885106	247191011	140	0.0478
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	2	2784	34534998	24098	0.024
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	2	34536794	34591060	50	0.4625
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	2	34591536	36334261	1285	0.0436
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	2	36334834	36344545	15	0.4848
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	2	36346524	52595241	11724	0.0266
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	2	52597429	52634799	33	0.4195
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	2	52634830	79411954	17383	0.0266
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	2	79412530	79443428	27	0.3715
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	2	79444785	129354948	25720	0.0236
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	2	129354972	129356785	14	-0.7744
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	2	129356799	130534667	883	0.0365
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	2	130537224	130537320	2	-1.5229
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706	2	130539705	130663773	26	0.0897
