Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	3218610	156545720	70822	0.013
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	156548164	156550254	3	-1.1922
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	156550968	187972654	20576	0.0195
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	187978087	187999594	14	0.6487
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	188000058	247813706	37615	0.0148
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	2	484222	36473032	21341	0.019
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	2	36503883	36511740	12	-1.0531
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	2	36514985	242476062	109832	0.0194
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	3	2212571	35021831	19462	-0.3484
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	3	35024518	35119732	61	-1.0789
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	3	35123076	76347494	24232	-0.3513
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	3	76358868	197534959	62527	0.0185
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	3	197538019	197538677	2	-0.5422
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	4	1053934	22450122	13292	0.0157
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	4	22451406	22453788	4	-1.1732
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	4	22456221	188763651	89360	0.0176
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	5	914233	73051921	38493	0.0135
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	5	73052321	73052756	3	-1.7093
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	5	73060776	96219253	12825	0.0149
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	5	96221426	96221889	2	-1.5671
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	5	96222020	180360469	49110	0.0132
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	6	1014281	150265984	84409	0.0171
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	6	150266681	150299469	23	0.5708
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	6	150303241	170903919	11987	0.0168
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	7	705284	158385118	81264	0.0272
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	8	617667	30529414	17802	-0.3455
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	8	30529886	51634751	8879	0.0213
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	8	51635875	51643132	7	-1.2502
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	8	51652588	145232496	54778	0.0161
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	9	789932	13569433	6851	0.0182
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	9	13571608	13575929	4	-0.9337
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	9	13576367	15296795	1461	0.0221
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	9	15297028	15380657	83	-0.9688
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	9	15382671	15947593	317	0.0282
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	9	15952197	15994240	29	-0.9887
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	9	15994724	140938752	59225	0.0157
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	10	415240	76242772	43544	0.0089
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	10	76247075	76249785	2	-1.5439
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	10	76251828	135225087	37249	0.0082
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	11	456120	79016279	41634	0.0176
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	11	79016299	79016314	2	-1.4504
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	11	79016360	100278645	13044	0.0152
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	11	100285709	100289491	7	-1.0134
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	11	100296836	134140152	22505	0.0158
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	12	889902	47579248	24184	0.0103
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	12	47582601	52496226	2439	-0.335
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	12	52501372	133161346	47262	0.0152
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	13	19450806	114987458	56602	0.0212
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	14	20501368	105988038	49397	0.016
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	15	23687685	61768743	21122	0.0143
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	15	61770303	61770933	3	-1.151
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	15	61773482	101884307	23363	0.0113
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	16	653459	89379936	40765	0.0152
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	17	987221	70206659	32386	0.0078
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	17	70210440	70251169	23	0.5363
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	17	70251190	80917016	4562	0.0062
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	18	329586	51376226	28480	0.0366
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	18	51379751	51384089	2	1.6396
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	18	51384978	77109240	14136	0.0387
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	19	284018	28288418	9003	0.0046
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	19	28319922	28320035	2	-1.5008
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	19	28321431	58878226	14933	0.0121
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	20	455764	62219837	37253	0.0096
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	21	15347621	47678774	20569	0.0158
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	22	17423930	29652158	4609	0.0114
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	22	29653409	29653419	2	-1.4609
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	22	29653706	49331012	12299	0.0153
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	X	3157107	154905589	63641	0.0017
