Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	51598	16743865	8728	0.0116
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	16758722	16816409	20	-0.4241
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	16826358	16885328	36	-0.0027
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	16885372	16954999	26	-0.4774
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	16955178	17063449	22	-0.0265
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	17067742	17148828	62	-0.5512
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	17150527	22190770	3350	-2e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	22191588	22209830	8	-1.6741
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	22210712	45677933	12987	0.0055
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	45680850	45680897	2	-1.399
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	45682098	72562199	17749	0.0017
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	72566892	72577166	11	0.7928
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	72577326	72589609	18	0.2425
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	72591187	86799512	9351	0.0032
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	86801257	86812533	12	-0.9706
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	86813155	100142361	8475	0.004
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	100144643	100144658	2	-1.237
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	100144830	103965310	2261	0.0043
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	103979561	104069745	25	0.8196
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	104104926	110035094	3612	0.0089
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	110035754	110044476	11	-0.747
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	110046521	112497610	1958	0.004
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	112497716	112498535	16	0.4817
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	112498697	147137024	6375	-8e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	147137561	147695830	179	-0.6294
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	147703466	147982186	27	-0.2149
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	147989086	150822151	1467	0.0077
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	150822330	150853218	35	-0.6918
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	150857118	167483561	11552	0.0077
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F11_585046	1	167500598	167508390	7	0.8027
