Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	1	3208470	187523415	92182	0.0026
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	1	187813611	187873504	41	0.5405
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	1	187873921	245880329	36858	0.0028
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	2	474222	242124735	131305	0.0023
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	3	526235	30166127	16532	0.0062
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	3	30167548	30167569	2	-1.6333
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	3	30167781	159813745	70099	0.0049
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	3	159820459	159824329	4	-0.9232
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	3	159825198	179244243	9487	0.008
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	3	179246985	179249158	2	-1.6488
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	3	179249930	180862296	928	-0.0062
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	3	180865217	180866602	4	-0.914
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	3	180867694	199023074	9327	0.0076
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	4	1043934	122194125	67197	8e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	4	122199921	122200088	2	-1.3233
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	4	122201572	126297577	2243	-0.0046
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	4	126298547	126299795	3	-0.9847
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	4	126304041	169930048	23622	-2e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	4	169934946	169935474	3	-1.2631
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	4	169937205	189836143	9669	0.0018
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	5	967233	160273033	88526	0.0015
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	5	160275693	160275958	3	-1.3941
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	5	160276670	180293075	11979	0.0016
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	6	959281	26430964	17596	0.0034
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	6	26437082	26437305	3	-0.9744
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	6	26437706	55441374	15282	-0.0013
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	6	55441548	55442530	2	-1.4073
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	6	55444275	170745844	63605	0.0036
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	7	671810	104007573	52586	5e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	7	104007939	104008156	2	1.3182
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	7	104009230	149639123	24394	8e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	7	149639263	149639481	2	-1.3546
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	7	149643744	158077879	4335	0.001
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	8	607667	17491810	8550	0.0047
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	8	17493946	17494024	3	-1.0623
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	8	17498437	39069141	13846	-0.0054
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	8	39072152	39072524	2	-2.8378
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	8	39074374	145304484	59128	-0.0013
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	9	779932	140058573	68007	0.002
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	10	405240	135075077	80860	7e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	11	446120	75353519	39708	0.0023
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	11	75353908	75362229	4	-1.71
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	11	75362484	81382548	3890	0.0015
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	11	81386731	81387538	4	-0.9413
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	11	81391754	133647740	33658	0.0018
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	12	760163	131671419	73947	-2e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	13	18348806	114005560	56649	6e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	14	19571208	24374833	1933	6e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	14	24378227	24378932	2	-1.4234
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	14	24379418	105059083	47511	0.0014
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	15	21238778	94143266	41227	0.004
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	15	94144839	94144979	2	-1.5624
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	15	94150059	96178603	1406	0.0078
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	15	96178634	96178916	3	-1.2046
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	15	96181121	99701830	1894	0.0084
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	16	593460	87907437	40851	-3e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	17	933971	47586872	20654	0.0027
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	17	47587358	47587788	3	-0.8729
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	17	47588863	65046482	9749	-7e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	17	65047718	65054342	2	-1.1594
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	17	65055749	78510305	6583	-9e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396	18	319586	27048373	14245	-0.0028
