Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	61735	30738432	16584	-0.1662
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	30738504	30739796	5	-1.9374
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	30741496	72768418	26434	-0.1747
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	72768498	72811148	47	0.8388
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	72811904	112690326	25689	-0.1392
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	112695965	112697390	25	0.5584
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	112705956	152555706	8041	-0.0993
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	152555767	152586238	30	-1.8731
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	152586278	152756774	171	-0.0313
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	152756806	152768700	40	0.6475
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	152773905	174796556	14864	0.043
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	174796699	174797610	12	-0.7563
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	174797687	243123937	46910	0.0443
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	243124511	243134707	3	-1.6249
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	1	243135255	249224388	3778	0.032
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	12784	13200409	10008	0.0477
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	13202306	13284305	44	0.5829
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	13284910	30420830	11247	0.0471
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	30426596	30437786	6	-0.9565
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	30439774	34691069	2805	0.0474
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	34699315	34737057	46	-1.4946
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	34737163	52741737	13027	0.0421
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	52754468	52781542	40	0.6778
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	52787949	146862085	53628	0.0421
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	146864404	146866934	24	-1.4646
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	146877806	180061655	20285	0.0392
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	180067192	180079144	3	-2.6992
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	180083591	180418333	220	0.0448
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	180418388	180421497	20	-1.2257
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	180421512	208354955	16457	0.0409
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	208355178	208359149	15	-0.682
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	208359336	213181322	3041	0.0359
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	213186549	213191812	24	-0.993
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	213191825	213662939	329	0.0672
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	213665687	213666615	2	-1.9603
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	213666845	235671694	14205	0.0388
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	235672417	235673539	2	-1.9415
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	2	235675184	243089456	4531	0.0564
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	60345	1806990	1574	-0.5493
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	1809752	1809891	2	-2.6562
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	1813324	5726856	3431	-0.5477
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	5727522	5727851	2	-2.7664
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	5727970	65741880	40783	-0.5157
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	65753176	75568549	6935	0.047
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	75572549	75586805	6	1.3537
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	75595181	95456106	9153	0.0381
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	95466880	95468110	2	-2.8443
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	95468680	98945410	1869	0.0318
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	98948401	98948912	8	-1.1629
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	98949031	129785940	18764	0.0388
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	129786209	129808555	50	0.5328
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	129808811	162512739	20281	0.0392
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	162513092	162615915	62	-1.3634
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	162623842	168730180	3451	0.0372
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B11_734868	3	168733402	168738628	2	-1.8048
