GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	62920	3410232	811	0.1768
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	3410239	7265360	2677	0.0896
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	7266141	7266460	2	-1.3424
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	7266615	13110913	3037	0.0907
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	13114062	13119897	3	-0.9898
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	13270143	14004772	443	0.0958
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	14011106	14011442	4	0.925
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	14011499	15822848	1362	0.091
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	15823420	15827002	2	1.6649
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	15827041	16018760	93	0.0887
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	16037445	16063907	9	0.5579
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	16071582	16855942	261	0.0888
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	16863509	16973488	68	0.3891
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	16973678	20805757	2702	0.086
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	20806082	20806606	2	1.6872
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	20809744	25276440	2557	0.0892
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	25277975	25346663	17	-0.3833
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	25351593	38117186	6778	0.0863
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	38118360	38119209	3	-1.4501
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	38121474	46044681	4517	0.1025
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	46046603	46048154	2	1.5814
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	46053881	55505385	5395	0.1028
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	55505947	70958755	11239	0.1189
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	70960577	70964183	2	1.5027
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	70967301	72303233	788	0.139
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	72303253	72345465	45	-1.7235
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	72346221	81422771	5775	0.1267
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	81422917	81422920	2	1.9867
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	81422982	89009572	5159	0.1283
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	89012275	89012522	2	-1.3609
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	89015841	143494500	19807	0.1228
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	143541857	143708096	74	-0.6543
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	143708149	144503864	67	-0.3223
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	144932423	146044884	161	-0.8395
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	146062439	152582700	2134	0.1323
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	152583051	152613641	31	1.1563
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	152613762	158545233	3496	0.1037
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	158545295	158550505	17	-0.9566
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	158553881	174828195	11504	0.1163
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	174828247	174828310	2	1.629
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	174828367	179361393	3082	0.1243
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	179362247	179364180	3	-1.198
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	179370071	196745743	11563	0.1248
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	196758720	196847600	62	-1.388
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	196854187	240230732	29941	0.1138
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	240230748	240230839	4	-1.6286
ed08be38-16d7-4d75-b24f-2907a9f52fd4	1	240232805	248930189	5858	0.1292
ed08be38-16d7-4d75-b24f-2907a9f52fd4	2	12784	7089698	5541	0.1108
ed08be38-16d7-4d75-b24f-2907a9f52fd4	2	7093393	7094233	9	-0.7423
ed08be38-16d7-4d75-b24f-2907a9f52fd4	2	7094345	7499242	372	0.0981
ed08be38-16d7-4d75-b24f-2907a9f52fd4	2	7502934	7506841	2	1.7082
ed08be38-16d7-4d75-b24f-2907a9f52fd4	2	7506876	13844585	4551	0.1139
ed08be38-16d7-4d75-b24f-2907a9f52fd4	2	13846099	13846179	2	-1.8421
ed08be38-16d7-4d75-b24f-2907a9f52fd4	2	13847748	19705690	4437	0.1156
ed08be38-16d7-4d75-b24f-2907a9f52fd4	2	19706235	19707274	3	-1.0266
ed08be38-16d7-4d75-b24f-2907a9f52fd4	2	19711462	21596110	1281	0.1136
ed08be38-16d7-4d75-b24f-2907a9f52fd4	2	21600126	21634347	27	-0.6191
ed08be38-16d7-4d75-b24f-2907a9f52fd4	2	21637345	32954214	6663	0.1086
