Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	1	3208470	54014562	26822	0.0067
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	1	54017747	54020159	4	-1.2709
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	1	54024786	111626234	35442	0.0016
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	1	111627406	111660112	31	0.5449
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	1	111662944	204488709	39964	0.0012
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	1	204495632	204496562	2	-1.5925
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	1	204606274	245880329	26822	0.001
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	2	474222	81800372	47205	-3e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	2	81803474	81804006	2	-2.1885
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	2	81807043	239035991	82441	0.002
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	2	239041692	239054059	4	1.3705
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	2	239060492	242124735	1646	0.0176
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	3	526235	199023074	106385	0.0018
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	4	1043934	71370032	38319	-0.002
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	4	71370860	71372553	3	-1.8129
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	4	71375750	189836143	64415	-0.0017
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	5	967233	180293075	100512	-0.0018
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	959281	2686186	1315	0.0119
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	2686721	2687507	2	-1.6503
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	2688673	10923331	5568	0.0113
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	10924892	10925137	2	-1.8644
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	10925491	25055784	9965	0.0025
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	25059178	25059788	5	-1.2963
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	25062214	44597785	9383	0.0096
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	44598092	44599826	2	-1.2715
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	44601697	135377122	49111	-1e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	135383947	135384931	2	-1.669
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	135391263	153867843	11680	0.0018
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	153868537	153869002	2	-1.3876
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	153871141	169326313	8800	0.007
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	169326565	169326580	2	-1.562
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	6	169328299	170745844	638	-9e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	7	671810	15021329	7021	-0.0072
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	7	15021460	15022469	3	-1.1411
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	7	15028484	24001652	5164	-0.0128
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	7	24006403	24006908	2	1.3396
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	7	24007342	158077879	69135	-0.0029
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	8	607667	61731990	32687	-0.004
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	8	61737546	61739082	2	-1.6215
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	8	61739352	121896003	34211	-0.0016
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	8	121896649	121896678	3	-1.2068
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	8	121898100	145304484	14633	-0.0027
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	9	779932	23667195	14618	2e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	9	23669042	23669709	3	-1.2281
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	9	23669836	92792634	24437	0.0023
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	9	92794541	92794650	3	-1.1243
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	9	92794991	93373247	425	0.0074
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	9	93373420	93373710	4	-0.9747
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	9	93374177	140058573	28524	0.0086
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	10	405240	65266104	37694	-0.0063
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	10	65275865	65276055	3	-1.2365
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	10	65276235	70753389	2935	-0.0093
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	10	70753570	70764382	4	1.2648
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	10	70767473	87241979	10301	-0.0015
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	10	87242811	87243461	2	-1.2882
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	10	87243543	135075077	29940	-7e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	11	446120	71822594	37849	-9e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	11	71825523	71836912	7	-1.1109
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	11	71842775	133647740	39408	0.0012
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	12	760163	16856944	9118	-0.0019
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	12	16857260	16859305	2	-1.5183
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	12	16860241	131671419	64830	-9e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	13	18348806	114005560	56659	-0.0016
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	14	19571208	28793480	4461	-0.0022
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	14	28797605	28798105	2	1.5486
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	14	28801413	105059083	44993	0
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	15	21238778	99701830	44528	0.0064
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	16	593460	10681930	5338	0.007
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	16	10686630	10687321	3	-1.368
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	16	10688780	82388001	32939	0.0024
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	16	82388190	82388312	2	-1.3409
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	16	82389707	87907437	2582	0.0053
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	17	933971	30021426	13016	0.0024
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	17	30024199	30024379	2	-1.9137
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	17	30028202	36177375	2700	0.0093
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	17	36178051	36178558	2	-1.2438
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	17	36178853	61477838	12621	0.0057
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	17	61479012	61479249	4	-0.9896
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	17	61483694	74767849	7236	0.0103
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	17	74768477	74768508	2	1.5363
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	17	74768718	78510305	1402	0.0054
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	18	319586	66933670	38796	-0.0083
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	18	66933980	66935043	5	0.8372
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	18	66935307	73514900	2899	-0.0059
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	18	73516630	73521452	2	-1.0987
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	18	73521884	75210228	967	-7e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	19	235018	63570038	23951	0.0043
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	20	403764	17305573	10931	0.0073
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	20	17306050	17306661	7	-1.0581
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	20	17306710	61690281	26338	0.0023
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	21	14269492	15507072	816	0.0171
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	21	15510166	15515779	2	-1.4431
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	21	15516912	46503202	19761	2e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	22	15803930	47717016	16936	0.0096
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	X	3167107	12085627	2865	-0.0094
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	X	12085766	12085850	4	-0.9942
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	X	12085940	83742417	29336	0.0025
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	X	83746081	83750935	4	-0.9032
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	X	83751518	123662606	17959	0.0042
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	X	123673820	123677353	3	-1.1096
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	X	123677565	131337367	3279	-0.0014
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	X	131337794	131337864	2	-1.4798
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E10_697460	X	131338713	154558783	10300	-0.0074
