Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	1	3208470	245880329	128964	0.0013
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	2	474222	242124735	131169	0.0045
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	3	526235	199023074	106270	0.0019
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	4	1043934	53433168	28690	-9e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	4	53433273	53433281	2	-2.4669
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	4	53434019	189836143	73962	0.0041
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	5	967233	180293075	100363	0.0011
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	6	959281	170745844	96391	0.0034
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	7	671810	158077879	81240	2e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	8	607667	145304484	81455	3e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	9	779932	24638698	15137	0.0041
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	9	24642276	24643348	2	-1.9105
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	9	24643566	132299943	48985	3e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	9	132300706	132300836	2	-1.8807
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	9	132301517	140058573	3803	-0.0015
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	10	405240	135075077	80762	-0.0013
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	11	446120	70810278	37395	-8e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	11	70810865	70811484	3	-1.2625
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	11	70811715	133647740	39762	0.0032
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	12	760163	46525397	24530	0.002
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	12	46526031	46526102	2	-1.8828
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	12	46526627	131671419	49362	0.002
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	13	18348806	93784231	43699	0.0022
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	13	93785197	93785722	2	-1.4305
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	13	93786901	114005560	12876	6e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	14	19571208	82132409	35638	0.0015
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	14	82135466	82135495	2	-2.1538
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	14	82135791	105059083	13761	0.0031
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	15	21238778	38224375	8356	-0.0014
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	15	38231626	38231639	2	-1.5222
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	15	38238017	91019081	31157	-0.0013
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	15	91019082	91022256	3	-1.4548
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	15	91022416	99701830	4961	0.0044
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	16	593460	76220702	32888	-0.002
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	16	76221069	76221437	2	-1.9218
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	16	76221469	87907437	7910	-0.0023
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	17	933971	78510305	36944	0.0015
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	18	319586	75210228	42629	-0.0011
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	19	235018	63570038	23915	2e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	20	403764	16395985	10137	0.0067
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	20	16396022	16397938	2	-1.4321
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	20	16404032	24729653	6061	-0.0082
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	20	24731876	24732776	2	-1.4203
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460	20	24734822	61690281	21025	-0.0038
