Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	61735	82170	9	-0.8066
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	82315	72763370	43041	0.0082
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	72768418	72768916	3	-0.7658
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	72768936	72811148	45	-2.0005
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	72811904	76050844	1933	-0.0082
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	76054763	76054854	2	-2.5673
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	76059509	95130697	12524	0.0071
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	95130766	95152850	57	-0.9073
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	95155385	104178038	5581	0.0084
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	104221531	104268222	24	0.4151
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	104303403	106019205	920	-0.0018
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	106019236	106022375	16	0.7758
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	106024055	112063002	4108	0.0146
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	112063048	112069015	7	-0.8544
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	112069485	145151728	5949	0.0098
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	145151959	145152018	3	1.6183
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	145152050	145391761	70	-0.1801
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	145392524	145625979	105	0.0465
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	145626284	145630378	3	-1.0673
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	145633360	152759678	2674	0.0043
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	152761923	152768700	37	-0.3682
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	152773905	161508875	5280	0.0051
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	161517939	161637868	44	-0.3514
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F01_1464666	1	161637956	169233974	6023	0.0112
