Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	61735	5898323	2698	-0.0527
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	5898729	5902314	7	-0.8663
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	5902427	16844932	6016	0.0054
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	16846035	16909609	11	-0.851
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	16921719	35091674	10418	-0.0013
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	35102654	35104491	20	-0.617
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	35114268	72746567	23848	0.0112
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	72746581	72817021	64	0.7574
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	72818599	92193264	12761	0.0072
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	92193662	92195652	2	-1.5455
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	92196053	106000943	8271	0.0025
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	106001360	106030601	34	0.4504
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	106034938	108745003	1939	0.0184
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	108745239	108745255	2	-1.1598
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	108745673	110232974	716	4e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	110233037	110240178	15	0.4612
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	110242953	111374093	836	0.0019
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	111375566	111393396	45	0.3911
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	111393490	112690326	1076	0.0124
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	112695965	112706128	31	0.6618
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	112706140	148906617	6360	0.0196
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C09_697444	1	148907270	149306068	153	-0.813
