Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	51598	2059541	382	0.2193
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	2061598	2064928	3	-1.4457
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	2067269	5950320	2431	0.0466
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	5952524	5954531	2	-1.8821
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	5956455	10539621	2536	0.011
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	10539778	10539859	2	-2.3288
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	10544961	12760427	1167	0.0033
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	12761331	13257060	64	0.4059
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	13257219	16890217	2205	0.0194
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	16902179	16929044	16	0.8124
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	16949054	16987299	19	-0.2354
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	17049632	34861071	10330	0.0177
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	34864045	34890618	29	0.4072
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	34890869	53574503	10212	0.0142
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	53577162	53578338	2	-2.481
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	53580946	72535958	13555	0.0074
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	72541006	72584492	49	0.4708
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	72585028	89247843	10983	-0.0026
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	89250546	89250793	2	-3.3721
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	89254112	90328738	650	-0.0018
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	90329568	90331805	2	-2.1502
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	90332271	104027091	8465	-0.005
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	104041212	104104926	14	1.1949
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	104105024	110044476	3619	0.0098
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	110046521	110062265	21	0.5601
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	110066135	111181078	835	0.0069
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	111181096	111213802	56	0.2908
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	111216415	112489834	1041	0.0159
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	112491734	112498913	28	0.4484
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	112507479	112793338	245	-0.028
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	112793385	112793404	2	-1.7508
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	112796388	143626220	5050	0.0123
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	143628352	143633214	3	-2.1258
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	143646846	147303148	1080	0.1032
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	147306690	147540169	132	-0.4983
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	147541278	150822151	1523	0.0304
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	150822330	150852741	30	-1.2996
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	150852862	151026302	176	0.0208
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	151028547	151035324	37	0.7131
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	151040529	167483561	11341	0.0059
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	167500598	167505355	4	-2.817
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	167505369	183069517	10380	0.003
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	183073651	183074135	2	-2.6868
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	183075976	183388645	168	0.0156
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	183388894	183391223	2	-2.0367
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	183394778	185978725	1663	-7e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	185978962	185991233	10	-0.7488
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	185991541	193204849	4779	-0.0028
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	193206349	193207528	3	-1.6849
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	193207717	194977690	1185	-0.0171
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	194977810	195208284	180	0.266
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	195208371	203875607	5775	0.0058
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	203875633	203878326	4	-1.5897
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	203878749	208137685	2958	-0.0056
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	208148236	208150607	3	-2.2304
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	1	208153175	247191011	27127	0.0036
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	2784	52608065	37186	0.0074
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	52608232	52608385	3	-3.1132
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	52612257	52612445	5	-0.0652
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	52612520	52634799	20	-0.8384
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	52634830	59409048	4740	-0.0045
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	59413132	59530133	80	-0.9868
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	59532129	71135489	7382	0.0081
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	71139186	71139675	3	-1.71
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	71142295	79079198	4905	0.0052
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	79079460	79079831	3	-1.5463
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	79080221	79201080	121	0.077
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	79201253	79202880	3	-2.0442
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	79203566	79411954	154	0.0353
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	79412530	79422530	11	-0.7821
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	79425125	87214683	4637	-0.0042
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	87227404	87827736	190	0.5477
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	87833445	97080999	1779	0.0702
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	97082063	97383943	79	0.3412
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	97385003	126043975	17023	0.0096
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	126045009	126055982	3	-1.9249
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	126056220	129911962	2497	0.0056
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	129912569	129915695	10	0.7485
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	129916004	130510353	407	0.0475
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	130511849	130533830	3	-0.8453
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	130534667	130745251	52	0.3155
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	130745933	138204570	4390	0.022
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	138205997	138211717	2	-2.7073
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	138212362	146574839	5141	-4e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	146575321	146595369	42	0.6215
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	146595458	180126578	20503	0.001
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	180126633	180130382	28	-0.7818
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	180133888	183792398	2320	-0.0105
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	183793698	183797969	10	-1.0848
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	183802243	184399698	381	-0.0212
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	184399894	184406184	4	-1.2377
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	184409041	186505302	1222	0.0077
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H07_697258	2	186515513	186515638	2	-2.0174
