GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	62920	12779433	6486	0.0614
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	12792599	12867264	31	-0.4171
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	12868035	15823420	1815	0.0552
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	15827002	15827430	6	-2.5118
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	15827706	25256850	5675	0.0602
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	25266637	25351593	28	0.6529
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	25351871	45909024	11216	0.0595
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	45910272	46129164	112	0.2375
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	46130011	47582769	792	0.0521
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	47583018	47591779	7	-0.6409
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	47594417	61971271	9544	0.0681
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	61973559	61989000	38	0.3357
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	61989112	72290491	7004	0.0489
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	72293529	72345465	54	0.5935
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	72346221	81422771	5774	0.0433
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	81422917	81422982	3	-1.0239
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	81422996	103620877	14242	0.0429
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	103621165	103717410	4	-1.1276
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	103717617	109690352	3569	0.0428
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	109690415	109697556	12	-0.5159
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	109702376	110788378	800	0.028
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	110789023	110869657	106	0.2689
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	110872270	112147704	1041	0.0365
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	112153343	112154552	19	0.5902
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	112154566	112296334	136	0.1546
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	112297054	119984772	4912	0.0529
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	120002553	143709361	199	0.1929
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	143709762	144932423	64	0.3713
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	145642976	145829748	61	0.7373
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	145829794	149904595	838	0.1316
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	149906351	152494491	1311	0.0447
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	152495537	152580550	80	0.1649
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	152582700	152607145	29	-0.7729
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	152607349	152787202	175	0.0431
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	152789447	152795805	33	0.776
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	152795862	164988886	7905	0.0463
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	164989212	165001654	12	-0.4687
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	165004385	174827128	6893	0.0544
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	174827267	174832702	17	0.4359
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	174832716	175524765	489	0.0565
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	175527214	175527565	2	-1.4521
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	175528783	196745743	14149	0.0536
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	196758720	196916555	116	-0.8902
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	196917579	209897717	8725	0.0482
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	209908268	209908720	2	-1.4665
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	209910639	227237600	11654	0.0484
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	227238371	227238705	3	-1.4107
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	227241477	230442883	1967	0.071
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	230447577	230452379	4	-1.0337
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	230455350	233385393	2259	0.0722
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	233386519	247590073	10380	0.039
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	247590493	248457862	544	0.1046
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	248458096	248661836	61	0.3882
5e8349c2-d32f-418b-a763-9a904ddaf2f3	1	248661962	248930189	137	0.0843
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	12784	34476327	24080	0.0564
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	34476516	34476668	4	-2.7805
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	34483565	34497523	27	-1.323
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	34497960	34511990	13	-2.6728
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	34512096	52527330	13004	0.0498
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	52527342	52554404	39	0.5616
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	52560811	54255416	1279	0.0445
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	54255805	54255827	2	-1.3046
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	54259004	69378420	9870	0.0523
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	69382972	69383450	2	-1.4383
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	69386794	86710564	10767	0.048
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	86725947	86726731	2	1.7269
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	86743283	88807650	640	0.0623
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	88807675	94681256	414	0.1902
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	94682300	97357159	872	0.0535
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	97359380	97642429	32	0.4334
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	97643270	106263639	5544	0.058
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	106264257	106268901	11	-2.2845
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	106270799	200639580	56692	0.0511
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	200639681	242101352	26085	-0.4215
5e8349c2-d32f-418b-a763-9a904ddaf2f3	2	242101834	242147305	20	-0.0533
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	20930	4322779	3857	-0.4418
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	4323133	4338436	12	-0.914
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	4338460	4341032	3	-1.986
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	4341936	4572121	221	-0.6643
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	4572500	10195263	4521	-0.4367
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	10195613	10200191	2	-4.1019
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	10200987	65002295	36369	-0.423
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	65003345	65013205	8	-1.6943
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	65013759	65157368	132	-0.3961
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	65162946	65163807	2	-2.3749
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	65164408	68697013	2522	-0.4248
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	68697108	68698262	14	-1.488
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	68699607	75420342	4870	-0.4466
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	75434094	75832122	100	-0.1129
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	75842770	80192601	2558	-0.4333
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	80195265	80195959	2	-1.804
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	80198742	84651178	2357	-0.4316
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	84651212	84652985	7	-1.1601
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	84653010	86212375	922	-0.4041
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	86216052	86216665	2	-1.9932
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	86221012	89337951	1775	-0.4137
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	89345442	89370231	50	-2.6434
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	89370771	99225632	3230	-0.4297
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	99225667	99230470	35	-2.3489
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	99230577	114136949	8966	-0.4362
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	114142353	114203926	41	0.0379
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	114209058	114411497	138	-0.4421
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	114413969	114414005	2	-2.2098
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	114414554	116042126	970	-0.4345
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	116045107	119800037	2604	0.0532
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	119800182	120352720	284	-0.4457
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	120356011	142098343	13147	0.053
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	142098594	142325153	110	0.2252
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	142334554	165341597	14129	0.0523
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	165341675	165364151	38	0.3264
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	165367641	165821822	288	0.0699
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	165822028	166118655	170	0.1919
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	166123145	183509288	10683	0.049
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	183509519	184116082	316	0.1637
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	184116702	191934428	5444	0.0649
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	191938381	191941562	5	-1.0177
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	191941728	193160113	881	0.0743
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	193160173	193165114	19	1.4616
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	193168646	193425591	180	0.158
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	193425625	194677604	809	0.0483
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	194679448	194680083	2	1.4619
5e8349c2-d32f-418b-a763-9a904ddaf2f3	3	194681645	195124497	319	0.0714
