Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	1	3208470	87825823	48444	1e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	1	87826104	87826975	3	-2.5926
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	1	87828321	245880329	80492	-0.001
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	2	474222	242124735	131161	1e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	3	526235	199023074	106315	-0.0013
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	4	1043934	189836143	102657	4e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	5	967233	151559117	82778	-0.0033
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	5	151563005	151563603	4	-1.799
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	5	151565320	180293075	17635	-0.0063
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	6	959281	40836582	24071	0.0025
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	6	40839586	40839660	2	-2.0553
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	6	40840625	150322594	60335	2e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	6	150322613	150324856	2	-1.9357
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	6	150325271	170745844	11996	0.0059
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	7	671810	158077879	81241	-0.0061
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	8	607667	4101864	1816	-0.0013
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	8	4197548	4202535	15	-1.4676
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	8	4202896	145304484	79634	-8e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	9	779932	16209480	9012	0.0048
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	9	16211742	16216018	7	-1.3913
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	9	16220839	140058573	58924	-0.0012
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	10	405240	135075077	80771	1e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	11	446120	133647740	77173	-0.0012
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	12	760163	131671419	73896	0.0018
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	13	18348806	24487995	2963	-0.0019
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	13	24493683	24496246	7	-1.0172
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	13	24500763	114005560	53643	0.0011
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	14	19571208	105059083	49394	-5e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	15	21238778	99701830	44485	-0.0038
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	16	593460	87907437	40804	-0.0038
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	17	933971	78510305	36944	6e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	18	319586	75210228	42641	0.0051
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	19	235018	52565127	19414	0.0019
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	19	52568841	52569610	3	-1.3663
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	19	52569727	63570038	4505	0.0125
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	20	403764	25547453	16615	-0.0026
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	20	25547655	25548382	2	-1.6185
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	20	25551386	31218094	1175	-0.0042
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	20	31221629	31223032	2	-2.0136
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	20	31224369	36379050	2556	0.0093
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	20	36381273	36384054	2	-2.8194
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	20	36384160	61690281	16887	-0.0072
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	21	14269492	46503202	20570	1e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	22	15803930	47717016	16902	-0.0091
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_D02_742060	X	3167107	154558783	63337	0.0189
