GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	62920	3305906	740	0.1381
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	3306063	16721984	7843	0.0093
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	16766762	16855942	14	-1.4754
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	16863509	16959715	61	0.3615
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	16959824	58428499	24193	0.0065
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	58432430	58442473	6	-2.3811
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	58442753	72297687	9505	-0.0032
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	72302735	72345465	48	-0.7633
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	72346221	72546545	117	-0.0296
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	72546921	72559396	11	-1.015
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	72560293	76933019	2840	0.0112
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	76933062	76936910	2	-2.7694
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	76937042	87318963	6685	-0.0143
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	87319914	87321020	2	-2.7649
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	87325326	102187221	9459	0.007
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	102190128	102233874	28	0.5263
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	102233909	105470754	1642	-0.0116
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	105476583	105479753	17	-1.2649
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	105481433	112147704	4557	-0.0102
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	112153343	112154619	23	-1.5923
3efe7e64-89b9-4366-ba21-e5143d106cc6	1	112154754	248930189	72494	0.0005
3efe7e64-89b9-4366-ba21-e5143d106cc6	2	12784	242147305	148184	0.0005
3efe7e64-89b9-4366-ba21-e5143d106cc6	3	20930	210385	170	-0.0652
3efe7e64-89b9-4366-ba21-e5143d106cc6	3	210661	213712	2	-3.3414
3efe7e64-89b9-4366-ba21-e5143d106cc6	3	213961	46751887	32685	0.0017
3efe7e64-89b9-4366-ba21-e5143d106cc6	3	46760327	46808099	40	-1.9176
3efe7e64-89b9-4366-ba21-e5143d106cc6	3	46817989	130067443	48815	0.003
3efe7e64-89b9-4366-ba21-e5143d106cc6	3	130067531	130088155	32	0.7193
3efe7e64-89b9-4366-ba21-e5143d106cc6	3	130089433	162794951	20084	0.0057
3efe7e64-89b9-4366-ba21-e5143d106cc6	3	162795304	162914466	81	0.4348
3efe7e64-89b9-4366-ba21-e5143d106cc6	3	162914509	197580574	21431	0.0053
3efe7e64-89b9-4366-ba21-e5143d106cc6	3	197580854	197587577	11	-1.0098
3efe7e64-89b9-4366-ba21-e5143d106cc6	3	197587951	198169247	257	0.0946
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	68929	10212536	5632	0.0158
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	10221792	10228994	20	1.0958
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	10229120	34784878	16852	-0.0099
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	34785333	34828250	38	0.7197
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	34828291	68509237	19325	0.0002
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	68509442	68620261	63	0.4166
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	68623617	111375831	25625	-0.0015
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	111376259	111388458	24	-0.8994
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	111388478	143921485	19413	-0.0035
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	143921752	144022426	50	-0.8315
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	144022441	184063649	25103	-0.0032
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	184064856	184065358	2	-3.4493
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	184066518	186157990	1491	0.0371
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	186158029	186158230	2	-2.837
3efe7e64-89b9-4366-ba21-e5143d106cc6	4	186158892	190106768	2551	0.0331
3efe7e64-89b9-4366-ba21-e5143d106cc6	5	15532	4280516	3105	0.0378
3efe7e64-89b9-4366-ba21-e5143d106cc6	5	4281312	4281606	3	-2.9191
3efe7e64-89b9-4366-ba21-e5143d106cc6	5	4282495	11161513	5886	-0.0116
3efe7e64-89b9-4366-ba21-e5143d106cc6	5	11162524	11162659	3	-3.5541
3efe7e64-89b9-4366-ba21-e5143d106cc6	5	11167165	150822643	82625	-0.0027
3efe7e64-89b9-4366-ba21-e5143d106cc6	5	150825938	150839042	8	-2.235
3efe7e64-89b9-4366-ba21-e5143d106cc6	5	150843825	180947523	20050	-0.0052
3efe7e64-89b9-4366-ba21-e5143d106cc6	5	180951710	181006225	20	-1.9421
3efe7e64-89b9-4366-ba21-e5143d106cc6	5	181006264	181363319	168	0.1704
3efe7e64-89b9-4366-ba21-e5143d106cc6	6	149661	198481	28	0.2067
3efe7e64-89b9-4366-ba21-e5143d106cc6	6	201456	215423	15	-1.0462
3efe7e64-89b9-4366-ba21-e5143d106cc6	6	217201	31305253	22045	-0.0007
3efe7e64-89b9-4366-ba21-e5143d106cc6	6	31305926	31328176	11	-1.5734
3efe7e64-89b9-4366-ba21-e5143d106cc6	6	31328210	32486498	497	0.0311
3efe7e64-89b9-4366-ba21-e5143d106cc6	6	32486746	32533522	14	1.2389
3efe7e64-89b9-4366-ba21-e5143d106cc6	6	32540699	64253846	17610	0.0022
3efe7e64-89b9-4366-ba21-e5143d106cc6	6	64253903	64272021	14	-1.101
3efe7e64-89b9-4366-ba21-e5143d106cc6	6	64273209	78201550	9025	-0.0031
3efe7e64-89b9-4366-ba21-e5143d106cc6	6	78201795	78322875	159	0.3539
3efe7e64-89b9-4366-ba21-e5143d106cc6	6	78325223	103290101	15368	-0.0013
3efe7e64-89b9-4366-ba21-e5143d106cc6	6	103290164	103314186	45	0.6519
3efe7e64-89b9-4366-ba21-e5143d106cc6	6	103317795	170741917	43755	-0.0017
3efe7e64-89b9-4366-ba21-e5143d106cc6	7	43355	8194523	4509	-0.0002
3efe7e64-89b9-4366-ba21-e5143d106cc6	7	8194741	8196276	3	-3.0642
3efe7e64-89b9-4366-ba21-e5143d106cc6	7	8200326	159334314	92526	-0.0062
3efe7e64-89b9-4366-ba21-e5143d106cc6	8	81254	2554331	1737	0.0115
3efe7e64-89b9-4366-ba21-e5143d106cc6	8	2554553	2555188	2	-3.6403
3efe7e64-89b9-4366-ba21-e5143d106cc6	8	2559786	25116928	19513	-0.0017
3efe7e64-89b9-4366-ba21-e5143d106cc6	8	25116961	25126818	26	-1.9725
3efe7e64-89b9-4366-ba21-e5143d106cc6	8	25133589	39368830	8929	-0.0037
3efe7e64-89b9-4366-ba21-e5143d106cc6	8	39372664	39529446	62	0.7734
3efe7e64-89b9-4366-ba21-e5143d106cc6	8	39530780	140640517	62437	-0.0057
3efe7e64-89b9-4366-ba21-e5143d106cc6	8	140646056	145072769	1961	0.1017
3efe7e64-89b9-4366-ba21-e5143d106cc6	9	46587	592077	472	-0.0157
3efe7e64-89b9-4366-ba21-e5143d106cc6	9	592198	608808	48	-0.8431
3efe7e64-89b9-4366-ba21-e5143d106cc6	9	611164	41069539	30406	-0.0006
3efe7e64-89b9-4366-ba21-e5143d106cc6	9	41079864	61680289	179	0.3953
3efe7e64-89b9-4366-ba21-e5143d106cc6	9	61692082	63580418	35	-0.1408
3efe7e64-89b9-4366-ba21-e5143d106cc6	9	63590317	63592813	7	2.5069
3efe7e64-89b9-4366-ba21-e5143d106cc6	9	63614182	135319329	46506	0.0035
3efe7e64-89b9-4366-ba21-e5143d106cc6	9	135319522	135324566	4	-2.3046
3efe7e64-89b9-4366-ba21-e5143d106cc6	9	135325951	138200944	1101	0.0295
3efe7e64-89b9-4366-ba21-e5143d106cc6	10	45792	109537025	72576	-0.0026
3efe7e64-89b9-4366-ba21-e5143d106cc6	10	109544847	109635030	69	-0.8265
3efe7e64-89b9-4366-ba21-e5143d106cc6	10	109636443	133654968	17163	0.0019
3efe7e64-89b9-4366-ba21-e5143d106cc6	11	198510	50343073	33714	0.0034
3efe7e64-89b9-4366-ba21-e5143d106cc6	11	50384671	55323792	286	0.254
3efe7e64-89b9-4366-ba21-e5143d106cc6	11	55326407	98027985	25591	0.0022
3efe7e64-89b9-4366-ba21-e5143d106cc6	11	98029494	98030280	2	-3.2125
3efe7e64-89b9-4366-ba21-e5143d106cc6	11	98030919	132958389	24806	-0.0097
3efe7e64-89b9-4366-ba21-e5143d106cc6	11	132960216	135074876	1571	0.0833
3efe7e64-89b9-4366-ba21-e5143d106cc6	12	51460	8380639	5540	0.0125
3efe7e64-89b9-4366-ba21-e5143d106cc6	12	8384016	8432076	22	1.0792
3efe7e64-89b9-4366-ba21-e5143d106cc6	12	8442298	34227066	17687	-0.0019
3efe7e64-89b9-4366-ba21-e5143d106cc6	12	34227415	37898277	225	0.2906
3efe7e64-89b9-4366-ba21-e5143d106cc6	12	37923958	42279455	2725	0.0167
3efe7e64-89b9-4366-ba21-e5143d106cc6	12	42281467	42282976	2	-2.5854
3efe7e64-89b9-4366-ba21-e5143d106cc6	12	42291855	43177917	578	-0.0217
3efe7e64-89b9-4366-ba21-e5143d106cc6	12	43178979	43196434	10	-1.1902
3efe7e64-89b9-4366-ba21-e5143d106cc6	12	43198211	103544212	37296	-0.0034
3efe7e64-89b9-4366-ba21-e5143d106cc6	12	103544904	103545049	2	-4.6003
3efe7e64-89b9-4366-ba21-e5143d106cc6	12	103546253	133201603	19955	0.0136
3efe7e64-89b9-4366-ba21-e5143d106cc6	13	18452809	31957934	9462	0.0048
3efe7e64-89b9-4366-ba21-e5143d106cc6	13	31957984	31965910	20	-1.1994
3efe7e64-89b9-4366-ba21-e5143d106cc6	13	31967384	114342922	54073	-0.0063
3efe7e64-89b9-4366-ba21-e5143d106cc6	14	18239283	22626099	2102	0.0202
3efe7e64-89b9-4366-ba21-e5143d106cc6	14	22626643	22630304	5	-2.5901
3efe7e64-89b9-4366-ba21-e5143d106cc6	14	22630485	106877229	52761	-0.0031
3efe7e64-89b9-4366-ba21-e5143d106cc6	15	19811075	20376202	92	0.1796
3efe7e64-89b9-4366-ba21-e5143d106cc6	15	20376309	20381689	11	1.2157
3efe7e64-89b9-4366-ba21-e5143d106cc6	15	20381704	29604621	4401	0.021
3efe7e64-89b9-4366-ba21-e5143d106cc6	15	29605454	29607900	2	-3.9943
3efe7e64-89b9-4366-ba21-e5143d106cc6	15	29608314	101928837	46586	0.0048
3efe7e64-89b9-4366-ba21-e5143d106cc6	16	10777	14954911	10995	0.0099
3efe7e64-89b9-4366-ba21-e5143d106cc6	16	14954987	14991827	40	-0.8436
3efe7e64-89b9-4366-ba21-e5143d106cc6	16	14993314	15567932	141	0.0098
3efe7e64-89b9-4366-ba21-e5143d106cc6	16	15567957	15567965	2	-2.669
3efe7e64-89b9-4366-ba21-e5143d106cc6	16	15581780	26926795	6481	0.0396
3efe7e64-89b9-4366-ba21-e5143d106cc6	16	26926953	27023153	106	0.4412
3efe7e64-89b9-4366-ba21-e5143d106cc6	16	27029362	52582090	6330	0.0235
3efe7e64-89b9-4366-ba21-e5143d106cc6	16	52584180	52584201	2	-4.439
3efe7e64-89b9-4366-ba21-e5143d106cc6	16	52585110	83020024	21825	-0.0003
3efe7e64-89b9-4366-ba21-e5143d106cc6	16	83021827	83022539	2	-3.6856
3efe7e64-89b9-4366-ba21-e5143d106cc6	16	83023736	90096867	5413	0.0212
3efe7e64-89b9-4366-ba21-e5143d106cc6	17	150733	6197878	3338	0.0324
3efe7e64-89b9-4366-ba21-e5143d106cc6	17	6203166	6229454	29	-3.5471
3efe7e64-89b9-4366-ba21-e5143d106cc6	17	6229492	14490222	5681	-0.0031
3efe7e64-89b9-4366-ba21-e5143d106cc6	17	14490283	14807735	266	0.2008
3efe7e64-89b9-4366-ba21-e5143d106cc6	17	14808689	18455635	1989	0.0059
3efe7e64-89b9-4366-ba21-e5143d106cc6	17	18458372	18571332	26	0.6481
3efe7e64-89b9-4366-ba21-e5143d106cc6	17	18592992	36103057	6778	0.0169
3efe7e64-89b9-4366-ba21-e5143d106cc6	17	36108119	36148900	35	0.7846
3efe7e64-89b9-4366-ba21-e5143d106cc6	17	36150004	41265456	2504	0.0097
3efe7e64-89b9-4366-ba21-e5143d106cc6	17	41266762	41276472	25	1.3679
3efe7e64-89b9-4366-ba21-e5143d106cc6	17	41276588	83091923	23988	0.014
3efe7e64-89b9-4366-ba21-e5143d106cc6	18	48133	80257174	50226	0.0067
3efe7e64-89b9-4366-ba21-e5143d106cc6	19	90910	15669412	6526	-0.0016
3efe7e64-89b9-4366-ba21-e5143d106cc6	19	15669533	15683917	25	0.8361
3efe7e64-89b9-4366-ba21-e5143d106cc6	19	15686003	15688533	5	-0.4014
3efe7e64-89b9-4366-ba21-e5143d106cc6	19	15688556	15712794	20	0.8328
3efe7e64-89b9-4366-ba21-e5143d106cc6	19	15713261	54226329	19706	0.0153
3efe7e64-89b9-4366-ba21-e5143d106cc6	19	54226360	54249657	18	0.8931
3efe7e64-89b9-4366-ba21-e5143d106cc6	19	54249685	55966321	929	0.0241
3efe7e64-89b9-4366-ba21-e5143d106cc6	19	55966344	55978407	11	-0.9217
3efe7e64-89b9-4366-ba21-e5143d106cc6	19	55979412	58586487	1630	0.0384
3efe7e64-89b9-4366-ba21-e5143d106cc6	20	80664	64324800	41946	0.0015
3efe7e64-89b9-4366-ba21-e5143d106cc6	21	10354168	46677045	23636	0.0019
3efe7e64-89b9-4366-ba21-e5143d106cc6	22	15294547	18147293	1110	0.0231
3efe7e64-89b9-4366-ba21-e5143d106cc6	22	18148598	24709380	3641	0.107
3efe7e64-89b9-4366-ba21-e5143d106cc6	22	24710444	48407507	16669	0.0065
3efe7e64-89b9-4366-ba21-e5143d106cc6	22	48407701	48408535	3	-3.4573
3efe7e64-89b9-4366-ba21-e5143d106cc6	22	48408665	50796027	1585	0.0615
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	251810	14076848	8375	-0.0034
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	14077427	14078519	3	-4.6993
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	14078611	18980533	2815	-0.0037
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	18981610	18994031	9	-2.4111
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	18995163	24577219	3437	-0.006
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	24577297	24577524	2	-6.1121
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	24577584	54860608	16475	0.0032
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	54862637	54877547	6	-4.0239
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	54877612	94341096	16579	-0.009
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	94347044	94347076	2	-5.0123
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	94347099	95015584	389	-0.0121
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	95015628	95025411	4	-3.7311
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	95027232	116264527	11169	0.0104
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	116264724	116265855	2	-5.6885
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	116267440	116659772	239	0.0395
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	116660619	116674872	5	-3.4809
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	116675238	119996007	2000	0.0013
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	119996282	119996543	2	-5.3188
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	119997130	121625468	875	-0.0016
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	121626426	121629402	2	-6.0621
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	121629577	152220681	18158	-0.0103
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	152220976	152221181	2	-5.9221
3efe7e64-89b9-4366-ba21-e5143d106cc6	X	152222820	155952689	1574	-0.0201
3efe7e64-89b9-4366-ba21-e5143d106cc6	Y	2782397	56872112	6631	-0.8187
