Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	61735	228706	18	0.7157
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	228729	12867966	6532	0.0065
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	12873385	13384473	35	0.4115
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	13384632	16149343	1827	0.0347
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	16149915	16153925	7	-1.7178
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	16154201	16807224	289	0.0224
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	16808694	17005734	58	0.3011
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	17005776	17094066	48	-0.1632
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	17100230	17195155	15	0.4001
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	17203497	17261263	55	-0.3139
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	17261695	25583341	5271	0.031
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	25593128	25646986	28	-1.2712
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	25661501	69244218	26684	0.0489
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	69245790	69267189	18	0.4101
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	69269699	72746567	2125	-0.0086
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	72746581	72763370	12	-0.6342
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	72768418	89475255	11018	-0.0143
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_F12_809434	1	89477958	89478205	2	-2.2508
