GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	62920	814954	31	0.4223
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	817186	1710664	181	-0.1806
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	1715891	1741164	13	0.5937
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	1756148	55685801	30498	-0.2293
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	55687234	55944156	180	0.0435
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	55946548	56981574	818	-0.2256
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	56982067	56982088	2	-1.9138
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	56982147	58165520	1034	-0.2148
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	58171800	72303253	9774	0.0513
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	72305460	72345450	43	-0.786
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	72345465	105476861	20914	0.0537
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	105478582	105481448	14	0.9314
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	105481468	169247699	23681	0.0551
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	169264736	169272528	7	-3.4654
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	169273163	196762956	18143	0.0528
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	196769493	196862194	69	-0.2931
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	196865976	245473108	33482	0.0486
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	245473737	245483602	11	-1.1282
1827c2bb-989f-4a07-bbfd-74eefe0f6798	1	245486349	248930189	2179	0.0772
1827c2bb-989f-4a07-bbfd-74eefe0f6798	2	12784	12678018	9711	0.0511
1827c2bb-989f-4a07-bbfd-74eefe0f6798	2	12679497	12689120	9	-1.0031
1827c2bb-989f-4a07-bbfd-74eefe0f6798	2	12693939	32686428	12922	0.0427
1827c2bb-989f-4a07-bbfd-74eefe0f6798	2	32688540	32837414	99	0.2238
1827c2bb-989f-4a07-bbfd-74eefe0f6798	2	32838938	34474248	1273	0.0469
