Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	51598	16878565	8734	-9e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	16884037	16888764	14	-0.6145
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	16888846	17067742	47	0.1137
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	17076084	17157507	65	-0.3156
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	17158797	25455928	5250	0.0144
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	25465715	25534799	31	0.5862
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	25535897	72543731	28677	0.009
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	72543955	72584492	44	-0.8081
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	72585028	75823432	1929	0.0149
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	75827351	75827442	2	-2.4308
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	75832097	83601945	5160	0.0025
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	83602263	83602568	3	-1.4015
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	83606510	90328495	4513	0.0052
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	90328738	90331805	3	-1.4679
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	90332271	91965852	1120	-0.0099
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	91966250	91968240	2	-1.8832
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	91968641	103839465	7276	0.0081
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	103839588	103960907	35	0.4007
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	103965022	104041212	15	-0.3496
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	104041509	104109219	18	0.4418
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	104109634	104110655	7	-0.4875
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	104110702	105801393	894	0.0065
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	105801922	105802466	2	-0.5679
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	105802883	105823898	24	0.6406
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	105825578	111178891	3513	0.0097
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	111179088	111189749	38	0.4206
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	111193590	112491849	1074	-0.0217
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	112497488	112507728	36	0.6501
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	112507736	114436981	1132	-0.0102
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	114440566	114441027	2	-1.4688
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	114441951	120094285	3734	0.0041
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	120094890	120096791	4	-1.394
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	120098818	158185065	7699	0.025
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	158187343	158195335	8	-0.8029
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	158197763	158412797	131	0.0242
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	158413118	158413567	4	-1.3037
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	158415295	167252925	6649	-0.004
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	167252998	167253835	4	-1.5964
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	167256010	167483561	190	-0.0184
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	167500598	167508390	7	-3.5493
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	1	167509025	247191011	54085	0.0035
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	2	2784	4183562	2972	4e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	2	4191739	4207937	43	-0.4655
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	2	4212657	132754810	78724	0.008
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	2	132755199	132763242	2	-2.404
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	2	132765517	155403085	14236	-0.0043
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	2	155403300	155403300	2	-2.2817
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	2	155408043	242738129	53646	0.0062
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	35345	823802	659	0.0724
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	832458	834524	4	-1.4216
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	836153	45189750	31380	0.0115
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	45189854	45190145	2	-2.0663
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	45190527	46768381	1093	0.0069
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	46776821	46824183	39	0.3621
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	46824593	47453513	269	0.0242
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	47466826	47472218	3	0.8903
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	47479853	52998251	2213	0.0072
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	53006776	53014156	36	-1.5183
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	53014257	59766219	4633	0.0098
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	59768102	59768701	2	-1.6117
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	59769744	100419653	23294	0.01
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	100420474	100432111	39	0.3997
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	100433654	126294004	15855	0.0053
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	126294170	126296212	3	-1.6884
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	126296752	127377475	631	0.02
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	127380228	127380265	2	-1.7107
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	127383608	131245549	2192	-2e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	131246388	131288926	52	-1.0645
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	131289614	152068215	12867	0.0065
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	152068401	152068985	2	-1.8994
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	152069772	153007743	699	-0.0194
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	153008014	153013003	3	-1.2956
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	153014584	163967533	6635	0.01
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	163967606	164197211	168	0.2752
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	164200421	164202256	2	-1.8662
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	164208853	174719597	6281	0.0208
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	174723329	174772374	24	0.6219
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	174782887	194360596	12771	0.0125
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	194360656	194365597	19	-1.0338
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C11_730636	3	194369129	199380515	2700	0.031
