Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	1	3218610	247813706	128895	0.0136
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	2	484222	168098062	88417	0.251
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	2	168099738	168099775	2	-2.047
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	2	168103701	218259884	28238	0.246
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	2	218262528	218265325	7	-1.2192
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	2	218267260	242476062	14543	0.2573
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	2212571	3659759	886	-0.346
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	3659802	3660674	3	-2.8715
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	3662149	4511102	318	-0.3623
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	4511891	4513543	3	-2.2386
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	4513582	22626116	10570	-0.3426
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	22628123	22631593	2	-2.9135
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	22632706	129319694	58869	-0.333
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	129321610	129322824	2	-3.5871
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	129323241	149579301	10766	-0.3361
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	149590522	149591235	3	-2.1856
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	149592911	176410206	13634	-0.3346
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	176414782	176509202	59	0.3273
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	176511870	186293714	4910	-0.3342
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	186293820	186293890	2	-2.0838
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	186293948	192759024	4193	-0.3322
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	192759040	192763043	4	-1.4385
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	3	192763509	197538677	1721	-0.3333
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	4	1053934	188763651	102622	0.0027
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	5	914233	180360469	100443	0.2766
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	6	1014281	170903919	96340	0.0062
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	7	705284	97694280	49765	-0.0042
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	7	97697912	97707731	2	-2.5359
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	7	97709345	141928838	23369	-0.0037
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	7	141929590	141929786	2	-1.5489
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	7	141929877	146334647	1760	-0.0076
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	7	146343685	146344283	3	-1.2967
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	7	146347722	147927279	1106	0.0031
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B05_697456	7	147927801	147929290	3	-2.0402
