Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	1	3218610	76899975	41758	0.006
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	1	76900818	76901192	2	-2.5087
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	1	76905352	118144332	24617	6e-04
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	1	118145538	118146196	2	-1.8448
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	1	118147142	168083007	12447	0.0025
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	1	168089111	168091414	8	-0.9998
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	1	168094709	247813706	50272	0.0018
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	2	484222	15480441	9387	-6e-04
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	2	15487692	15488909	2	-2.4097
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	2	15491246	242476062	121848	0.001
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	3	2212571	84758306	48233	0.0076
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	3	84761643	84764291	3	-1.3158
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	3	84767327	105973333	9185	0.0033
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	3	105976182	105982289	6	-1.0179
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	3	105984828	169213004	34369	0.0028
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	3	169213559	169216243	3	-1.5285
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	3	169217389	169577235	216	-0.0124
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	3	169580623	169617880	31	-1.3239
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	3	169620300	169769699	106	0.0326
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	3	169770587	169772965	2	-1.401
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	3	169774821	179831081	5162	0.005
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	3	179831733	179832677	2	-1.9258
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	3	179833153	197538677	9022	0.0076
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	4	1053934	125459405	69041	4e-04
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	4	125460351	125462935	3	-2.2173
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	4	125463025	130723499	2803	0.0053
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	4	130723722	130723884	3	-1.9363
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	4	130724902	188763651	30854	-8e-04
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	5	914233	10125685	6733	0.0041
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	5	10129841	10132963	2	-1.9174
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	5	10133063	39255699	15966	-0.0021
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	5	39256537	39256708	2	-1.5916
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	5	39257884	42238527	1798	0.0085
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	5	42242719	42242732	2	-2.4116
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	5	42243481	157393543	62012	-0.0018
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	5	157399050	157399899	3	-1.9261
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	5	157401895	160525584	2112	0.0036
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	5	160531462	160531941	3	-1.4721
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	5	160533424	180360469	11830	-0.0022
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	6	1014281	128610935	70828	0.0036
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	6	128611211	128614886	2	-1.5797
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	6	128614972	130453120	1244	0.0119
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	6	130454324	130454839	2	-1.822
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	6	130457362	170903919	24377	0.0015
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	7	705284	83129383	42377	-0.0028
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	7	83130343	83182670	49	-1.1846
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	7	83184920	158385118	38851	-0.0065
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	8	617667	4084538	1787	0
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	8	4084879	4084970	2	-1.4222
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	8	4085763	11159889	2995	0.0095
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	8	11164128	11164176	2	-1.5391
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	8	11167233	90883489	44305	0.0033
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	8	90883803	90886015	2	-2.34
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	8	90886403	103430407	7373	0.0026
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	8	103435717	103442043	2	-1.5946
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	8	103442173	145232496	25039	0.003
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	9	789932	140938752	67998	0.0061
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	10	415240	17216123	12217	-0.0025
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	10	17223244	17223625	4	-1.7015
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	10	17224358	84002525	36337	-0.0043
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	10	84005703	84101137	112	0.5621
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	10	84110580	107780090	14247	-0.0041
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	10	107783048	107791187	10	-1.0609
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	10	107793345	129012678	14750	0.003
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G07_697882	10	129014678	129015219	2	-2.307
