GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f696efa1-73c1-4377-95df-8ee4b1030502	1	62920	266187	17	0.237
f696efa1-73c1-4377-95df-8ee4b1030502	1	462795	462894	2	1.5435
f696efa1-73c1-4377-95df-8ee4b1030502	1	599171	34626073	18870	0.0016
f696efa1-73c1-4377-95df-8ee4b1030502	1	34637053	34637435	6	-2.9887
f696efa1-73c1-4377-95df-8ee4b1030502	1	34637541	34638226	5	-0.5356
f696efa1-73c1-4377-95df-8ee4b1030502	1	34638263	34638890	9	-3.646
f696efa1-73c1-4377-95df-8ee4b1030502	1	34648667	89009572	34594	-0.0002
f696efa1-73c1-4377-95df-8ee4b1030502	1	89012275	89012522	2	-2.6435
f696efa1-73c1-4377-95df-8ee4b1030502	1	89015841	105418275	9944	-0.0027
f696efa1-73c1-4377-95df-8ee4b1030502	1	105420836	105506711	77	-0.1935
f696efa1-73c1-4377-95df-8ee4b1030502	1	105506766	109684893	2598	-0.0058
f696efa1-73c1-4377-95df-8ee4b1030502	1	109690352	109702376	14	-0.9574
f696efa1-73c1-4377-95df-8ee4b1030502	1	109703504	143494500	7104	-0.0012
f696efa1-73c1-4377-95df-8ee4b1030502	1	143541857	143710845	88	-0.8162
f696efa1-73c1-4377-95df-8ee4b1030502	1	143713743	143748012	8	-0.2492
f696efa1-73c1-4377-95df-8ee4b1030502	1	143748074	143754077	16	0.5239
f696efa1-73c1-4377-95df-8ee4b1030502	1	143754192	143942271	14	-0.4215
f696efa1-73c1-4377-95df-8ee4b1030502	1	144432083	152583230	2297	-0.0011
f696efa1-73c1-4377-95df-8ee4b1030502	1	152583291	152613762	30	1.3512
f696efa1-73c1-4377-95df-8ee4b1030502	1	152613802	152787202	170	0.0249
f696efa1-73c1-4377-95df-8ee4b1030502	1	152789447	152796224	37	0.5334
f696efa1-73c1-4377-95df-8ee4b1030502	1	152801429	157702447	2645	0.0072
f696efa1-73c1-4377-95df-8ee4b1030502	1	157702514	157704775	2	-1.3852
f696efa1-73c1-4377-95df-8ee4b1030502	1	157710324	170738890	9634	0.0071
f696efa1-73c1-4377-95df-8ee4b1030502	1	170739738	170742815	4	1.3682
f696efa1-73c1-4377-95df-8ee4b1030502	1	170745089	188054905	11273	0.0051
f696efa1-73c1-4377-95df-8ee4b1030502	1	188055463	191263481	2108	-0.0423
f696efa1-73c1-4377-95df-8ee4b1030502	1	191263928	196745743	3631	-0.0122
f696efa1-73c1-4377-95df-8ee4b1030502	1	196758720	196832720	58	0.4959
f696efa1-73c1-4377-95df-8ee4b1030502	1	196843377	199124748	1349	-0.0126
f696efa1-73c1-4377-95df-8ee4b1030502	1	199125422	199125504	2	1.4961
f696efa1-73c1-4377-95df-8ee4b1030502	1	199134796	208402278	6180	0.0023
f696efa1-73c1-4377-95df-8ee4b1030502	1	208404369	208408776	4	1.0874
f696efa1-73c1-4377-95df-8ee4b1030502	1	208414549	209897717	1211	0.0046
f696efa1-73c1-4377-95df-8ee4b1030502	1	209908268	209910639	3	-1.8383
f696efa1-73c1-4377-95df-8ee4b1030502	1	209913207	248437495	26700	0.0009
f696efa1-73c1-4377-95df-8ee4b1030502	1	248442451	248477891	14	0.5299
f696efa1-73c1-4377-95df-8ee4b1030502	1	248520099	248574146	15	-0.1934
f696efa1-73c1-4377-95df-8ee4b1030502	1	248585893	248646068	35	-0.9415
f696efa1-73c1-4377-95df-8ee4b1030502	1	248661836	248930189	138	-0.0086
f696efa1-73c1-4377-95df-8ee4b1030502	2	12784	4158097	2978	-0.0033
f696efa1-73c1-4377-95df-8ee4b1030502	2	4166274	4175577	36	-0.7347
f696efa1-73c1-4377-95df-8ee4b1030502	2	4175922	34466002	20980	0.0014
f696efa1-73c1-4377-95df-8ee4b1030502	2	34476327	34492841	28	0.4211
f696efa1-73c1-4377-95df-8ee4b1030502	2	34492907	34511990	17	0.9029
f696efa1-73c1-4377-95df-8ee4b1030502	2	34512096	52509476	12928	-0.006
f696efa1-73c1-4377-95df-8ee4b1030502	2	52509498	52554274	48	-0.3474
f696efa1-73c1-4377-95df-8ee4b1030502	2	52554359	86710564	21827	0.0007
f696efa1-73c1-4377-95df-8ee4b1030502	2	86725947	86726731	2	1.4803
f696efa1-73c1-4377-95df-8ee4b1030502	2	86743283	86901078	63	0.0253
f696efa1-73c1-4377-95df-8ee4b1030502	2	86902080	86910262	2	-2.0304
f696efa1-73c1-4377-95df-8ee4b1030502	2	86934730	87082140	12	-0.4672
f696efa1-73c1-4377-95df-8ee4b1030502	2	87082711	97192190	1821	0.0103
f696efa1-73c1-4377-95df-8ee4b1030502	2	97199600	97210536	11	0.6241
f696efa1-73c1-4377-95df-8ee4b1030502	2	97211069	97359885	16	-0.0335
f696efa1-73c1-4377-95df-8ee4b1030502	2	97524284	97560849	15	-0.6494
f696efa1-73c1-4377-95df-8ee4b1030502	2	97562741	106258266	5549	0.0037
f696efa1-73c1-4377-95df-8ee4b1030502	2	106263639	106268901	12	0.5614
f696efa1-73c1-4377-95df-8ee4b1030502	2	106270799	127091296	12311	-0.0059
f696efa1-73c1-4377-95df-8ee4b1030502	2	127091487	127099470	3	-1.5187
f696efa1-73c1-4377-95df-8ee4b1030502	2	127100187	236122139	66695	-0.0002
f696efa1-73c1-4377-95df-8ee4b1030502	2	236123630	236128565	3	1.6791
f696efa1-73c1-4377-95df-8ee4b1030502	2	236128602	236894941	510	0.0029
f696efa1-73c1-4377-95df-8ee4b1030502	2	236895235	236895291	2	-2.3231
f696efa1-73c1-4377-95df-8ee4b1030502	2	236895339	240168048	2139	-0.0061
f696efa1-73c1-4377-95df-8ee4b1030502	2	240169037	240170330	2	1.5804
f696efa1-73c1-4377-95df-8ee4b1030502	2	240171844	242147305	917	-0.008
f696efa1-73c1-4377-95df-8ee4b1030502	3	20930	965228	757	-0.0528
f696efa1-73c1-4377-95df-8ee4b1030502	3	965759	965972	3	-1.3372
f696efa1-73c1-4377-95df-8ee4b1030502	3	966426	16197556	12084	-0.0028
f696efa1-73c1-4377-95df-8ee4b1030502	3	16199049	16199672	6	-0.9919
f696efa1-73c1-4377-95df-8ee4b1030502	3	16199818	68697013	34728	0.0016
f696efa1-73c1-4377-95df-8ee4b1030502	3	68697108	68698262	14	1.1866
f696efa1-73c1-4377-95df-8ee4b1030502	3	68699607	68820800	95	0.0148
f696efa1-73c1-4377-95df-8ee4b1030502	3	68821030	68821064	2	-1.2738
f696efa1-73c1-4377-95df-8ee4b1030502	3	68823827	83254573	9128	-0.0018
f696efa1-73c1-4377-95df-8ee4b1030502	3	83256215	83256584	2	-1.5792
f696efa1-73c1-4377-95df-8ee4b1030502	3	83263666	89620865	3530	-0.0201
f696efa1-73c1-4377-95df-8ee4b1030502	3	89622183	89624990	8	-1.0655
f696efa1-73c1-4377-95df-8ee4b1030502	3	89629449	99218940	3096	-0.0106
f696efa1-73c1-4377-95df-8ee4b1030502	3	99225614	99230457	35	-0.7158
f696efa1-73c1-4377-95df-8ee4b1030502	3	99230464	119631498	12567	0.0028
f696efa1-73c1-4377-95df-8ee4b1030502	3	119632551	119635091	5	-2.3259
f696efa1-73c1-4377-95df-8ee4b1030502	3	119636564	130047743	6061	0.0019
f696efa1-73c1-4377-95df-8ee4b1030502	3	130057015	130088155	38	0.5516
f696efa1-73c1-4377-95df-8ee4b1030502	3	130089433	142182269	7445	0.002
f696efa1-73c1-4377-95df-8ee4b1030502	3	142183242	142186135	2	-2.4978
f696efa1-73c1-4377-95df-8ee4b1030502	3	142186252	143419540	771	-0.0028
f696efa1-73c1-4377-95df-8ee4b1030502	3	143420750	143421586	2	-1.0745
f696efa1-73c1-4377-95df-8ee4b1030502	3	143423062	143566923	110	-0.0064
f696efa1-73c1-4377-95df-8ee4b1030502	3	143566958	143567132	4	0.9621
f696efa1-73c1-4377-95df-8ee4b1030502	3	143567959	146724726	2054	-0.0163
f696efa1-73c1-4377-95df-8ee4b1030502	3	146730707	146758696	14	-0.4723
f696efa1-73c1-4377-95df-8ee4b1030502	3	146759265	162795361	9796	-0.0032
f696efa1-73c1-4377-95df-8ee4b1030502	3	162795671	162908207	66	0.4871
f696efa1-73c1-4377-95df-8ee4b1030502	3	162908784	175506671	7766	-0.0092
