Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	61735	86341	15	0.7025
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	98588	16846035	8702	0.0087
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	16851514	17017078	65	0.2499
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	17017530	17048479	17	0.7152
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	17056457	22496703	3536	0.0098
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	22501716	22504272	3	-1.3147
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	22507423	25583341	1814	0.0099
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	25593128	25646946	27	-1.8821
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	25646986	72750353	28832	0.0055
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	72756113	72763370	9	-1.0193
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	72768418	104159384	20121	0.0075
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	104163499	104303403	28	-0.5785
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	104303501	106013376	917	0.0076
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	106019205	106022375	17	1.1561
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	106024055	119194305	8775	0.0035
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	119195617	119220496	26	-1.0057
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	119224286	152556414	3895	0.0305
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	152560284	152560883	4	-2.0577
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	152571169	196714873	29748	0.0051
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	196727850	196801987	91	0.3494
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	196802002	196815791	5	-0.6041
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	196816730	199107653	1375	0.0096
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	199107702	199112524	8	-0.7902
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	199113011	210071062	7426	0.0063
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	210081613	210082065	2	-2.3124
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	210083984	248737447	26940	0.0042
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	248749194	248795289	30	-0.9596
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	248795852	249224388	147	0.0235
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	12784	4205687	2986	0.0191
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	4213864	4223167	36	-0.7567
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	4223512	7611683	2874	0.0028
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	7611696	7611948	2	-1.7786
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	7612038	20834165	9687	0.0114
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	20836719	20837784	2	-2.1537
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	20838318	41238220	13379	0.0165
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	41238235	41245887	24	-0.6232
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	41251233	41366974	89	-0.0433
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	41367404	41367520	2	-2.2396
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	41370378	51801383	7481	0.0089
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	51801687	51802926	2	-1.7148
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	51803683	52754561	616	-0.0018
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	52754728	52754881	3	-1.7838
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	52758753	52781542	33	0.4307
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	52787949	125147751	40393	0.0086
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	125150723	125152830	2	-2.3488
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	125153540	127842642	1672	0.0332
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	127843193	127843489	2	-2.1497
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	127848872	208354955	48524	0.0076
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	208355178	208359336	16	-3.1515
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	208359476	243089456	22123	0.0119
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	3	60345	68746164	47814	0.0086
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	3	68746259	68747413	14	0.9371
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	3	68748758	114655782	25463	0.0083
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	3	114660592	114660944	6	-3.1512
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	3	114668950	125712213	6889	0.0073
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	3	125712270	125721862	30	-0.8384
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	3	125722332	129786286	2340	-7e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	3	129786374	129806924	45	0.5242
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	3	129806998	152347127	14107	0.0067
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	3	152347194	152356202	44	-0.7821
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	3	152356483	192877902	25370	0.0131
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	3	192877962	192882903	19	-1.4877
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	3	192886435	197896118	2701	0.0342
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	12281	774617	325	0.0559
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	776911	793931	4	-0.9562
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	796221	3463882	1125	0.0175
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	3469443	3473639	10	1.1725
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	3483037	8707027	3706	0.0054
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	8715988	9614843	117	0.2893
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	9615091	10210390	506	0.0042
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	10214160	10235268	36	1.0632
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	10236142	15985454	4549	0.0114
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	15986648	15991015	4	-1.2991
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	15991347	34779004	12430	0.0018
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	34779025	34824725	41	0.7052
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	34829872	69220383	19458	0.0063
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	69226848	69505115	98	0.5311
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	69506334	69582483	9	-0.735
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	69591612	70095647	303	0.0569
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	70100117	70231799	68	-0.4014
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	70232022	144832286	45101	0.0033
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	144842092	144943609	70	-0.5304
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	144952528	151876309	3869	0.0107
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	151876325	151884310	26	-0.605
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	151886127	161880018	6337	0.0074
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	161880124	161884908	20	0.5506
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	161884919	172369346	6672	0.0032
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	172374884	172377776	12	-1.4111
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	172380371	180152634	4832	0.0068
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	180153220	180163464	2	-1.8888
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	180163789	190189043	7303	0.0318
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	190195118	190199264	4	-3.1371
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	4	190199771	191027923	385	0.0591
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	15532	728979	318	0.0921
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	731769	809806	31	-0.4743
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	817850	17515801	13062	0.0129
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	17601553	17692374	45	-0.9431
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	17696477	57321646	22405	0.0049
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	57326027	57331731	17	-0.7661
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	57332031	70254895	7323	0.013
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	70254896	70654072	16	0.6915
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	70660751	96911070	15506	0.0074
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	96911529	96916683	2	-3.2562
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	96917834	103851221	4011	0.0147
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	103860373	103860604	4	2.4675
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	103861049	113153639	6251	0.0108
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	113158022	113170445	7	-1.1995
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	113176905	172604797	39098	0.0056
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	172605949	172612565	7	-0.9219
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	172614772	173011616	311	-0.0269
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	173011962	173011975	2	-2.3685
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	173015573	177198449	2590	0.0057
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	177227551	177232605	3	4.2258
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	177254965	177353413	11	0.014
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	177356703	177360868	3	1.8044
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	177377648	180374523	1792	0.012
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	180378710	180418103	19	-0.6438
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	5	180433225	180790320	171	0.0368
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	149661	31277686	22417	0.0149
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	31280823	31296451	12	0.7954
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	31309924	32431292	502	0.0488
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	32431552	32448129	2	-2.4498
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	32449050	32690027	116	0.0219
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	32690797	32692227	4	-1.4959
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	32700684	78971834	26999	0.0052
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	78972088	79039234	107	-0.8979
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	79041633	93574342	9238	0.0112
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	93575866	93578630	31	-0.9144
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	93582923	103737976	6216	0.0049
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	103738039	103738289	5	1.1207
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	103738314	103751338	13	0.1188
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	103751564	103762061	27	1.0198
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	6	103765470	171051005	44212	0.0111
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	7	43355	3389090	1423	0.022
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	7	3395079	3395326	5	-1.6939
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	7	3398760	17515866	10648	0.0257
