Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	61735	228706	18	-0.9532
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	228729	16869363	8712	0.0315
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	16871278	16970178	38	-0.5731
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	16970311	63612281	27985	0.0301
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	63614044	63614428	2	-1.7028
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	63614625	67312599	2828	0.0452
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	67312856	67312885	2	1.8365
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	67319506	101633059	22092	0.0473
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	101638519	101655292	7	-1.0905
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	101655670	104163499	1515	0.055
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	104163787	104307258	31	-0.5767
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	104307696	110225642	3591	0.0412
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	110225920	110232974	13	-0.5107
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	110233037	110242953	17	-1.3712
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	110244998	111376220	840	0.0431
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	111377368	111383954	36	-0.8724
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	111383972	120821754	6204	0.0348
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	120852611	121127900	10	-0.6512
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	121129349	144849552	141	0.0604
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	144865627	144884279	15	-0.6214
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	144884319	145091858	108	0.0334
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	145092494	145092711	2	-1.5089
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	145103080	147831183	952	0.0647
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	147844790	148519976	5	-0.8483
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	148526488	148585337	13	-0.0505
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	148627569	148661634	9	-0.6344
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	148661875	149205415	127	0.048
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	149205429	149254920	36	0.3858
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	149256691	150800761	558	0.0145
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	150801002	150811005	7	0.8504
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	150811028	152555767	968	0.0387
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	152555795	152586594	33	0.514
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	152590494	194448234	28320	0.045
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	194451411	194455018	2	1.9796
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	194457016	196732086	1457	0.0694
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	196738623	196758159	35	-0.4676
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	196759274	210071062	8879	0.033
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	210081613	210083984	3	-2.6569
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	210086552	215855994	3893	0.0329
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	215858193	215866009	15	-1.0999
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	215866892	248725234	23055	0.0263
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	248736075	248795289	32	-0.9092
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	1	248795852	249224388	147	0.0474
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	12784	4658427	3390	0.029
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	4659807	4659821	2	-3.0825
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	4662656	34685280	20727	0.027
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	34691069	34737057	47	0.4848
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	34737163	52754561	13050	0.0365
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	52754728	52754881	3	-2.5931
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	52758753	52781397	28	0.74
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	52781412	86937687	21955	0.0252
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	86953070	86953854	2	-2.7856
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	86970406	90321397	1106	0.0058
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	91618895	91787401	28	-0.5235
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	91787505	98118212	1008	0.008
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	98140747	98177312	15	-1.1362
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	98179204	129629450	19043	0.0253
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	129629941	129646448	21	-0.4639
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	129646503	130793856	876	0.025
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	130793883	130825458	9	0.6635
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	130825680	131338652	113	0.023
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	131391745	131407189	2	-1.6285
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	131477948	146864429	9486	0.036
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	146864443	146866934	22	1.0165
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	146877806	153787485	4207	0.0318
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	153796068	153796784	3	-2.3557
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	153800569	208354955	32809	0.0357
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	208355178	208355995	7	-1.0956
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	2	208356094	243089456	22161	0.0248
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	60345	224602	156	-0.4401
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	230022	232800	4	-2.7991
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	234877	26426191	19779	-0.4365
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	26434124	26439343	4	-2.2497
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	26445973	26611497	117	-0.4396
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	26611607	26611885	6	-1.5488
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	26611898	30911220	3094	-0.4387
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	30912914	30913173	2	-2.6964
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	30913645	33256616	1509	-0.4539
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	33256726	33261423	2	-2.9521
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	33261435	53032011	11126	-0.4431
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	53032025	53039279	29	-1.4739
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	53039455	74085071	16133	-0.4427
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	74085795	74086175	2	-2.6491
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	74090002	75568549	857	-0.4533
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	75572549	75577304	3	-2.7717
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	75578858	77762914	1288	-0.4462
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	77765273	77765658	2	-2.5374
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	77769689	84102222	3406	-0.4368
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	84105433	84106166	2	-4.1495
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	84110967	129766586	25097	-0.4362
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	129775858	129806236	50	-1.256
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	129806924	150328632	12769	-0.4416
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	150331561	150332011	3	-2.9841
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	150334762	162513092	7523	-0.4344
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	162513149	162615915	61	-1.2589
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	162623842	167914984	2963	-0.4353
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	167915244	167927374	6	-1.7482
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	167928107	192874747	16238	-0.4356
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	192877902	192882903	20	0.5201
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	192886435	194695307	1207	-0.4537
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	194695321	194695321	2	-2.9465
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	194695349	195409946	280	-0.4605
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	195412212	195481811	46	0.0136
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	195482370	197838578	1149	-0.4428
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	197845216	197845919	4	-1.6119
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	3	197848102	197896118	16	-0.2477
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	12281	34778975	22838	0.032
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	34779004	34824725	42	0.7318
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	34829872	39424781	3199	0.0389
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	39426201	39576440	77	0.4717
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	39578076	44173473	2855	0.037
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	44173592	44186827	8	-3.9293
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	44189495	48189710	2348	0.0488
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	48190365	48192759	22	0.5294
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	48194037	49154618	467	0.0614
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	49154769	49658223	33	-0.5695
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	49658612	63669936	7021	0.0341
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	63670069	63671662	7	-1.0333
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	63679630	69413943	3489	0.0458
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	69420023	69426448	4	-1.2122
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	69426488	70127652	371	0.0584
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	70128412	70177008	30	-0.5685
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	70182744	70389716	134	-0.004
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	70389861	70390779	2	-2.8294
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	70391888	138092239	40551	0.0431
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	138092420	138093414	14	-3.5193
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	138094958	161041304	14148	0.0431
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	161052774	161083870	41	-0.9707
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	161084069	161873658	585	0.0527
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	161873721	161885123	36	0.4331
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	4	161885165	191027923	19225	0.0473
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	5	15532	698505	310	0.0475
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	5	717379	732903	12	-0.6308
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778	5	733612	896815	61	-0.0535
