GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	62920	462894	19	0.7624
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	599171	16542868	8628	-0.0066
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	16544783	16883108	61	0.4876
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	16884157	25256850	5307	0.0024
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	25266637	25359353	35	0.6959
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	25360708	34626073	4941	-0.0082
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	34637053	34649941	22	-0.4679
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	34650960	72303233	23770	0.0045
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	72303253	72345465	45	-0.8981
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	72346221	72547032	120	0.0015
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	72547094	72631417	46	0.292
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	72631497	89009572	10772	0.0089
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	89012275	89012522	2	-2.0887
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	89015841	108187137	11969	0.0062
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	108191613	108192255	2	-3.9853
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	108194874	109690352	697	0.0014
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	109690415	109707968	20	0.6047
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	109708520	112147704	1942	0.0159
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	112153343	112163440	28	-1.3771
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	112163460	114125677	1165	0.0011
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	114125881	114126552	2	-1.8663
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	114128303	143494500	3991	0.0087
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	143541857	143942271	126	-0.5747
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	144432083	147668252	644	0.0823
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	147668334	147672474	3	-1.5831
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	147672943	152583230	1667	0.0143
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	152583291	152613762	30	2.5464
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	152613802	152614118	4	1.1429
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	152618018	158896783	3818	-0.0116
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	158898711	158899969	2	1.8506
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	158905028	179501222	14372	-0.0004
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	179502615	179502734	2	-1.6036
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	179503138	196737736	11468	-0.0046
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	196740093	196830375	61	0.516
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	196832298	209897717	8789	-0.0007
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	209908268	209913207	4	1.2409
415b8194-ef51-4e54-9b5c-d5c80b5485a8	1	209920149	248930189	27018	0.0026
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	12784	4166274	2989	0.0057
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	4166610	4176429	41	0.4297
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	4182472	34466002	21061	0.0036
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	34474248	34511990	46	0.7668
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	34512096	35750907	871	0.0435
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	35752724	35761650	4	-1.7039
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	35761842	52527330	12129	0.0041
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	52527342	52554404	39	-1.8267
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	52560811	52898882	303	0.0316
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	52901952	52902575	2	-1.7699
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	52903232	86710564	21615	0.0047
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	86725947	86726731	2	-1.5895
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	86743283	88836539	673	0.026
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	88836615	90162404	262	0.1483
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	90172764	97107704	933	0.0087
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	97110486	97638482	89	0.3326
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	97642429	130036283	19839	0.0072
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	130036310	130116915	13	0.6995
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	130117303	146104517	9529	0.0067
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	146106836	146109366	24	-1.5305
415b8194-ef51-4e54-9b5c-d5c80b5485a8	2	146120238	242147305	59065	0.0031
