Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	1	3218610	4364564	557	-0.0042
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	1	4364634	4366964	2	-1.4137
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	1	4367323	9005918	2922	-5e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	1	9007556	9012737	9	-0.9629
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	1	9017091	247813706	125646	2e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	2	484222	169756702	89610	-8e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	2	169756930	169757562	2	-1.7388
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	2	169757812	184595398	9141	-0.0014
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	2	184595739	184595767	2	-2.0511
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	2	184595970	186988845	769	1e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	2	186991136	186991571	2	-2.0338
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	2	186991604	195545229	4159	-0.0071
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	2	195545431	195546641	2	-1.5734
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	2	195551843	242476062	27600	-0.0036
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	3	2212571	3351252	570	0.003
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	3	3352131	3355544	3	-1.7008
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	3	3355598	197538677	105795	0.0013
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	4	1053934	29316074	17672	-7e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	4	29318239	29318249	2	-1.6967
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	4	29318265	188763651	85062	6e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	5	914233	97537936	51994	0
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	5	97540108	97564080	17	0.5121
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	5	97586298	121257898	12687	-6e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	5	121258018	121258767	3	-1.5761
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	5	121263682	180360469	35804	-9e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	6	1014281	3979677	2207	-7e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	6	3979751	3980935	3	-1.5525
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	6	3981940	161712880	89879	6e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	6	161721413	161733816	10	-0.839
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	6	161744472	170903919	4393	-0.0017
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	7	705284	16169658	7780	0.0076
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_E01_777574	7	16171560	16172259	2	-1.6998
