Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	1	3208470	95057366	52882	-0.0175
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	1	95059668	95060275	2	-1.5861
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	1	95061396	120325425	14799	3e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	1	120325478	159070342	5813	0.4649
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	1	159070359	159070633	3	-1.0757
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	1	159073875	214141401	35297	0.4726
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	1	214141580	230556033	10274	-0.0029
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	1	230556879	230557961	4	-1.6046
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	1	230558660	245880329	9943	-0.005
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	2	474222	191546449	101941	0.4498
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	2	191546587	191546593	2	-1.3199
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	2	191548205	195424029	1771	0.4699
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	2	195925571	238218186	25418	-0.0289
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	2	238220582	238221507	2	-1.8859
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	2	238221922	242124735	2113	-0.0578
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	3	526235	10312050	4544	-0.8013
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	3	10315783	10320180	2	-4.4446
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	3	10321063	90568652	45973	-0.7676
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	3	95217361	199023074	55435	0.0162
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	4	1043934	189836143	102683	0.0165
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	5	967233	75083121	39735	9e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	5	75083651	75084540	2	-2.9884
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	5	75088618	129902748	29991	0.0147
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	5	129913054	131801093	948	0.4737
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	5	131805442	165030168	20622	0.0066
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	5	165030262	180293075	9141	0.4804
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	6	959281	5096781	2958	-0.0197
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	6	5097562	5097785	3	-1.5819
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	6	5100905	23011310	12476	-0.0045
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	6	23013296	23013811	4	1.1559
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	6	23017312	25054650	1391	0.0043
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	6	25055751	25055784	2	1.8099
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	6	25059178	39848597	6421	-0.0044
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	6	39852632	41094601	1001	-0.8406
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	6	41094723	81888179	20308	0.0117
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E09_742076	6	81900411	93544682	6713	-0.7435
