Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	1	3208470	163658006	76740	0.0043
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	1	163658575	163659253	3	-1.5144
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	1	163660469	201986799	23864	0.0071
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	1	201991585	201996203	4	-1.1088
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	1	201998924	245880329	28375	0.0036
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	2	474222	83871705	48268	0.0029
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	2	83876668	84022392	79	-1.1348
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	2	84031761	171035082	42224	0.0022
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	2	171038244	171040744	6	-0.9479
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	2	171045675	242124735	40652	0.0065
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	3	526235	199023074	106339	0.0105
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	4	1043934	42527740	25693	-1e-04
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	4	42528549	42532440	3	-1.5313
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	4	42532859	93766598	25473	-0.0039
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	4	93772317	93788329	9	-1.0691
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	4	93792822	189836143	51533	6e-04
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	5	967233	180293075	100454	-0.0057
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	6	959281	170745844	96447	0.0037
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	7	671810	158077879	81261	-0.009
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	8	607667	145304484	81496	0.0086
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	9	779932	140058573	67957	0.0055
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B05_697942	10	405240	28580644	19394	0.0059
