Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	51598	16743865	8730	0.0563
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	16758722	16878321	42	0.3442
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	16878363	16889467	19	0.0736
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	16889665	16987299	38	0.7225
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	17049632	25455928	5342	0.0532
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	25465715	25519573	28	0.5241
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	25534088	61886594	21483	0.0503
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	61886769	61890775	3	-0.9449
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	61892397	72541504	7300	0.0569
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	72541524	72551668	9	-2.0881
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	72551679	72581307	27	-0.9467
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	72581339	72583736	9	-1.6858
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	72584492	105814899	21049	0.0447
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	105820728	105823898	17	0.736
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	105825578	110023250	2653	0.0455
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	110025907	110052107	43	-0.2684
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	110052113	112491849	1945	0.0519
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	112497488	112498736	22	0.5105
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	112498764	150822151	8043	0.0473
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	150822330	150852862	30	2.6763
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	150852902	150853218	4	1.0742
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	150857118	151026302	170	0.0555
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	151028547	151035324	37	0.671
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	151040529	159885315	5306	0.0509
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	159885444	159905137	23	0.5482
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	159914861	167500598	6019	0.0439
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	167501153	167508390	6	-2.188
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	167509025	177590361	6622	0.0324
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	177597151	177599938	4	-1.0137
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	177605829	194994473	11584	0.0336
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	194997658	195024743	36	-0.432
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	195024772	208137685	8882	0.045
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	208148236	208148688	2	-1.3885
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	1	208150607	247191011	27139	0.0511
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	2	2784	34544573	24129	0.0636
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	2	34552819	34590561	46	0.7205
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	2	34590667	40250755	4134	0.0462
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	2	40253631	40253816	3	-1.2344
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	2	40260022	52229940	8657	0.041
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	2	52230591	52230710	2	-0.8489
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B04_584988	2	52231671	52608385	263	0.0693
