Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	51598	225591	26	0.3132
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	225801	394034	4	1.7957
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	524414	1618278	198	0.0387
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	1618686	1662463	15	-0.8851
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	1677447	16768214	8488	-0.0132
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	16769408	16966004	83	0.5989
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	16966602	72541504	34151	-0.0031
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	72541524	72583721	43	-1.0192
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	72583736	82773025	6551	0.0016
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	82773170	82773314	2	2.6076
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	82777197	105820833	14489	0.0062
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	105820893	105823883	13	0.7108
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	105823898	110034497	2672	0.011
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	110034560	110044476	17	-1.0765
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	110046521	150821800	10017	0.0115
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	150822151	150853218	36	1.014
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	150857118	159746062	5473	-0.0095
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	159763524	159904580	52	-1.0003
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	159904825	173063028	9545	-9e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	173063179	173068463	16	-0.7213
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	173068477	221083029	32518	0.0066
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D07_734890	1	221083948	221090227	5	-2.2963
