Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	1	3218610	232583142	119103	-0.0156
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	1	232583227	235135832	1979	0.4404
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	1	235243264	236679242	779	-0.0235
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	1	236681581	247813706	7089	0.4353
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	2	484222	11738531	6881	-0.0355
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	2	11740177	11741193	3	-1.8277
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	2	11741729	33891620	13151	-0.0352
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	2	33892393	33892763	2	-1.9229
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	2	33896294	74146977	22885	-0.0387
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	2	74147627	74147818	2	-2.5094
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	2	74150256	120105319	19621	-0.0357
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	2	120108230	120108253	2	-1.5299
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	2	120108890	135830933	7631	-0.0332
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	2	135834204	218296003	46456	0.4168
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	2	218296141	218297262	3	-0.8703
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	2	218301119	242476062	14524	0.4362
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	2212571	13244483	6530	-0.697
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	13244829	13250682	3	-3.269
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	13251251	29493019	9344	-0.6955
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	29493226	29493315	2	-3.3941
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	29493468	52743824	12671	-0.6722
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	52747237	54990517	1534	0.0188
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	54994226	54997408	6	-0.9365
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	55002066	55011639	19	0.017
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	55016013	55034260	20	-0.6028
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	55035874	55142352	100	-0.0028
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	55142430	55242077	79	-0.7332
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	55249866	55333776	81	-6e-04
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	55338979	55365356	20	-0.7648
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	55365859	55407285	41	0.0494
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	55409358	56460330	776	-0.6973
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	56465762	56562092	61	0.0075
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	56563340	56573311	9	-0.7627
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	3	56573869	197538677	74735	-0.0167
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	4	1053934	9994215	4498	-4e-04
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	4	9996852	9997112	4	-3.2554
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	4	9997216	188763651	98127	-0.031
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	5	914233	3671350	1638	-0.0105
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	5	3671754	3672743	2	-1.5852
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	5	3672789	4919906	956	-0.0197
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	5	4921390	4923555	4	-1.2779
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	5	4923629	5154215	200	-0.014
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	5	5154414	5154458	2	1.5445
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	5	5155021	5640744	453	-0.0302
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	5	5641346	5646827	4	-1.2441
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	5	5647078	17875471	7607	-0.0252
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	5	17875679	17875920	2	-1.7892
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	5	17876840	120046664	53171	-0.0374
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	5	120047147	120047513	2	-3.3802
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	5	120050082	180360469	36336	-0.0515
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	6	1014281	170903919	96392	-0.0232
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	7	705284	16169658	7772	0.4115
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	7	16171560	16172259	2	2.4776
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	7	16176841	94713897	40249	0.4102
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	7	94723041	94982000	179	-0.0207
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	7	94983177	96270802	803	0.422
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	7	96273359	154868606	30269	-0.0538
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	7	154868879	154870080	4	-1.543
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	7	154872252	158385118	1965	-0.052
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	8	617667	119113078	64925	-0.0163
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	8	119113236	119113307	2	-2.4933
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	8	119114110	138225437	13316	-0.022
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	8	138228075	138228273	2	-2.0583
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	8	138228755	139112158	731	-0.0188
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	8	139112201	139112236	2	-1.234
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924	8	139113885	145232496	2455	-0.0045
