Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	51598	75799	12	-0.4102
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	75861	88451	4	-1.6168
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	88465	16021930	8395	0.0203
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	16022502	16026788	8	1.0467
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	16026826	30504109	8162	0.0175
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	30504164	30512383	12	-0.7372
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	30514083	46282940	8921	0.0172
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	46284862	46286413	2	1.805
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	46292140	72535958	17437	0.0142
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	72541006	72583526	45	0.988
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	72583664	72812457	140	0.0368
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	72814132	72818077	7	-0.9423
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	72818165	75041872	1364	0.0183
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	75043660	75046454	2	1.7664
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	75046575	81661044	4278	0.0158
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	81661190	81661193	2	1.8504
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	81661255	89851973	5558	0.0226
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	89852972	89858366	8	-1.056
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	89858580	103904580	8706	0.0154
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	103904753	103960870	27	0.54
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	103960907	108712268	2982	0.0299
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	108729983	108747688	5	-1.5786
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	108763894	109988751	621	0.0139
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	109994289	110034560	28	-0.4637
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	110034576	112491849	1970	0.0304
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	112497488	112498764	23	0.7365
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	112498899	143968791	5453	0.0068
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	143975399	143987628	3	-2.1464
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	143987827	150822391	2594	0.0276
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	150822419	150840040	20	-1.8818
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	150841873	150846092	4	0.8053
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	150846245	150852862	5	-2.6855
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	150852902	151026302	174	-0.0497
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	151028547	151035324	37	0.6955
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	151040529	191422415	27134	0.0164
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	191422902	191422971	4	1.6371
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	191426346	194976383	2395	0.0155
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	194977690	195028689	47	0.43
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	195028725	197341188	1389	0.029
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	197341648	197357972	20	-0.5043
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	197359973	200834176	2341	0.0217
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	200834336	200835165	3	1.9889
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	1	200835358	247191011	32236	0.0169
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	2784	13117860	10011	0.0212
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	13119757	13202892	47	0.5465
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	13205476	34555087	14053	0.0235
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	34555129	34590561	43	-1.3373
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	34590667	52595241	13033	0.0172
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	52597429	52635046	41	0.6414
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	52641453	68730958	10603	0.0204
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	68731469	68742212	11	-0.7727
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	68743608	127558707	31484	0.0265
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	127558794	127574416	12	0.9946
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	127575116	133070297	2893	0.0349
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	133070438	133071263	3	2.0794
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	133071966	146581839	8639	0.0187
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	146582217	146583404	13	-1.4627
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	146594276	164345098	10595	0.0218
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	164351734	164353372	5	-1.1294
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	164354888	179764256	9682	0.0148
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	179769900	179784908	3	-1.6325
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	179787389	180126633	222	-0.0133
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	180126735	180129742	19	-1.3848
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	180129757	208058564	16451	0.0178
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	208058871	208068391	25	-0.4654
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	208068467	212889567	3035	0.021
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	212894794	212899970	23	-0.8051
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	2	212900057	242738129	19072	0.0203
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	3	35345	75651239	52792	-0.0077
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	3	75655239	75677871	7	1.2298
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	3	75678936	76082206	129	-0.0028
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	3	76082445	76096476	12	-0.8046
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	3	76097206	131245549	29648	0.0102
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	3	131246388	131293903	58	0.5787
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	3	131293929	163990962	20279	0.0032
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	3	163995351	164098609	64	-1.0574
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	3	164106536	190842972	16691	-0.0047
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	3	190843448	190855057	16	-0.7243
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	3	190855108	194357441	2492	0.009
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	3	194360596	194363281	9	1.3887
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	3	194363420	199380515	2718	0.0043
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	2281	4161131	1702	-0.0038
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	4164822	4210964	10	-1.186
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	4216236	9819392	4090	0.0203
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	9819488	9845240	37	-1.4133
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	9847534	9999813	170	0.0103
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	10001452	10011862	19	0.6908
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	10012096	34462895	16795	0.0152
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	34463350	34501120	37	-0.4959
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	34506267	104965020	40990	0.0115
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	104971079	104971086	5	1.5959
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	104971093	138311689	19582	0.02
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	138311870	138312864	14	-2.5189
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	138314408	162099591	14774	0.0188
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	162099647	162104050	17	-1.6999
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	162104358	172605921	6675	0.011
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	172611459	172614299	11	1.7551
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	172614351	190780112	12340	0.0068
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	190782353	190803060	10	-0.858
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	4	190807992	191261904	174	-0.0063
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	5	68532	12838191	10214	0.0032
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	5	12838246	12872313	10	0.7725
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	5	12872375	17651360	3203	0.0077
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	5	17658073	17674983	9	-2.8546
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	5	17675249	19490041	1177	0.006
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	5	19494545	19495384	4	-1.9857
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	5	19498028	46306865	16186	0.01
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	5	46307687	46308278	2	-2.6917
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	5	46309085	180722926	82286	0.0106
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B03_734910	6	94661	199283	101	0.0781
