GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	62920	2536604	486	0.1457
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	2536626	16544783	8157	0.0263
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	16569132	16890908	64	-0.3637
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	16890985	72293826	34054	0.0186
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	72293841	72345465	52	-0.7802
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	72346221	109679105	23599	0.0272
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	109684695	109697556	15	1.0924
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	109702376	112147626	1948	0.0342
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	112147704	112154768	26	0.5606
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	112163334	121705338	5159	0.0196
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	143459641	146150530	308	0.2236
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	146161924	146250588	3	-2.0065
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	146716041	152784298	2329	0.2157
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	152784330	152796224	40	0.7493
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	152801429	174827267	14801	0.2228
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	174827418	174828472	13	-0.5854
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	174828549	178690798	2513	0.23
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	178690874	178696814	20	0.7272
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	178696898	187746723	6132	0.2289
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	187748429	187752238	2	-2.2244
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	187755479	196745743	5969	0.2388
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	196758720	196843377	59	0.6081
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	196843400	222193326	17386	0.2244
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	222201492	222203662	2	-3.4954
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	1	222208792	248930189	18414	0.2307
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	2	12784	24378911	17927	0.0297
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	2	24378937	24388858	18	-0.5174
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	2	24390690	27855451	1653	0.0227
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	2	27858076	28080536	100	0.2848
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	2	28080846	34295406	4287	0.0284
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	2	34298911	34300513	2	-2.4271
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	2	34300900	35750907	1010	0.0243
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	2	35752724	35762881	7	-1.6905
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	2	35772407	52527330	12112	0.0325
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	2	52527342	52554404	39	-0.4479
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	2	52560811	130031201	43701	0.0288
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	2	130036283	130116915	14	0.859
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	2	130117303	242147305	68580	0.031
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	20930	37940617	27609	-0.2169
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	37940970	37945316	15	-1.4497
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	37945392	68697013	20131	-0.2215
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	68697108	68698262	14	-1.325
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	68699607	75519398	4927	-0.2215
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	75523398	75559488	9	0.7204
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	75564023	87307155	6500	-0.2222
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	87310357	89514724	1317	0.0436
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	89521535	99226455	3159	-0.216
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	99226551	99230225	14	-1.0716
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	99230232	121231251	13478	-0.218
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	121239063	130047743	5230	0.032
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	130057015	130067366	5	-0.8423
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	130067443	130079892	25	-1.896
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	130079938	130087393	6	-0.7351
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	130088081	131475350	794	0.0023
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	131475673	134208967	1910	-0.2181
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	134209396	142407080	4867	0.0288
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	142407249	144290905	1242	-0.2045
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	144292944	144298349	3	-1.6084
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	144299538	144649169	262	-0.2265
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	144649765	153949525	5863	0.0294
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	153949662	162795361	5319	-0.2116
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	162795671	162908192	65	-1.1377
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	162908207	165696661	1588	-0.2249
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	165697049	170867245	3022	0.0388
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	170867619	193156958	14549	-0.2151
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	193160113	193169072	29	0.2459
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	193169120	196049719	1634	-0.2153
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	196049866	196049993	3	-1.7238
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	3	196050340	198169247	1046	-0.23
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	68929	9462813	5159	0.024
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	9463248	9477699	4	1.3667
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	9484440	10208766	539	0.0218
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	10212536	10229625	28	-1.859
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	10229874	10389091	179	0.0233
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	10390730	10399044	16	0.7077
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	10401094	34777432	16774	0.026
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	34784878	34828327	42	0.3588
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	34828382	39413784	3184	0.0399
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	39415971	39571770	78	0.4843
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	39574820	63265520	12976	0.0283
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	63275560	63286195	6	-2.6948
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	63288849	68378716	3184	0.0399
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	68389352	68391041	2	-2.1019
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	68394355	69523998	564	0.0298
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	69524143	69525061	2	-2.6356
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	69526170	137171085	40451	0.0281
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	137171266	137171772	10	-0.7194
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	137171784	151868241	8826	0.0208
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	151868634	151871415	13	-0.8957
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	151871739	154881396	1950	0.031
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	154881853	154881926	3	-3.2139
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	154882047	160958972	3919	0.032
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	160958989	160963111	13	-0.596
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	160963195	171448195	6667	0.0286
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	171453733	171456559	10	2.2938
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	171456573	180981940	6146	0.0289
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	180982600	181997399	857	-0.0719
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	4	181997493	190106768	5475	0.0434
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	5	15532	99338	39	0.2029
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	5	106661	12785150	10141	0.0266
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	5	12790757	12864509	22	0.607
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	5	12869750	58025819	25532	0.0287
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	5	58030200	58037706	32	2.7876
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	5	58042530	98891313	23570	0.0247
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	5	98892164	99855985	537	0.2657
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	5	99862493	99896070	28	0.9862
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	5	99899008	100047882	134	0.3111
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	5	100051743	100198392	64	-0.123
88cd346a-3bb0-4fc9-b665-d10af2fd07d1	5	100198825	100814131	344	0.2592
