GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d354a92e-4d90-4011-8270-4a3dd4099af3	1	62920	668210	21	0.5678
d354a92e-4d90-4011-8270-4a3dd4099af3	1	771719	965731	44	-0.0872
d354a92e-4d90-4011-8270-4a3dd4099af3	1	968658	2916767	497	-0.1915
d354a92e-4d90-4011-8270-4a3dd4099af3	1	2917178	16052836	7871	-0.2983
d354a92e-4d90-4011-8270-4a3dd4099af3	1	16052921	16489035	199	-0.2327
d354a92e-4d90-4011-8270-4a3dd4099af3	1	16489595	16643961	39	0.1048
d354a92e-4d90-4011-8270-4a3dd4099af3	1	16679239	16864367	28	-0.2602
d354a92e-4d90-4011-8270-4a3dd4099af3	1	16868660	16935737	52	-0.7932
d354a92e-4d90-4011-8270-4a3dd4099af3	1	16935752	30264526	7674	-0.2931
d354a92e-4d90-4011-8270-4a3dd4099af3	1	30265508	30268809	9	-1.2075
d354a92e-4d90-4011-8270-4a3dd4099af3	1	30269103	30469734	160	-0.277
d354a92e-4d90-4011-8270-4a3dd4099af3	1	30470055	30947040	362	-0.36
d354a92e-4d90-4011-8270-4a3dd4099af3	1	30957585	31148580	79	-0.2642
d354a92e-4d90-4011-8270-4a3dd4099af3	1	31150820	31152499	2	-1.3083
d354a92e-4d90-4011-8270-4a3dd4099af3	1	31152542	33134314	872	-0.2643
d354a92e-4d90-4011-8270-4a3dd4099af3	1	33134430	33134514	2	-1.6479
d354a92e-4d90-4011-8270-4a3dd4099af3	1	33134594	55660063	12997	-0.2952
d354a92e-4d90-4011-8270-4a3dd4099af3	1	55663431	55663693	2	-1.9452
d354a92e-4d90-4011-8270-4a3dd4099af3	1	55667795	72303233	11865	-0.3126
d354a92e-4d90-4011-8270-4a3dd4099af3	1	72303253	72345450	44	-1.4295
d354a92e-4d90-4011-8270-4a3dd4099af3	1	72345465	103616762	20021	-0.3215
d354a92e-4d90-4011-8270-4a3dd4099af3	1	103620877	103621165	2	1.3003
d354a92e-4d90-4011-8270-4a3dd4099af3	1	103697067	105476583	923	-0.3288
d354a92e-4d90-4011-8270-4a3dd4099af3	1	105476614	105479753	16	0.4393
d354a92e-4d90-4011-8270-4a3dd4099af3	1	105481433	109690352	2638	-0.3152
d354a92e-4d90-4011-8270-4a3dd4099af3	1	109690415	109697556	12	-1.7631
d354a92e-4d90-4011-8270-4a3dd4099af3	1	109702376	110788378	801	-0.312
d354a92e-4d90-4011-8270-4a3dd4099af3	1	110789023	111344493	479	-0.2242
d354a92e-4d90-4011-8270-4a3dd4099af3	1	111344690	112147704	669	-0.3064
d354a92e-4d90-4011-8270-4a3dd4099af3	1	112153343	112154768	25	-1.0099
d354a92e-4d90-4011-8270-4a3dd4099af3	1	112163334	121597150	5158	-0.3038
d354a92e-4d90-4011-8270-4a3dd4099af3	1	121598439	153699567	3307	0.0685
d354a92e-4d90-4011-8270-4a3dd4099af3	1	153699771	153715580	7	0.7784
d354a92e-4d90-4011-8270-4a3dd4099af3	1	153719014	169247699	10654	0.0401
d354a92e-4d90-4011-8270-4a3dd4099af3	1	169264736	169272528	7	-1.9141
d354a92e-4d90-4011-8270-4a3dd4099af3	1	169273163	179361393	6613	0.0303
d354a92e-4d90-4011-8270-4a3dd4099af3	1	179362247	179364180	3	-1.4652
d354a92e-4d90-4011-8270-4a3dd4099af3	1	179370071	189679027	6826	0.0297
d354a92e-4d90-4011-8270-4a3dd4099af3	1	189679353	189679397	2	-2.0148
d354a92e-4d90-4011-8270-4a3dd4099af3	1	189682917	195859381	4153	0.0204
d354a92e-4d90-4011-8270-4a3dd4099af3	1	195861202	195905777	41	-1.0021
d354a92e-4d90-4011-8270-4a3dd4099af3	1	195906930	248930189	36424	0.035
d354a92e-4d90-4011-8270-4a3dd4099af3	2	12784	3684956	2570	0.0427
d354a92e-4d90-4011-8270-4a3dd4099af3	2	3684997	3688948	4	-1.0127
d354a92e-4d90-4011-8270-4a3dd4099af3	2	3694481	35750907	22439	0.0255
d354a92e-4d90-4011-8270-4a3dd4099af3	2	35752724	35762850	6	1.1015
d354a92e-4d90-4011-8270-4a3dd4099af3	2	35762881	49308629	9852	0.0293
d354a92e-4d90-4011-8270-4a3dd4099af3	2	49310530	49314051	4	-1.0016
d354a92e-4d90-4011-8270-4a3dd4099af3	2	49317902	52038525	1956	0.0191
d354a92e-4d90-4011-8270-4a3dd4099af3	2	52039769	52046762	2	-1.6347
d354a92e-4d90-4011-8270-4a3dd4099af3	2	52047691	52527743	320	0.0196
d354a92e-4d90-4011-8270-4a3dd4099af3	2	52531615	52554157	25	-0.5924
d354a92e-4d90-4011-8270-4a3dd4099af3	2	52554188	86901078	21994	0.0299
d354a92e-4d90-4011-8270-4a3dd4099af3	2	86902080	86910262	2	-1.8279
d354a92e-4d90-4011-8270-4a3dd4099af3	2	86934730	87476268	93	0.1515
d354a92e-4d90-4011-8270-4a3dd4099af3	2	87476397	87551361	19	-0.4433
d354a92e-4d90-4011-8270-4a3dd4099af3	2	87569749	87695122	21	0.1996
d354a92e-4d90-4011-8270-4a3dd4099af3	2	87696853	88862008	516	0.0299
d354a92e-4d90-4011-8270-4a3dd4099af3	2	88862049	89305244	141	0.1874
d354a92e-4d90-4011-8270-4a3dd4099af3	2	89896149	91703526	140	0.609
d354a92e-4d90-4011-8270-4a3dd4099af3	2	91717024	105677339	6013	0.0261
d354a92e-4d90-4011-8270-4a3dd4099af3	2	105677436	105678280	2	-1.2464
d354a92e-4d90-4011-8270-4a3dd4099af3	2	105681823	106263639	499	0.0322
d354a92e-4d90-4011-8270-4a3dd4099af3	2	106264257	106270799	12	0.863
d354a92e-4d90-4011-8270-4a3dd4099af3	2	106270952	113604438	3785	0.0323
d354a92e-4d90-4011-8270-4a3dd4099af3	2	113604837	113604839	2	-1.3608
d354a92e-4d90-4011-8270-4a3dd4099af3	2	113623244	116831010	1946	0.0287
d354a92e-4d90-4011-8270-4a3dd4099af3	2	116832191	116832277	2	-1.6206
d354a92e-4d90-4011-8270-4a3dd4099af3	2	116833669	125684646	5712	0.0247
d354a92e-4d90-4011-8270-4a3dd4099af3	2	125694074	125694336	2	-2.1862
d354a92e-4d90-4011-8270-4a3dd4099af3	2	125694355	207490188	49370	0.0204
d354a92e-4d90-4011-8270-4a3dd4099af3	2	207490231	207494612	17	-0.6748
d354a92e-4d90-4011-8270-4a3dd4099af3	2	207494752	208136716	361	0.0467
d354a92e-4d90-4011-8270-4a3dd4099af3	2	208140285	220701361	8086	-0.0073
d354a92e-4d90-4011-8270-4a3dd4099af3	2	220706180	220706442	3	-1.0871
d354a92e-4d90-4011-8270-4a3dd4099af3	2	220709385	237399435	10959	0.0004
d354a92e-4d90-4011-8270-4a3dd4099af3	2	237402258	237402969	2	-1.4441
d354a92e-4d90-4011-8270-4a3dd4099af3	2	237409610	238976024	950	-0.0055
d354a92e-4d90-4011-8270-4a3dd4099af3	2	238977585	242147305	1727	0.0192
d354a92e-4d90-4011-8270-4a3dd4099af3	3	20930	182919	154	0.0095
d354a92e-4d90-4011-8270-4a3dd4099af3	3	188339	191117	4	-1.0623
d354a92e-4d90-4011-8270-4a3dd4099af3	3	193194	30257358	22455	0.03
d354a92e-4d90-4011-8270-4a3dd4099af3	3	30257662	30257774	2	-1.3737
