Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	51598	16884097	8772	0.0126
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	16884147	17134834	119	0.4635
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	17148828	23830370	4369	0.0118
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	23831508	23832200	2	-1.6761
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	23833455	25291286	778	0.0068
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	25295988	25296909	2	-1.3197
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	25297476	25455928	118	0.0613
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	25465715	25477053	11	0.6878
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	25477645	25484039	3	1.9095
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	25488883	25534799	17	0.6685
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	25535897	32314805	3467	7e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	32317771	32317916	2	-1.6037
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	32325461	72512541	25268	-0.003
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	72512661	72541504	20	0.3341
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	72541524	72583736	45	1.1572
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	72584492	110029038	23728	9e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	110034497	110041701	17	-1.7132
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F07_741964	1	110044476	112491849	1955	0.0121
