Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	51598	17067742	8836	0.011
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	17076084	17134834	60	-0.4544
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	17148828	19592050	1745	0.0153
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	19592679	19604245	16	-0.8464
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	19606548	25325882	3426	0.0131
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	25328112	25328122	2	-1.8682
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	25328479	34864261	5084	0.0106
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	34875241	34877078	20	-0.8016
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	34886855	55043139	11186	0.0137
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	55047107	55047240	2	-1.4671
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	55047398	72541504	12606	0.0206
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	72541524	72583736	45	-1.9165
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	72584492	75184604	1581	0.0128
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	75185010	75191582	4	-0.9764
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	75192349	86678151	7668	0.0289
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	86678502	86679584	2	-1.3891
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	86681286	103904753	10822	0.0242
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	103910761	103957254	20	0.6133
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	103957325	103960907	7	-0.042
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	103965022	103965310	2	-1.8534
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	103979561	105302045	657	0.0222
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	105306545	105307345	2	1.0302
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	105307475	105820728	287	0.0213
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	105820759	105823898	16	-0.4756
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	105825578	110034497	2672	0.0353
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	110034560	110044476	17	1.046
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	110046521	112491849	1958	0.0304
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	112497488	112507479	26	0.5814
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	112507583	143650236	5315	0.0227
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	143650354	143795221	55	-0.3443
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	143796049	147811996	1184	0.066
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	147812010	147845346	4	-1.3466
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	147884075	150822151	1490	0.0284
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	150822330	150853218	35	-2.2819
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	150857118	151029291	184	0.0103
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	151029386	151035324	24	0.6657
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	151040529	167483561	11349	0.0195
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	167500598	167505355	5	0.9568
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	167505369	173063028	3530	0.0231
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	173063179	173068463	16	-0.8365
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	173068477	191422415	12265	0.0229
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	191422902	191422971	4	0.991
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	191426346	194981496	2403	0.0252
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	194994473	195028443	42	-2.3015
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	195028689	195079130	52	-0.9861
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	195079153	195082414	2	-3.218
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B08_697732	1	195083353	207872255	8584	0.0233
