Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	61735	712545	36	0.8438
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	718663	4422230	1368	0.0309
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	4423896	4424098	2	-2.064
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	4425763	12839576	5097	0.0031
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	12841928	13717824	89	0.446
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	13724101	16830583	2097	0.0068
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	16830820	17005776	50	0.8946
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	17005978	17012741	13	-0.4371
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	17012785	17190862	48	0.7255
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	17195155	65885357	29535	0.0115
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	65885569	65911672	17	-0.5851
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	65911923	69866145	2728	0.0152
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	69871685	69899166	20	0.4317
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	69899201	72768418	1814	0.0101
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	72768498	72811904	48	0.5335
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	72812440	84900968	7840	0.0136
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	84901106	84901637	3	-1.1482
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	84903286	104109354	12177	0.0143
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	104112887	104261206	51	0.2629
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	104268222	106019370	922	0.0067
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	106019483	106024090	16	0.7274
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	106024137	110226487	2655	0.0112
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	110226743	110227515	6	0.9025
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A02_730572	1	110232974	110240178	17	-1.1798
