Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	1	3218610	23845193	11313	0.0078
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	1	23845288	23845963	2	-2.1772
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	1	23848042	247813706	117799	0.0017
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	2	484222	129500790	67315	0.0033
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	2	129501338	129501340	2	-1.6452
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	2	129504032	234940575	59345	0.0096
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	2	234947630	234955890	40	-0.9118
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	2	234963083	242476062	4579	0.011
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	3	2212571	197538677	106351	0.0012
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	4	1053934	44323832	26276	0.0035
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	4	44326267	44330971	9	-0.9257
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	4	44331893	102525045	29897	0.0015
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	4	102528058	102530301	3	-1.3706
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	4	102542333	153684358	27773	0.0026
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	4	153684516	153684617	2	-1.4194
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	4	153686275	182734057	16093	-0.0051
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	4	182735681	182736177	2	-1.3458
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	4	182736842	188763651	2675	0.0035
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	5	914233	135875922	73364	0.0012
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	5	135886084	135901031	13	0.6011
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	5	135922009	180360469	27117	0.0027
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	6	1014281	5551137	3227	-2e-04
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	6	5556697	5558549	5	-1.216
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	6	5558576	84735868	42936	-0.0011
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	6	84736187	84739180	8	-1.1964
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	6	84742742	103168657	10169	0.0038
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	6	103168753	103169442	2	-2.0302
DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_F06_1464696	6	103175195	160902790	35171	-0.0028
