Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	1	3218610	5300337	1354	0.0418
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	1	5302169	5303446	4	-0.8691
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	1	5307297	78832137	41483	0.0051
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	1	78834432	78836313	4	-0.9964
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	1	78839350	179748514	43263	-0.0142
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	1	179751877	179751937	2	-1.4139
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	1	179753797	219701774	25337	-0.0021
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	1	219701961	219702076	2	-1.5201
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	1	219704648	227774905	4842	0.0026
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	1	227777149	227778022	2	-1.5054
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	1	227778511	247813706	12829	0.0017
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	2	484222	44696662	26126	0.0123
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	2	44702785	44702978	2	-1.5241
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	2	44704795	52596977	4694	0.0026
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	2	52599360	52599968	2	-2.1203
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	2	52659636	143438507	43668	0.0032
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	2	143439789	143453155	10	-0.6415
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	2	143454215	234687418	51957	-0.0066
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	2	234687583	234689090	4	-0.9223
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	2	234691401	241273585	4256	0.0193
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	2	241273942	241274152	2	-2.0736
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	2	241282787	242476062	567	-0.0034
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	3	2212571	20406855	10847	0.0025
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	3	20409992	20419727	6	-1.1306
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	3	20447895	157214486	75208	0.0061
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	3	157215110	157216029	3	-1.4342
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	3	157216368	197538677	20313	0.0021
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	4	1053934	14348169	7829	0.0218
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	4	14350791	14353374	4	-1.059
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	4	14353521	26478787	8080	0.0152
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	4	26480158	26480416	2	-1.6888
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	4	26483296	97988348	37789	0.0018
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	4	97988834	97990235	3	-1.5776
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	4	97991815	188763651	49035	-0.0059
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	5	914233	142015193	76518	0.0021
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	5	142017860	142020013	7	-1.0803
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	5	142022102	142234119	165	-0.0582
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	5	142234244	142236977	4	-1.5825
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	5	142237486	180360469	23809	0.0063
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	6	1014281	14491699	9660	0.0148
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	6	14498023	14499329	2	-1.5604
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	6	14499626	23464482	6180	0.0232
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	6	23464789	23465010	3	-1.0886
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	6	23467845	87122261	31671	-0.0109
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	6	87122501	87125942	3	-2.3286
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	6	87126023	170903919	48958	-0.008
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	7	705284	12934910	5463	-0.0132
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	7	12937077	12939218	7	-1.1007
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	7	12944140	150340211	71715	0
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	7	150340795	150341441	2	-1.601
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	7	150341718	158385118	4126	0.0151
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	8	617667	145232496	81524	0.0019
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_A08_585026	9	789932	119111462	55367	0.0086
