GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
00744e9b-c88c-4428-8317-fd67acde1ab8	1	62920	16679483	8678	0.0177
00744e9b-c88c-4428-8317-fd67acde1ab8	1	16685961	16766762	10	0.6605
00744e9b-c88c-4428-8317-fd67acde1ab8	1	16766922	16909713	35	0.2352
00744e9b-c88c-4428-8317-fd67acde1ab8	1	16909725	16935752	33	0.5934
00744e9b-c88c-4428-8317-fd67acde1ab8	1	16949746	25256850	5263	0.0161
00744e9b-c88c-4428-8317-fd67acde1ab8	1	25266637	25320455	24	0.5331
00744e9b-c88c-4428-8317-fd67acde1ab8	1	25336819	34626073	4951	0.0159
00744e9b-c88c-4428-8317-fd67acde1ab8	1	34637053	34638890	20	-0.5853
00744e9b-c88c-4428-8317-fd67acde1ab8	1	34648667	38117186	1815	0.0147
00744e9b-c88c-4428-8317-fd67acde1ab8	1	38118360	38119077	2	-1.3841
00744e9b-c88c-4428-8317-fd67acde1ab8	1	38119209	40372964	1267	0.0148
00744e9b-c88c-4428-8317-fd67acde1ab8	1	40381803	40398868	12	-0.8321
00744e9b-c88c-4428-8317-fd67acde1ab8	1	40399961	40404873	6	-0.3601
00744e9b-c88c-4428-8317-fd67acde1ab8	1	40406684	47599666	4077	0.0141
00744e9b-c88c-4428-8317-fd67acde1ab8	1	47605484	47605676	3	-2.3815
00744e9b-c88c-4428-8317-fd67acde1ab8	1	47605877	72303253	16593	0.0108
00744e9b-c88c-4428-8317-fd67acde1ab8	1	72305460	72346221	45	1.4707
00744e9b-c88c-4428-8317-fd67acde1ab8	1	72346757	96048293	15412	0.0055
00744e9b-c88c-4428-8317-fd67acde1ab8	1	96048558	96050082	4	-1.3007
00744e9b-c88c-4428-8317-fd67acde1ab8	1	96050564	107672688	7110	0.0142
00744e9b-c88c-4428-8317-fd67acde1ab8	1	107675635	107675654	2	-1.7054
00744e9b-c88c-4428-8317-fd67acde1ab8	1	107676065	108938355	732	0.0316
00744e9b-c88c-4428-8317-fd67acde1ab8	1	108941145	108941228	2	-1.3548
00744e9b-c88c-4428-8317-fd67acde1ab8	1	108943647	111385772	1687	0.0228
00744e9b-c88c-4428-8317-fd67acde1ab8	1	111386515	111390609	5	-1.1537
00744e9b-c88c-4428-8317-fd67acde1ab8	1	111393046	152583051	8250	0.0115
00744e9b-c88c-4428-8317-fd67acde1ab8	1	152583230	152613762	31	-2.4147
00744e9b-c88c-4428-8317-fd67acde1ab8	1	152613802	152614118	4	-0.9404
00744e9b-c88c-4428-8317-fd67acde1ab8	1	152618018	152787202	166	-0.0156
00744e9b-c88c-4428-8317-fd67acde1ab8	1	152789447	152796224	37	-2.2723
00744e9b-c88c-4428-8317-fd67acde1ab8	1	152801429	161647641	5266	0.0168
00744e9b-c88c-4428-8317-fd67acde1ab8	1	161647657	161649178	6	-1.0544
00744e9b-c88c-4428-8317-fd67acde1ab8	1	161649222	196745743	24200	0.0073
00744e9b-c88c-4428-8317-fd67acde1ab8	1	196758720	196854586	65	0.4266
00744e9b-c88c-4428-8317-fd67acde1ab8	1	196854706	198337730	817	0.0072
00744e9b-c88c-4428-8317-fd67acde1ab8	1	198337802	198338649	2	-1.4446
00744e9b-c88c-4428-8317-fd67acde1ab8	1	198342229	209908268	7965	0.0146
00744e9b-c88c-4428-8317-fd67acde1ab8	1	209908720	209910639	2	-1.8976
00744e9b-c88c-4428-8317-fd67acde1ab8	1	209913207	215318153	3730	0.01
00744e9b-c88c-4428-8317-fd67acde1ab8	1	215320126	215327688	8	-0.7759
00744e9b-c88c-4428-8317-fd67acde1ab8	1	215328098	231083475	10423	0.0111
00744e9b-c88c-4428-8317-fd67acde1ab8	1	231087787	231089008	2	-1.6558
00744e9b-c88c-4428-8317-fd67acde1ab8	1	231089772	234520850	2694	0.0064
00744e9b-c88c-4428-8317-fd67acde1ab8	1	234521138	234526996	6	0.8607
00744e9b-c88c-4428-8317-fd67acde1ab8	1	234527144	240228440	4300	0.0077
00744e9b-c88c-4428-8317-fd67acde1ab8	1	240230715	240230839	6	-2.4386
00744e9b-c88c-4428-8317-fd67acde1ab8	1	240232805	248930189	5861	0.0268
00744e9b-c88c-4428-8317-fd67acde1ab8	2	12784	36109476	25294	0.0143
00744e9b-c88c-4428-8317-fd67acde1ab8	2	36109597	36112411	12	-1.1063
00744e9b-c88c-4428-8317-fd67acde1ab8	2	36123960	55097152	13848	0.0098
00744e9b-c88c-4428-8317-fd67acde1ab8	2	55097336	55103214	39	-0.8294
00744e9b-c88c-4428-8317-fd67acde1ab8	2	55113676	57976179	1890	0.0169
00744e9b-c88c-4428-8317-fd67acde1ab8	2	57978394	57980612	2	-1.8773
