GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6808683c-2e08-400e-8645-9d35d3f4443d	1	62920	110833598	66913	0.0118
6808683c-2e08-400e-8645-9d35d3f4443d	1	110834746	110845604	39	-0.7065
6808683c-2e08-400e-8645-9d35d3f4443d	1	110849445	112147704	1065	0.0218
6808683c-2e08-400e-8645-9d35d3f4443d	1	112153343	112154768	25	0.376
6808683c-2e08-400e-8645-9d35d3f4443d	1	112163334	114289343	1319	0.0208
6808683c-2e08-400e-8645-9d35d3f4443d	1	114291004	114291088	2	-1.57
6808683c-2e08-400e-8645-9d35d3f4443d	1	114291180	121597150	3814	0.0038
6808683c-2e08-400e-8645-9d35d3f4443d	1	121598439	143714703	99	0.2121
6808683c-2e08-400e-8645-9d35d3f4443d	1	143734438	152583051	2327	0.0217
6808683c-2e08-400e-8645-9d35d3f4443d	1	152583230	152614118	35	1.1602
6808683c-2e08-400e-8645-9d35d3f4443d	1	152618018	152787202	164	-0.0177
6808683c-2e08-400e-8645-9d35d3f4443d	1	152789447	152796224	37	0.6386
6808683c-2e08-400e-8645-9d35d3f4443d	1	152801429	174827267	14695	0.0098
6808683c-2e08-400e-8645-9d35d3f4443d	1	174827418	174832599	15	-0.6205
6808683c-2e08-400e-8645-9d35d3f4443d	1	174832702	194479104	13115	0.0091
6808683c-2e08-400e-8645-9d35d3f4443d	1	194482281	194485888	2	-1.5872
6808683c-2e08-400e-8645-9d35d3f4443d	1	194487886	196745743	1446	0.0028
6808683c-2e08-400e-8645-9d35d3f4443d	1	196758720	196846661	61	-1.2254
6808683c-2e08-400e-8645-9d35d3f4443d	1	196847600	248930189	35620	0.0051
6808683c-2e08-400e-8645-9d35d3f4443d	2	12784	34466002	23980	0.0036
6808683c-2e08-400e-8645-9d35d3f4443d	2	34474248	34511990	46	-1.7708
6808683c-2e08-400e-8645-9d35d3f4443d	2	34512096	35750907	869	-0.0043
6808683c-2e08-400e-8645-9d35d3f4443d	2	35752724	35761842	5	-1.5476
6808683c-2e08-400e-8645-9d35d3f4443d	2	35762850	37777178	1563	0.004
6808683c-2e08-400e-8645-9d35d3f4443d	2	37777288	37777305	2	-1.3287
6808683c-2e08-400e-8645-9d35d3f4443d	2	37777726	52527727	10490	0.0127
6808683c-2e08-400e-8645-9d35d3f4443d	2	52527743	52554404	34	-0.5154
6808683c-2e08-400e-8645-9d35d3f4443d	2	52560811	97359380	23743	0.0104
6808683c-2e08-400e-8645-9d35d3f4443d	2	97359885	97562741	17	-0.5569
6808683c-2e08-400e-8645-9d35d3f4443d	2	97563117	105772455	5128	0.0147
6808683c-2e08-400e-8645-9d35d3f4443d	2	105772504	105774715	4	-1.2902
6808683c-2e08-400e-8645-9d35d3f4443d	2	105774881	113604438	4193	0.005
6808683c-2e08-400e-8645-9d35d3f4443d	2	113604837	113623244	3	-1.3843
6808683c-2e08-400e-8645-9d35d3f4443d	2	113625975	127094445	8537	-0.001
6808683c-2e08-400e-8645-9d35d3f4443d	2	127099470	127100187	2	1.8327
6808683c-2e08-400e-8645-9d35d3f4443d	2	127100370	146104517	11418	0.0077
6808683c-2e08-400e-8645-9d35d3f4443d	2	146106836	146120238	25	0.5045
6808683c-2e08-400e-8645-9d35d3f4443d	2	146120827	242001132	58684	0.0028
6808683c-2e08-400e-8645-9d35d3f4443d	2	242011715	242147305	96	-0.8175
6808683c-2e08-400e-8645-9d35d3f4443d	3	20930	130047743	82051	0.0004
6808683c-2e08-400e-8645-9d35d3f4443d	3	130057015	130087393	36	-1.3265
6808683c-2e08-400e-8645-9d35d3f4443d	3	130088081	162794951	20186	-0.0137
6808683c-2e08-400e-8645-9d35d3f4443d	3	162795304	162908784	69	0.5611
6808683c-2e08-400e-8645-9d35d3f4443d	3	162908815	193160113	19075	-0.0154
6808683c-2e08-400e-8645-9d35d3f4443d	3	193160173	193165114	19	-0.8573
6808683c-2e08-400e-8645-9d35d3f4443d	3	193168646	195656271	1476	-0.013
6808683c-2e08-400e-8645-9d35d3f4443d	3	195663809	195747892	43	0.7443
6808683c-2e08-400e-8645-9d35d3f4443d	3	195751823	198169247	1158	0.0098
6808683c-2e08-400e-8645-9d35d3f4443d	4	68929	4117959	1616	0.0129
6808683c-2e08-400e-8645-9d35d3f4443d	4	4121101	4151033	6	-0.8038
6808683c-2e08-400e-8645-9d35d3f4443d	4	4158336	9858273	3665	0.0018
6808683c-2e08-400e-8645-9d35d3f4443d	4	9858277	9862603	3	-0.9617
6808683c-2e08-400e-8645-9d35d3f4443d	4	9863418	10227684	391	0.0018
6808683c-2e08-400e-8645-9d35d3f4443d	4	10228006	10229173	8	-0.8161
6808683c-2e08-400e-8645-9d35d3f4443d	4	10229188	10391530	182	0.0472
6808683c-2e08-400e-8645-9d35d3f4443d	4	10396694	10401374	18	-0.5329
6808683c-2e08-400e-8645-9d35d3f4443d	4	10401921	34777432	16708	0.0023
6808683c-2e08-400e-8645-9d35d3f4443d	4	34784878	34823103	38	-1.8171
6808683c-2e08-400e-8645-9d35d3f4443d	4	34828250	57183027	12478	0.0014
6808683c-2e08-400e-8645-9d35d3f4443d	4	57185482	57233933	37	0.5496
6808683c-2e08-400e-8645-9d35d3f4443d	4	57234405	68506285	6858	-0.0191
6808683c-2e08-400e-8645-9d35d3f4443d	4	68509223	68620261	65	-1.3127
6808683c-2e08-400e-8645-9d35d3f4443d	4	68623617	69278088	329	-0.0494
6808683c-2e08-400e-8645-9d35d3f4443d	4	69283159	69366081	40	-0.4417
6808683c-2e08-400e-8645-9d35d3f4443d	4	69366304	160958989	55046	-0.0219
6808683c-2e08-400e-8645-9d35d3f4443d	4	160959045	160963756	18	-0.5682
6808683c-2e08-400e-8645-9d35d3f4443d	4	160963767	172066777	7045	-0.0168
6808683c-2e08-400e-8645-9d35d3f4443d	4	172067997	172068382	12	0.6486
6808683c-2e08-400e-8645-9d35d3f4443d	4	172074828	190106768	12018	-0.0192
6808683c-2e08-400e-8645-9d35d3f4443d	5	15532	626163	273	0.0234
6808683c-2e08-400e-8645-9d35d3f4443d	5	637162	637175	2	-1.1632
6808683c-2e08-400e-8645-9d35d3f4443d	5	642617	676744	26	0.0446
6808683c-2e08-400e-8645-9d35d3f4443d	5	676771	773453	31	0.4913
6808683c-2e08-400e-8645-9d35d3f4443d	5	779766	2167361	806	0.0341
6808683c-2e08-400e-8645-9d35d3f4443d	5	2167802	2170927	2	-1.3769
6808683c-2e08-400e-8645-9d35d3f4443d	5	2172942	12791608	9000	0.004
6808683c-2e08-400e-8645-9d35d3f4443d	5	12800777	12849089	16	0.5857
6808683c-2e08-400e-8645-9d35d3f4443d	5	12857021	25976153	8108	0.0008
6808683c-2e08-400e-8645-9d35d3f4443d	5	25979327	25981623	2	-1.2552
6808683c-2e08-400e-8645-9d35d3f4443d	5	25981951	30161851	2473	-0.0009
6808683c-2e08-400e-8645-9d35d3f4443d	5	30163846	30165645	3	-1.3318
6808683c-2e08-400e-8645-9d35d3f4443d	5	30167730	32106978	1425	0.01
6808683c-2e08-400e-8645-9d35d3f4443d	5	32109483	32158349	38	0.4974
6808683c-2e08-400e-8645-9d35d3f4443d	5	32170181	69550476	20664	0.0074
6808683c-2e08-400e-8645-9d35d3f4443d	5	69571467	69822308	5	1.2092
6808683c-2e08-400e-8645-9d35d3f4443d	5	69937600	181363319	69444	0.0066
6808683c-2e08-400e-8645-9d35d3f4443d	6	149661	254283	100	0.0266
6808683c-2e08-400e-8645-9d35d3f4443d	6	257353	303017	25	0.3651
6808683c-2e08-400e-8645-9d35d3f4443d	6	303121	8925113	7034	-0.0022
6808683c-2e08-400e-8645-9d35d3f4443d	6	8927278	8932867	12	-0.9276
6808683c-2e08-400e-8645-9d35d3f4443d	6	8934759	29869295	14369	-0.001
6808683c-2e08-400e-8645-9d35d3f4443d	6	29869410	29881490	16	-0.8119
6808683c-2e08-400e-8645-9d35d3f4443d	6	29882419	31318528	656	0.0078
6808683c-2e08-400e-8645-9d35d3f4443d	6	31318754	31328674	9	-1.4397
6808683c-2e08-400e-8645-9d35d3f4443d	6	31342147	32486746	501	0.0136
6808683c-2e08-400e-8645-9d35d3f4443d	6	32488906	32602588	28	0.9838
6808683c-2e08-400e-8645-9d35d3f4443d	6	32605994	64627049	17875	0.0091
6808683c-2e08-400e-8645-9d35d3f4443d	6	64637651	64639099	2	-1.7805
6808683c-2e08-400e-8645-9d35d3f4443d	6	64640883	65689589	700	-0.0075
6808683c-2e08-400e-8645-9d35d3f4443d	6	65689644	65693959	22	-0.5608
6808683c-2e08-400e-8645-9d35d3f4443d	6	65697234	73882142	5409	0.0052
6808683c-2e08-400e-8645-9d35d3f4443d	6	73882509	73891694	10	0.6476
6808683c-2e08-400e-8645-9d35d3f4443d	6	73893839	76726815	1762	-0.0089
6808683c-2e08-400e-8645-9d35d3f4443d	6	76730151	76733530	11	0.6193
6808683c-2e08-400e-8645-9d35d3f4443d	6	76736482	78261995	988	-0.0084
6808683c-2e08-400e-8645-9d35d3f4443d	6	78262064	78325468	108	0.2563
6808683c-2e08-400e-8645-9d35d3f4443d	6	78329517	128113740	30464	-0.0046
6808683c-2e08-400e-8645-9d35d3f4443d	6	128113787	128115270	3	-1.2722
