Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	61735	9308037	4692	0.0604
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	9315847	9402403	58	0.7461
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	9404693	10367130	447	0.0401
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	10367209	10381772	22	0.5242
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	10381788	12838744	1307	0.0304
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	12839576	13717824	90	0.502
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	13724101	16851514	2113	0.0308
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	16869363	17284920	172	0.5079
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	17286210	22142226	3249	0.0477
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	22147077	22152194	4	1.2953
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	22160111	25583341	2014	0.0553
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	25593128	25673154	34	0.8112
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	25678084	72750353	28831	0.0401
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	72756113	72763370	9	-3.8263
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	72768418	72811148	48	1.2556
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	72811904	110224384	23701	0.0348
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	110224427	110246273	36	0.8414
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	110246278	112690326	1954	0.0359
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	112695965	112697390	25	0.6706
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	112705956	147831183	6314	0.0532
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	147844790	149429206	221	0.492
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	149436842	152555176	1499	0.0584
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	152555527	152586594	36	1.4674
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	152590494	152762515	182	0.0662
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	152762656	152767482	11	0.5529
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	152767503	152768700	15	1.0872
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	152773905	161479438	5270	0.0318
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	161496900	161638480	54	0.5758
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	161638513	198438284	25256	0.0334
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	198442748	198448718	4	-1.0312
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	198449085	199107702	440	0.0666
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	199111363	199113840	9	-1.0205
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	199114238	222366668	16052	0.0317
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	222374834	222377004	2	-3.2346
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	222382134	243134707	14730	0.0357
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	243135255	243282484	29	0.7095
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	243293127	243854196	356	0.06
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	243860924	243863108	6	-1.4331
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	243865110	245636410	1167	0.0203
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	245637039	245649651	11	-1.0438
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	1	245650429	249224388	2207	0.0372
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	12784	1052961	725	0.3752
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	1053469	1058376	2	-1.2933
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	1059025	4197289	2257	0.3496
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	4198741	4223567	45	0.693
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	4223695	32753987	19644	0.3317
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	32758564	32769506	11	-0.3961
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	32771944	34699315	1438	0.3511
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	34701394	34738032	48	0.9535
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	34740639	35975973	875	0.3005
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	35977790	35987916	6	-2.1102
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	35987947	52758753	12169	0.3302
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	52758768	52807474	48	0.7569
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	52807567	97731133	23985	0.3368
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	97732783	98241192	113	0.7508
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	98244174	106881633	5569	0.3327
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	106883229	106887255	9	-0.4209
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	106887408	112891793	2982	0.337
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	112892708	112912286	11	0.966
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	112912699	114327183	846	0.3196
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	114331775	114384353	7	1.3203
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	114389463	129638478	9613	0.3291
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	129638502	129640315	14	-0.5679
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	129640329	130795379	880	0.3352
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	130817339	130874488	14	1.253
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	130874876	131956558	340	0.3879
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	131970795	132158447	41	0.6932
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	132159934	132188751	35	0.1212
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	132193718	132280836	48	0.6214
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	132280917	143358557	7121	0.3356
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	143360629	143360837	4	-1.0078
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	143363158	146862085	2003	0.341
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	146864404	146866909	23	0.97
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	146866934	159957477	7802	0.3325
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	159958620	159960973	3	2.0523
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F09_697600	2	159963287	214163434	32986	0.3333
