GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	62920	817186	32	-0.0234
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	822089	888756	22	-0.8305
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	901333	15827002	8282	0.0986
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	15827041	15828515	9	0.8637
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	15839166	16471261	280	0.071
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	16477281	16583114	22	0.3581
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	16604834	16767532	42	-0.0017
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	16767571	16968717	74	0.4908
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	16971203	25256850	5256	0.0919
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	25266637	25336819	25	0.8569
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	25336853	47467691	12032	0.0999
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	47467851	50881541	1969	0.1625
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	50881666	55108565	2396	0.1127
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	55111282	56704997	1225	0.4739
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	56706667	61518991	3710	0.1716
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	61520286	62946613	993	0.1209
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	62947810	72284670	6406	0.1731
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	72290430	72297687	9	-0.7952
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	72302735	74755466	1510	0.2102
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	74755631	91238876	10886	0.1695
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	91239287	91275415	17	0.332
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	91276196	93624151	1284	0.1245
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	93624174	104497098	6800	0.1746
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	104503262	104508392	4	-0.7659
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	104512295	105476583	502	0.1762
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	105476614	105479753	16	1.1916
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	105481433	109684893	2637	0.1688
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	109690352	109697556	13	-1.5376
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	109702376	143748012	7235	0.1516
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	143748074	143751765	14	0.8513
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	143754062	144442342	21	0.2956
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	144445555	144932423	11	-0.4674
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	145642976	145720653	23	0.1118
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	145731806	149845002	856	0.1896
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	149845018	152583051	1419	0.0999
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	152583230	152613802	32	-2.0841
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	152614064	152614118	3	-0.8924
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	152618018	157335743	2578	0.0961
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	157336129	158549749	926	0.1378
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	158549782	158549797	2	1.7401
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	158549881	160177013	1158	0.1507
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	160177153	161426316	763	0.0836
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	161426352	163175194	1325	0.1424
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	163175251	164342901	818	0.2007
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	164343325	169103907	3797	0.1466
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	169104108	169247699	124	0.085
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	169264736	169272528	7	1.1786
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	169273163	186763997	11517	0.1521
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	186769308	199731024	8507	0.1829
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	199740258	207748448	5206	0.1227
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	207751149	210909362	2572	0.171
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	210909581	213518811	1557	0.132
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	213518889	219672466	4533	0.1998
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	1	219672671	248930189	20171	0.151
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	12784	24790758	18151	-0.2582
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	24794839	28757668	1972	-0.3104
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	28759903	34474248	3954	-0.2627
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	34476327	34511990	45	-1.9739
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	34512096	35671312	821	-0.2342
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	35671420	38727353	2360	-0.2766
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	38728724	38745139	8	0.5586
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	38745684	39273236	285	-0.2843
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	39276550	41406565	1642	-0.232
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	41406993	48620035	5095	-0.2843
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	48621376	52527423	2795	-0.215
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	52527590	52527743	3	-2.2474
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	52531615	52554404	33	0.1517
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	52560811	60068142	5302	-0.2389
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	60068601	76205516	9936	-0.2759
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	76207997	84660083	5493	-0.2412
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	84663926	85206147	285	0.1092
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	85206976	85211107	2	-1.0547
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	85214276	86356117	719	0.1168
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	86356349	86356598	3	-0.7729
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	86357127	86710564	175	0.1175
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	86725947	86726731	2	1.6538
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	86743283	87225631	111	0.2255
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	87228594	87229739	2	-1.2723
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	87245291	97537802	1822	0.1208
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	97540809	97545247	3	-1.5913
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	97545726	102992438	3356	0.1477
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	102993244	104620379	969	0.2178
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	104623081	120378079	9248	0.1586
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	120381271	120381479	2	-1.019
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	120384309	125684646	3455	0.1679
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	125694074	125694336	2	-2.5402
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	125694355	127072723	898	0.1642
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	127075108	127101070	16	-0.3232
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	127103254	128880504	1027	0.1243
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	128880904	128882723	14	-0.6013
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	128882741	131726320	1438	0.1375
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	131732917	134494255	1831	0.1941
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	134495145	136017801	756	0.126
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	136017919	150174288	8683	0.1917
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	150174937	150181218	5	-0.9615
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	150182694	185672010	22050	0.1793
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	185672184	186307390	346	0.2911
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	186307838	200545354	8129	0.1837
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	200557698	203740620	1627	0.133
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	203740732	208770285	3383	0.1702
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	208770666	214764036	3810	0.211
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	214764306	218043349	2284	0.1802
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	218043839	219548412	718	0.1202
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	219550356	222416667	1980	0.2021
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	222416754	228397576	3971	0.1598
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	228399698	228404513	4	-0.8211
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	228404517	228892290	289	0.1871
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	228894763	228895503	13	-0.7917
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	2	228900174	242147305	8198	0.1331
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	20930	16195240	12839	-0.8533
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	16195501	16199672	8	-2.8056
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	16199818	16210071	18	-0.9821
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	16211311	16211762	2	-3.7474
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	16211796	21256455	2979	-0.8053
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	21256633	21257148	2	-2.6157
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	21257267	26570158	4091	-0.8043
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	26570176	26570394	4	-3.0554
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	26570407	52988908	15640	-0.8413
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	52988933	53020093	65	-0.5011
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	53020457	60794907	5738	-0.8532
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	60795013	60795146	2	-4.1761
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	60795294	65207310	3764	-0.8137
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	65207706	65224624	40	-0.3593
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	65224640	68676600	2415	-0.8416
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	68682877	68698262	16	0.2652
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	68699607	73973804	4009	-0.8587
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	73974973	75496021	891	-0.8066
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	75496671	75519398	10	-0.0121
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	75523398	82759677	4070	-0.7869
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	82765491	89194876	3443	0.2029
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	89198793	89198945	3	-0.8145
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	89199543	91462299	610	0.1885
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	93800634	98264273	2293	-0.8093
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	98272200	98274715	2	-3.2704
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	98274872	99218940	542	-0.8151
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	99225614	99226455	14	-1.6842
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	99226551	99230212	13	-3.2664
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	99230225	99230464	9	-1.532
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	99230470	105885508	3938	-0.7924
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	105888162	114483730	5238	-0.8327
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	114484708	119012086	3045	-0.7734
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	119014263	119036472	13	0.208
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	119051205	119101663	30	0.7717
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	119101810	119115295	3	0.1185
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	119117086	130067896	6385	-0.8475
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	130067910	130087393	28	-1.6646
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	130088081	130212605	37	-0.4702
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	130212780	132273893	1393	-0.8202
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	132273929	132276840	3	-2.9193
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	132281633	137297613	3001	-0.8327
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	137297628	137308837	27	-0.5732
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	137309112	137309121	7	0.1109
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	137311987	137342417	38	-0.6206
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	137342865	144232267	4248	-0.8433
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	144237588	144241573	2	-2.9228
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	144241674	162790480	11442	-0.7975
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	162794869	162908815	72	0.0804
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	162910826	167420135	2510	-0.7635
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	167424552	169759718	1458	0.2735
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	169761796	172743558	1907	0.2237
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	172744062	175227611	1632	0.2881
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	175227763	175228581	7	-0.3942
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	175228665	184223372	5365	0.2632
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	184224355	189642965	3784	0.2073
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	189645889	189653225	13	-0.5638
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	189654562	189931824	196	0.1983
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	189933202	193156958	2293	0.0674
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	193160113	193165114	20	-0.5888
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	193168646	195558822	1481	0.0311
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	195559056	195728637	27	-0.3675
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	3	195728990	198169247	1184	0.0326
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	68929	10208766	5702	0.1367
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	10221792	10229874	28	1.5691
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	10232590	10233644	7	0.7879
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	10234518	10389091	171	0.1313
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	10390730	10399044	16	-2.5004
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	10401094	27120897	11987	0.1704
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	27120999	34777353	4798	0.1961
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	34777382	34823103	42	0.6385
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	34828250	37308271	1686	0.1998
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	37309183	41526546	2772	0.1393
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	41526718	53724302	5670	0.1952
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	53725050	53735184	7	-0.679
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	53745277	53853942	99	0.2129
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	53854762	54329576	347	0.3876
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	54330621	61071220	4480	0.1857
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	61075217	61076234	2	-1.491
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	61079968	63826341	1501	0.2206
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	63827261	63850713	31	-0.2592
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	63851308	68378716	2850	0.2103
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	68389352	68422424	10	-0.7206
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	68429081	68478894	9	0.1224
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	68494770	68620261	68	0.7153
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	68623617	69278088	329	0.2194
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	69283159	69366406	42	0.4682
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	69370433	76368633	4257	0.1874
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	76370923	76371213	4	-0.8971
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	76371648	83963740	4814	0.1722
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	83964139	86353021	1575	0.2177
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	86353178	89510267	1945	0.1698
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	89511311	93530255	2219	0.2389
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	93533945	107352408	8255	0.1927
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	107358064	107358586	2	-1.3682
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	107358937	130030672	13622	0.2025
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	130031826	143996000	8369	-0.7693
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	143996159	144111743	59	-0.1084
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	144121880	151868634	4290	-0.7824
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	151870381	151870561	5	-2.5398
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	151870761	151870827	3	-5.824
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	151871065	151871415	4	-1.9725
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	151871739	152071589	192	-0.8121
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	152072978	152073038	2	-5.9644
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	152075130	172501371	12983	-0.7785
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	172503796	172507492	7	0.7827
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	172519981	182882546	7049	-0.7882
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	182884285	182884314	2	-2.7662
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	182885310	183035459	113	-0.8179
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	183036704	183036731	2	-3.0334
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	183037530	190036988	4644	-0.8114
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	4	190046094	190106768	5	0.4168
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	15532	2296281	1248	0.0932
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	2296590	12815753	8943	0.1771
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	12819201	12838421	12	0.9955
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	12849089	17515692	3173	0.1755
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	17601444	17642442	19	-0.8024
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	17655029	21376735	2272	0.1768
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	21377730	21377744	2	-1.9603
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	21385957	27524345	3580	0.1823
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	27525800	27525913	8	-1.5585
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	27527372	31410774	2478	0.1893
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	31411481	32053215	502	0.1026
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	32060589	34146744	1383	0.165
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	34147007	34347077	66	0.379
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	34355143	46271828	6990	0.1642
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	46272419	46273400	5	-2.7658
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	46278110	58033288	5079	0.1657
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	58033703	58037706	28	-0.6378
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	58042530	65122797	4444	0.191
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	65124094	81442661	9402	0.1641
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	81443252	104524672	12997	0.1955
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	104524780	104524903	3	1.3947
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	104525348	105093203	443	0.1929
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	105097721	105167266	46	-0.7601
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	105168236	114915032	6547	0.1904
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	114924417	114926095	2	-1.0188
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	114928471	118050922	2351	0.2104
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	118052727	118053390	11	-0.5672
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	118068645	120548878	1603	0.1687
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	120549297	120549653	2	-2.0451
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	120550234	125798550	3503	0.218
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	125798616	128431891	1595	0.1722
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	128432651	128841050	258	0.2181
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	128841463	137751353	5500	0.158
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	137752360	139825928	884	0.0998
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	139829111	143470044	2124	0.1567
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	143470560	145147642	1143	0.1913
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	145148314	145369576	142	0.6571
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	145374846	149464315	2778	-0.1537
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	149466863	151801329	1586	-0.2089
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	151801757	152408248	468	-0.1288
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	152410247	160941531	5838	-0.171
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	160947976	168152245	4826	-0.1403
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	168152510	178680821	7066	-0.203
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	178682974	178686162	3	-2.8412
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	178691854	180951888	1347	-0.2097
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	180953203	180987465	12	-1.3369
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	5	180990207	181363319	175	-0.1706
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	6	149661	252145	96	0.1284
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	6	252772	303121	31	0.7763
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	6	314962	381149	75	0.4121
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	6	382559	1874965	1305	0.1961
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	6	1875649	18722222	13002	0.1533
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	6	18722244	24342143	4132	0.1854
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	6	24342144	25449876	801	0.1297
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	6	25449925	25742471	195	0.2488
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	6	25743488	29869295	2018	0.1402
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	6	29869410	29881490	16	0.6776
a8c8d504-d374-4d56-9fb9-ba8a498a50c3	6	29882419	31313046	663	0.1422
