Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	51598	12726989	6502	0.0142
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	12727879	12728523	2	-1.5509
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	12728783	25455928	7670	0.0168
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	25465715	25545741	34	0.5656
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	25550671	58850625	19327	0.0144
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	58851088	58851947	3	-2.009
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	58856797	72541504	9449	0.0113
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	72541524	72583736	45	-1.4041
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	72584492	150822151	33787	0.0084
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	150822330	150852862	31	-2.364
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	150852902	151023398	172	-0.0048
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	151023430	151045067	43	-0.3493
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	151045150	191422415	27153	0.0063
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	191422902	191422971	4	-1.2585
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	191426346	194981496	2402	0.0061
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	194994473	195079153	95	0.349
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	195082414	197374325	1381	-0.0117
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	197377986	197380463	9	-1.0858
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	197380861	208137685	7433	0.0043
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	208148236	208153175	4	1.261
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	1	208160117	247191011	27140	0.0052
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	2784	14621145	11058	0.006
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	14622400	14627543	12	-1.2222
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	14627815	34564838	13068	0.0071
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	34564894	34590667	33	-0.396
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	34591060	35829477	877	0.006
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	35831294	35841420	6	-1.8776
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	35841451	52607972	12172	0.012
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	52607984	52635046	39	-3.0957
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	52641453	57755501	3708	0.0104
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	57756661	57758860	4	-1.2224
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	57760873	76697974	11857	0.0054
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	76698681	76698934	5	-4.1443
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	76701094	89398864	7326	7e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	89401952	89758656	70	-0.8804
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	89758669	89848910	41	-0.4994
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	89850229	89900203	44	-1.1437
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	89904391	97221654	1004	0.0076
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	97229064	97240900	15	-0.5713
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	97250052	97484644	24	0.0773
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	97507179	97528621	9	1.0596
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	97533310	106251411	5587	0.009
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	106251445	106251789	2	-1.4268
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	106253687	112036252	2692	0.023
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F07_697586	2	112039822	112084296	9	-0.8324
