Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	1	3218610	105726362	58752	0.0037
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	1	105731199	105731453	2	-4.4357
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	1	105731788	247813706	70250	0.0021
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	2	484222	242476062	131170	0.0085
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	3	2212571	197538677	106284	-0.0055
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	4	1053934	41457613	24821	9e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	4	41457735	41466853	8	-1.154
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	4	41469885	79993822	18582	0.002
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	4	79994037	80000781	2	-2.1049
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	4	80001710	188763651	59230	-0.0038
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	5	914233	108310673	56885	-0.0067
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	5	108311484	108314037	2	-1.9705
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	5	108321827	180360469	43526	-0.006
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	6	1014281	170903919	96415	-0.0027
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	7	705284	65365489	33892	0.0084
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	7	65367704	65373514	2	-2.1546
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	7	65373750	158385118	47358	0.0087
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	8	617667	140364111	80002	-0.0038
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	8	140365633	140366329	2	-2.3142
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	8	140368608	145232496	1451	0.0074
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	9	789932	140938752	67961	0.0013
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	10	415240	59461992	33571	0.0332
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	10	59464788	59464956	2	-2.0513
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	10	59465639	135225087	47209	0.0389
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	11	456120	4528657	1550	-0.0136
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	11	4533534	4536185	10	-0.7782
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	11	4536217	134142530	75624	4e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B08_734864	12	889902	133161346	73863	0.0047
