GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
00e5b006-6afc-4ea4-90e3-f29741560020	1	62920	814954	31	0.4742
00e5b006-6afc-4ea4-90e3-f29741560020	1	817186	3303537	710	-0.0539
00e5b006-6afc-4ea4-90e3-f29741560020	1	3303596	16477281	7873	0.0117
00e5b006-6afc-4ea4-90e3-f29741560020	1	16477846	16935737	127	0.3408
00e5b006-6afc-4ea4-90e3-f29741560020	1	16935752	30261189	7664	0.0229
00e5b006-6afc-4ea4-90e3-f29741560020	1	30264526	30266949	8	-1.2789
00e5b006-6afc-4ea4-90e3-f29741560020	1	30268649	47429331	9597	0.0078
00e5b006-6afc-4ea4-90e3-f29741560020	1	47430543	47766831	250	-0.0438
00e5b006-6afc-4ea4-90e3-f29741560020	1	47768060	47781405	10	-0.8563
00e5b006-6afc-4ea4-90e3-f29741560020	1	47782498	72303233	16433	-0.0189
00e5b006-6afc-4ea4-90e3-f29741560020	1	72303253	72345450	44	-0.7448
00e5b006-6afc-4ea4-90e3-f29741560020	1	72345465	75585159	1931	-0.0313
00e5b006-6afc-4ea4-90e3-f29741560020	1	75589078	75589169	2	-2.8158
00e5b006-6afc-4ea4-90e3-f29741560020	1	75593824	105470754	18990	-0.028
00e5b006-6afc-4ea4-90e3-f29741560020	1	105476583	105479753	17	-1.3135
00e5b006-6afc-4ea4-90e3-f29741560020	1	105481433	109679105	2633	-0.0306
00e5b006-6afc-4ea4-90e3-f29741560020	1	109684695	109702376	16	1.0067
00e5b006-6afc-4ea4-90e3-f29741560020	1	109703504	121561051	7109	-0.0084
00e5b006-6afc-4ea4-90e3-f29741560020	1	121562160	144932423	157	0.252
00e5b006-6afc-4ea4-90e3-f29741560020	1	145642976	152583051	2296	-0.011
00e5b006-6afc-4ea4-90e3-f29741560020	1	152583230	152614064	33	-1.4831
00e5b006-6afc-4ea4-90e3-f29741560020	1	152614100	152618018	3	-0.4444
00e5b006-6afc-4ea4-90e3-f29741560020	1	152618089	152790039	176	0.0349
00e5b006-6afc-4ea4-90e3-f29741560020	1	152790180	152801429	27	0.3483
00e5b006-6afc-4ea4-90e3-f29741560020	1	152804279	186749246	22755	-0.0123
00e5b006-6afc-4ea4-90e3-f29741560020	1	186749713	189679027	1932	-0.0488
00e5b006-6afc-4ea4-90e3-f29741560020	1	189679353	189679397	2	-1.514
00e5b006-6afc-4ea4-90e3-f29741560020	1	189682917	196737547	4725	-0.0448
00e5b006-6afc-4ea4-90e3-f29741560020	1	196737736	196832720	66	0.346
00e5b006-6afc-4ea4-90e3-f29741560020	1	196843377	242971405	32006	-0.0185
00e5b006-6afc-4ea4-90e3-f29741560020	1	242971953	243117583	27	0.4427
00e5b006-6afc-4ea4-90e3-f29741560020	1	243119182	248303790	3439	-0.0084
00e5b006-6afc-4ea4-90e3-f29741560020	1	248303999	248304263	2	1.6925
00e5b006-6afc-4ea4-90e3-f29741560020	1	248305403	248930189	275	-0.0277
00e5b006-6afc-4ea4-90e3-f29741560020	2	12784	4155990	2984	0.4025
00e5b006-6afc-4ea4-90e3-f29741560020	2	4158097	4175577	37	-0.4705
00e5b006-6afc-4ea4-90e3-f29741560020	2	4175922	7986566	3266	0.384
00e5b006-6afc-4ea4-90e3-f29741560020	2	7986660	7986831	2	-1.078
00e5b006-6afc-4ea4-90e3-f29741560020	2	7987785	37636632	20164	0.3958
00e5b006-6afc-4ea4-90e3-f29741560020	2	37636926	37637927	3	1.602
00e5b006-6afc-4ea4-90e3-f29741560020	2	37638553	48914699	8066	0.3981
00e5b006-6afc-4ea4-90e3-f29741560020	2	48915711	48926242	4	-0.6958
00e5b006-6afc-4ea4-90e3-f29741560020	2	48926536	52527727	2575	0.367
00e5b006-6afc-4ea4-90e3-f29741560020	2	52527743	52554404	34	-0.1172
00e5b006-6afc-4ea4-90e3-f29741560020	2	52560811	88846967	22586	0.3832
00e5b006-6afc-4ea4-90e3-f29741560020	2	88847066	91993044	350	0.5242
00e5b006-6afc-4ea4-90e3-f29741560020	2	91994681	97172393	853	0.3884
00e5b006-6afc-4ea4-90e3-f29741560020	2	97180592	97211436	21	1.0367
00e5b006-6afc-4ea4-90e3-f29741560020	2	97310327	103027329	3387	0.4096
00e5b006-6afc-4ea4-90e3-f29741560020	2	103028155	104315092	745	0.34
00e5b006-6afc-4ea4-90e3-f29741560020	2	104315573	106258193	1453	0.4041
00e5b006-6afc-4ea4-90e3-f29741560020	2	106258266	106268901	13	0.9233
00e5b006-6afc-4ea4-90e3-f29741560020	2	106270799	125684646	11439	0.3866
00e5b006-6afc-4ea4-90e3-f29741560020	2	125694074	125694336	2	-1.8177
00e5b006-6afc-4ea4-90e3-f29741560020	2	125694355	129977148	2801	0.3907
00e5b006-6afc-4ea4-90e3-f29741560020	2	129979730	129979747	2	1.8429
00e5b006-6afc-4ea4-90e3-f29741560020	2	129987388	131938688	641	0.4093
00e5b006-6afc-4ea4-90e3-f29741560020	2	131940146	132516017	208	0.544
00e5b006-6afc-4ea4-90e3-f29741560020	2	132516148	133577431	832	0.3961
00e5b006-6afc-4ea4-90e3-f29741560020	2	133579748	133581576	3	-0.5999
00e5b006-6afc-4ea4-90e3-f29741560020	2	133582193	133833769	189	0.3897
00e5b006-6afc-4ea4-90e3-f29741560020	2	133835711	133835747	2	-0.6191
00e5b006-6afc-4ea4-90e3-f29741560020	2	133836539	136371330	1519	0.4031
00e5b006-6afc-4ea4-90e3-f29741560020	2	136374058	206705079	42579	0.373
00e5b006-6afc-4ea4-90e3-f29741560020	2	206705398	206709843	2	-1.1852
00e5b006-6afc-4ea4-90e3-f29741560020	2	206710220	207490188	524	0.376
00e5b006-6afc-4ea4-90e3-f29741560020	2	207490231	207495072	21	0.7984
00e5b006-6afc-4ea4-90e3-f29741560020	2	207495422	210495760	1774	0.3659
00e5b006-6afc-4ea4-90e3-f29741560020	2	210497798	210499457	3	-0.9985
00e5b006-6afc-4ea4-90e3-f29741560020	2	210511646	229345777	12421	0.3776
00e5b006-6afc-4ea4-90e3-f29741560020	2	229345805	235050949	3523	0.4117
00e5b006-6afc-4ea4-90e3-f29741560020	2	235051278	235082810	31	0.728
00e5b006-6afc-4ea4-90e3-f29741560020	2	235083104	241546649	4106	0.4055
00e5b006-6afc-4ea4-90e3-f29741560020	2	241546809	241547397	5	-0.5094
00e5b006-6afc-4ea4-90e3-f29741560020	2	241555977	242147305	179	0.4179
00e5b006-6afc-4ea4-90e3-f29741560020	3	20930	4052156	3610	-0.6991
00e5b006-6afc-4ea4-90e3-f29741560020	3	4052180	4064520	35	-0.0766
00e5b006-6afc-4ea4-90e3-f29741560020	3	4064586	6067085	1633	-0.6929
00e5b006-6afc-4ea4-90e3-f29741560020	3	6070152	6071375	5	-2.6976
00e5b006-6afc-4ea4-90e3-f29741560020	3	6071529	42062594	24852	-0.6754
00e5b006-6afc-4ea4-90e3-f29741560020	3	42062649	42064183	2	-3.6001
00e5b006-6afc-4ea4-90e3-f29741560020	3	42064465	46731388	2821	-0.6676
00e5b006-6afc-4ea4-90e3-f29741560020	3	46732421	52022817	2107	-0.5652
00e5b006-6afc-4ea4-90e3-f29741560020	3	52025396	59955112	5222	-0.6879
00e5b006-6afc-4ea4-90e3-f29741560020	3	59956066	59973288	29	-1.3681
00e5b006-6afc-4ea4-90e3-f29741560020	3	59975433	63282813	3024	-0.6936
00e5b006-6afc-4ea4-90e3-f29741560020	3	63286070	63286382	5	-4.6938
00e5b006-6afc-4ea4-90e3-f29741560020	3	63287392	65213557	1701	-0.7116
00e5b006-6afc-4ea4-90e3-f29741560020	3	65213575	65224302	22	0.0646
00e5b006-6afc-4ea4-90e3-f29741560020	3	65224479	66969475	1249	-0.6917
00e5b006-6afc-4ea4-90e3-f29741560020	3	66969786	66981714	13	-1.6283
00e5b006-6afc-4ea4-90e3-f29741560020	3	66982172	73883406	5080	-0.6835
00e5b006-6afc-4ea4-90e3-f29741560020	3	73884346	75434094	943	0.0051
00e5b006-6afc-4ea4-90e3-f29741560020	3	75434122	75738966	76	0.4598
00e5b006-6afc-4ea4-90e3-f29741560020	3	75747505	85471765	5430	-0.0303
00e5b006-6afc-4ea4-90e3-f29741560020	3	85471907	85472725	3	-1.146
00e5b006-6afc-4ea4-90e3-f29741560020	3	85472846	87783201	1274	-0.0386
00e5b006-6afc-4ea4-90e3-f29741560020	3	87784025	87808859	12	0.5365
00e5b006-6afc-4ea4-90e3-f29741560020	3	87809321	89337951	929	-0.0082
00e5b006-6afc-4ea4-90e3-f29741560020	3	89345442	89368137	48	-0.7845
00e5b006-6afc-4ea4-90e3-f29741560020	3	89370214	162813082	42238	-0.0205
00e5b006-6afc-4ea4-90e3-f29741560020	3	162815162	162822702	7	-1.3237
00e5b006-6afc-4ea4-90e3-f29741560020	3	162827928	162846267	9	1.0113
00e5b006-6afc-4ea4-90e3-f29741560020	3	162849883	162906109	37	0.3064
00e5b006-6afc-4ea4-90e3-f29741560020	3	162908192	162908815	4	0.8557
00e5b006-6afc-4ea4-90e3-f29741560020	3	162910826	195728637	20658	-0.0232
00e5b006-6afc-4ea4-90e3-f29741560020	3	195728990	195747892	18	0.6952
00e5b006-6afc-4ea4-90e3-f29741560020	3	195751823	198169247	1162	-0.0045
00e5b006-6afc-4ea4-90e3-f29741560020	4	68929	756877	255	-0.0346
00e5b006-6afc-4ea4-90e3-f29741560020	4	761422	827788	25	0.431
00e5b006-6afc-4ea4-90e3-f29741560020	4	828000	3876063	1287	-0.0078
00e5b006-6afc-4ea4-90e3-f29741560020	4	3877891	4174902	76	0.4492
00e5b006-6afc-4ea4-90e3-f29741560020	4	4175446	6321525	1764	-0.0071
00e5b006-6afc-4ea4-90e3-f29741560020	4	6321727	6323058	5	-1.1731
00e5b006-6afc-4ea4-90e3-f29741560020	4	6324509	9496201	1747	0.0038
00e5b006-6afc-4ea4-90e3-f29741560020	4	9496271	9527502	8	0.7784
00e5b006-6afc-4ea4-90e3-f29741560020	4	9539086	10208766	527	0.0294
00e5b006-6afc-4ea4-90e3-f29741560020	4	10212536	10229874	29	-1.8954
00e5b006-6afc-4ea4-90e3-f29741560020	4	10232590	10389091	178	-0.0465
00e5b006-6afc-4ea4-90e3-f29741560020	4	10390730	10399044	16	0.4601
00e5b006-6afc-4ea4-90e3-f29741560020	4	10401094	10949958	418	-0.0169
00e5b006-6afc-4ea4-90e3-f29741560020	4	10949987	10951772	3	-1.3139
00e5b006-6afc-4ea4-90e3-f29741560020	4	10952792	34777382	16334	-0.0263
00e5b006-6afc-4ea4-90e3-f29741560020	4	34777403	34823103	41	0.3716
00e5b006-6afc-4ea4-90e3-f29741560020	4	34828250	49087357	8945	-0.0269
00e5b006-6afc-4ea4-90e3-f29741560020	4	49091769	49654578	31	0.4942
