Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	1	3218610	7666987	2791	0.0043
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	1	7678253	7682237	2	-1.7049
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	1	7682489	247813706	126254	3e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	2	484222	242476062	131193	-0.0027
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	3	2212571	170375177	92448	-1e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	3	170376579	170378258	3	-1.2518
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	3	170378409	197538677	13863	0.0017
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	4	1053934	109718512	60064	9e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	4	109718593	109722756	2	-1.3344
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	4	109725373	149155370	21571	0.0021
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	4	149155928	149156285	2	-1.5541
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	4	149157085	188763651	21013	0.0018
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	5	914233	104952363	54935	-0.0024
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	5	104952787	104964988	14	0.5783
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	5	104966165	117919824	7876	-0.0011
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	5	117921244	118029649	100	-1.0919
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	5	118032333	180360469	37494	-0.0034
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	6	1014281	170903919	96409	0.0021
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	7	705284	78265795	39394	-7e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	7	78268764	78348879	73	-1.0591
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	7	78362917	133416382	28686	-3e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	7	133416500	133417000	2	-1.9127
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	7	133420572	158385118	13100	0.0035
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	8	617667	4240925	1860	0.0076
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	8	4240940	4241054	2	-1.4724
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	8	4241132	101995875	53672	0.0019
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	8	102001227	102008873	8	-0.7697
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	8	102014592	136620783	21722	8e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	8	136623392	136624826	5	-1.4376
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	8	136624965	145232496	4188	0.0038
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	9	789932	140938752	67946	0.002
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	10	415240	54403325	30932	3e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	10	54409488	54514851	74	0.5939
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	10	54515590	135225087	49802	-6e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G08_748074	11	456120	134142530	77158	0.0017
